Photon    Photoel. 
Energy    Absorb.  

1.000E-03 1.518E+06 
1.500E-03 6.793E+05 
2.000E-03 3.681E+05 
2.206E-03 2.969E+05 
2.206E-03 3.214E+05 
2.248E-03 4.825E+05 
2.291E-03 7.240E+05 
2.291E-03 7.675E+05 
2.507E-03 7.416E+05 
2.743E-03 7.167E+05 
2.743E-03 8.271E+05 
3.000E-03 6.670E+05 
3.148E-03 5.927E+05 
3.148E-03 6.289E+05 
3.283E-03 5.691E+05 
3.425E-03 5.152E+05 
3.425E-03 5.372E+05 
4.000E-03 3.711E+05 
5.000E-03 2.152E+05 
6.000E-03 1.367E+05 
8.000E-03 6.584E+04 
1.000E-02 3.704E+04 
1.192E-02 2.345E+04 
1.192E-02 5.982E+04 
1.279E-02 4.940E+04 
1.373E-02 4.080E+04 
1.373E-02 5.654E+04 
1.404E-02 5.361E+04 
1.435E-02 5.084E+04 
1.435E-02 5.874E+04 
1.500E-02 5.249E+04 
2.000E-02 2.502E+04 
3.000E-02 8.541E+03 
4.000E-02 3.928E+03 
5.000E-02 2.138E+03 
6.000E-02 1.296E+03 
8.000E-02 5.856E+02 
8.072E-02 5.711E+02 
8.072E-02 2.784E+03 
1.000E-01 1.588E+03 
1.500E-01 5.441E+02 
2.000E-01 2.522E+02 
3.000E-01 8.655E+01 
4.000E-01 4.164E+01 
5.000E-01 2.417E+01 
6.000E-01 1.579E+01 
8.000E-01 8.357E+00 
1.000E+00 5.261E+00 
1.022E+00 5.035E+00 
1.250E+00 3.396E+00 
1.500E+00 2.420E+00 
2.000E+00 1.464E+00 
2.044E+00 1.412E+00 
3.000E+00 7.663E-01 
4.000E+00 5.022E-01 
5.000E+00 3.683E-01 
6.000E+00 2.888E-01 
7.000E+00 2.366E-01 
8.000E+00 2.000E-01 
9.000E+00 1.729E-01 
1.000E+01 1.521E-01 
1.100E+01 1.357E-01 
1.200E+01 1.224E-01 
1.300E+01 1.115E-01 
1.400E+01 1.023E-01 
1.500E+01 9.451E-02 
1.600E+01 8.780E-02 
1.800E+01 7.686E-02 
2.000E+01 6.833E-02 
2.200E+01 6.148E-02 
2.400E+01 5.588E-02 
2.600E+01 5.120E-02 
2.800E+01 4.724E-02 
3.000E+01 4.385E-02 
4.000E+01 3.226E-02 
5.000E+01 2.550E-02 
6.000E+01 2.108E-02 
8.000E+01 1.565E-02 
1.000E+02 1.245E-02 
1.500E+02 8.231E-03 
2.000E+02 6.148E-03 
3.000E+02 4.082E-03 
4.000E+02 3.055E-03 
5.000E+02 2.441E-03 
6.000E+02 2.032E-03 
8.000E+02 1.523E-03 
1.000E+03 1.217E-03 
1.500E+03 8.109E-04 
2.000E+03 6.080E-04 
3.000E+03 4.051E-04 
4.000E+03 3.038E-04 
5.000E+03 2.430E-04 
6.000E+03 2.025E-04 
8.000E+03 1.518E-04 
1.000E+04 1.215E-04 
1.500E+04 8.097E-05 
2.000E+04 6.073E-05 
3.000E+04 4.048E-05 
4.000E+04 3.036E-05 
5.000E+04 2.429E-05 
6.000E+04 2.024E-05 
8.000E+04 1.518E-05 
1.000E+05 1.214E-05 
