Photon    Photoel. 
Energy    Absorb.  

1.000E-03 4.407E+04 
1.500E-03 1.395E+04 
2.000E-03 6.017E+03 
3.000E-03 1.788E+03 
4.000E-03 7.427E+02 
5.000E-03 3.721E+02 
6.000E-03 2.103E+02 
8.000E-03 8.459E+01 
1.000E-02 4.140E+01 
1.500E-02 1.114E+01 
2.000E-02 4.341E+00 
3.000E-02 1.138E+00 
4.000E-02 4.374E-01 
5.000E-02 2.079E-01 
6.000E-02 1.131E-01 
8.000E-02 4.327E-02 
1.000E-01 2.057E-02 
1.500E-01 5.397E-03 
2.000E-01 2.121E-03 
3.000E-01 5.944E-04 
4.000E-01 2.536E-04 
5.000E-01 1.364E-04 
6.000E-01 8.482E-05 
8.000E-01 4.277E-05 
1.000E+00 2.659E-05 
1.022E+00 2.452E-05 
1.250E+00 1.665E-05 
1.500E+00 1.209E-05 
2.000E+00 7.631E-06 
2.044E+00 7.384E-06 
3.000E+00 4.282E-06 
4.000E+00 2.947E-06 
5.000E+00 2.239E-06 
6.000E+00 1.802E-06 
7.000E+00 1.507E-06 
8.000E+00 1.294E-06 
9.000E+00 1.134E-06 
1.000E+01 1.009E-06 
1.100E+01 9.081E-07 
1.200E+01 8.258E-07 
1.300E+01 7.571E-07 
1.400E+01 6.989E-07 
1.500E+01 6.490E-07 
1.600E+01 6.058E-07 
1.800E+01 5.345E-07 
2.000E+01 4.782E-07 
2.200E+01 4.326E-07 
2.400E+01 3.949E-07 
2.600E+01 3.633E-07 
2.800E+01 3.363E-07 
3.000E+01 3.131E-07 
4.000E+01 2.327E-07 
5.000E+01 1.851E-07 
6.000E+01 1.537E-07 
8.000E+01 1.148E-07 
1.000E+02 9.156E-08 
1.500E+02 6.081E-08 
2.000E+02 4.553E-08 
3.000E+02 3.030E-08 
4.000E+02 2.270E-08 
5.000E+02 1.815E-08 
6.000E+02 1.512E-08 
8.000E+02 1.133E-08 
1.000E+03 9.065E-09 
1.500E+03 6.041E-09 
2.000E+03 4.530E-09 
3.000E+03 3.019E-09 
4.000E+03 2.264E-09 
5.000E+03 1.811E-09 
6.000E+03 1.509E-09 
8.000E+03 1.132E-09 
1.000E+04 9.056E-10 
1.500E+04 6.037E-10 
2.000E+04 4.528E-10 
3.000E+04 3.018E-10 
4.000E+04 2.264E-10 
5.000E+04 1.811E-10 
6.000E+04 1.509E-10 
8.000E+04 1.132E-10 
1.000E+05 9.055E-11 
