Photon    Photoel. 
Energy    Absorb.  

1.000E-03 1.782E+05 
1.500E-03 6.237E+04 
2.000E-03 2.850E+04 
3.000E-03 9.073E+03 
4.000E-03 3.931E+03 
5.000E-03 2.029E+03 
6.000E-03 1.174E+03 
8.000E-03 4.888E+02 
1.000E-02 2.455E+02 
1.500E-02 6.890E+01 
2.000E-02 2.760E+01 
3.000E-02 7.476E+00 
4.000E-02 2.933E+00 
5.000E-02 1.414E+00 
6.000E-02 7.769E-01 
8.000E-02 3.017E-01 
1.000E-01 1.449E-01 
1.500E-01 3.854E-02 
2.000E-01 1.527E-02 
3.000E-01 4.330E-03 
4.000E-01 1.858E-03 
5.000E-01 1.002E-03 
6.000E-01 6.245E-04 
8.000E-01 3.153E-04 
1.000E+00 1.960E-04 
1.022E+00 1.834E-04 
1.250E+00 1.244E-04 
1.500E+00 9.028E-05 
2.000E+00 5.669E-05 
2.044E+00 5.483E-05 
3.000E+00 3.160E-05 
4.000E+00 2.166E-05 
5.000E+00 1.641E-05 
6.000E+00 1.319E-05 
7.000E+00 1.101E-05 
8.000E+00 9.444E-06 
9.000E+00 8.266E-06 
1.000E+01 7.348E-06 
1.100E+01 6.612E-06 
1.200E+01 6.009E-06 
1.300E+01 5.507E-06 
1.400E+01 5.082E-06 
1.500E+01 4.717E-06 
1.600E+01 4.402E-06 
1.800E+01 3.882E-06 
2.000E+01 3.471E-06 
2.200E+01 3.139E-06 
2.400E+01 2.865E-06 
2.600E+01 2.635E-06 
2.800E+01 2.439E-06 
3.000E+01 2.270E-06 
4.000E+01 1.686E-06 
5.000E+01 1.341E-06 
6.000E+01 1.113E-06 
8.000E+01 8.307E-07 
1.000E+02 6.626E-07 
1.500E+02 4.400E-07 
2.000E+02 3.294E-07 
3.000E+02 2.191E-07 
4.000E+02 1.642E-07 
5.000E+02 1.313E-07 
6.000E+02 1.094E-07 
8.000E+02 8.197E-08 
1.000E+03 6.556E-08 
1.500E+03 4.369E-08 
2.000E+03 3.276E-08 
3.000E+03 2.184E-08 
4.000E+03 1.637E-08 
5.000E+03 1.310E-08 
6.000E+03 1.092E-08 
8.000E+03 8.186E-09 
1.000E+04 6.549E-09 
1.500E+04 4.366E-09 
2.000E+04 3.274E-09 
3.000E+04 2.183E-09 
4.000E+04 1.637E-09 
5.000E+04 1.310E-09 
6.000E+04 1.091E-09 
8.000E+04 8.185E-10 
1.000E+05 6.548E-10 
