Photon    Photoel. 
Energy(MeV)    Absorb.  

1.000E-03 1.141E+01 
1.500E-03 2.932E+00 
2.000E-03 1.111E+00 
3.000E-03 2.806E-01 
4.000E-03 1.053E-01 
5.000E-03 4.907E-02 
6.000E-03 2.627E-02 
8.000E-03 9.816E-03 
1.000E-02 4.558E-03 
1.500E-02 1.128E-03 
2.000E-02 4.182E-04 
3.000E-02 1.032E-04 
4.000E-02 3.823E-05 
5.000E-02 1.771E-05 
6.000E-02 9.455E-06 
8.000E-02 3.523E-06 
1.000E-01 1.644E-06 
1.500E-01 4.176E-07 
2.000E-01 1.611E-07 
3.000E-01 4.414E-08 
4.000E-01 1.858E-08 
5.000E-01 9.927E-09 
6.000E-01 6.158E-09 
8.000E-01 3.118E-09 
1.000E+00 1.961E-09 
1.022E+00 1.880E-09 
1.250E+00 1.304E-09 
1.500E+00 9.732E-10 
2.000E+00 6.201E-10 
2.044E+00 6.004E-10 
3.000E+00 3.524E-10 
4.000E+00 2.444E-10 
5.000E+00 1.866E-10 
6.000E+00 1.508E-10 
7.000E+00 1.264E-10 
8.000E+00 1.088E-10 
9.000E+00 9.546E-11 
1.000E+01 8.503E-11 
1.100E+01 7.665E-11 
1.200E+01 6.977E-11 
1.300E+01 6.401E-11 
1.400E+01 5.914E-11 
1.500E+01 5.495E-11 
1.600E+01 5.131E-11 
1.800E+01 4.531E-11 
2.000E+01 4.057E-11 
2.200E+01 3.672E-11 
2.400E+01 3.354E-11 
2.600E+01 3.087E-11 
2.800E+01 2.859E-11 
3.000E+01 2.662E-11 
4.000E+01 1.981E-11 
5.000E+01 1.577E-11 
6.000E+01 1.310E-11 
8.000E+01 9.787E-12 
1.000E+02 7.811E-12 
1.500E+02 5.191E-12 
2.000E+02 3.887E-12 
3.000E+02 2.587E-12 
4.000E+02 1.939E-12 
5.000E+02 1.550E-12 
6.000E+02 1.291E-12 
8.000E+02 9.682E-13 
1.000E+03 7.744E-13 
1.500E+03 5.161E-13 
2.000E+03 3.870E-13 
3.000E+03 2.580E-13 
4.000E+03 1.934E-13 
5.000E+03 1.548E-13 
6.000E+03 1.290E-13 
8.000E+03 9.671E-14 
1.000E+04 7.737E-14 
1.500E+04 5.158E-14 
2.000E+04 3.868E-14 
3.000E+04 2.579E-14 
4.000E+04 1.934E-14 
5.000E+04 1.547E-14 
6.000E+04 1.289E-14 
8.000E+04 9.670E-15 
1.000E+05 7.736E-15 
