Photon    Photoel. 
Energy    Absorb.  

1.000E-03 7.699E+04 
1.500E-03 2.515E+04 
2.000E-03 1.107E+04 
3.000E-03 3.367E+03 
4.000E-03 1.418E+03 
5.000E-03 7.180E+02 
6.000E-03 4.092E+02 
8.000E-03 1.667E+02 
1.000E-02 8.241E+01 
1.500E-02 2.250E+01 
2.000E-02 8.856E+00 
3.000E-02 2.348E+00 
4.000E-02 9.087E-01 
5.000E-02 4.340E-01 
6.000E-02 2.369E-01 
8.000E-02 9.114E-02 
1.000E-01 4.347E-02 
1.500E-01 1.144E-02 
2.000E-01 4.516E-03 
3.000E-01 1.270E-03 
4.000E-01 5.428E-04 
5.000E-01 2.922E-04 
6.000E-01 1.819E-04 
8.000E-01 9.177E-05 
1.000E+00 5.704E-05 
1.022E+00 5.293E-05 
1.250E+00 3.593E-05 
1.500E+00 2.609E-05 
2.000E+00 1.643E-05 
2.044E+00 1.590E-05 
3.000E+00 9.200E-06 
4.000E+00 6.323E-06 
5.000E+00 4.799E-06 
6.000E+00 3.861E-06 
7.000E+00 3.227E-06 
8.000E+00 2.770E-06 
9.000E+00 2.426E-06 
1.000E+01 2.157E-06 
1.100E+01 1.942E-06 
1.200E+01 1.766E-06 
1.300E+01 1.619E-06 
1.400E+01 1.494E-06 
1.500E+01 1.387E-06 
1.600E+01 1.295E-06 
1.800E+01 1.142E-06 
2.000E+01 1.022E-06 
2.200E+01 9.241E-07 
2.400E+01 8.435E-07 
2.600E+01 7.759E-07 
2.800E+01 7.183E-07 
3.000E+01 6.686E-07 
4.000E+01 4.968E-07 
5.000E+01 3.952E-07 
6.000E+01 3.281E-07 
8.000E+01 2.450E-07 
1.000E+02 1.954E-07 
1.500E+02 1.298E-07 
2.000E+02 9.715E-08 
3.000E+02 6.465E-08 
4.000E+02 4.844E-08 
5.000E+02 3.873E-08 
6.000E+02 3.226E-08 
8.000E+02 2.418E-08 
1.000E+03 1.934E-08 
1.500E+03 1.289E-08 
2.000E+03 9.666E-09 
3.000E+03 6.443E-09 
4.000E+03 4.831E-09 
5.000E+03 3.865E-09 
6.000E+03 3.221E-09 
8.000E+03 2.415E-09 
1.000E+04 1.932E-09 
1.500E+04 1.288E-09 
2.000E+04 9.661E-10 
3.000E+04 6.440E-10 
4.000E+04 4.830E-10 
5.000E+04 3.864E-10 
6.000E+04 3.220E-10 
8.000E+04 2.415E-10 
1.000E+05 1.932E-10 
