Photon    Photoel. 
Energy(MeV)    Absorb.  

1.000E-03 1.219E+05 
1.500E-03 4.111E+04 
2.000E-03 1.843E+04 
3.000E-03 5.739E+03 
4.000E-03 2.452E+03 
5.000E-03 1.254E+03 
6.000E-03 7.199E+02 
8.000E-03 2.967E+02 
1.000E-02 1.479E+02 
1.500E-02 4.096E+01 
2.000E-02 1.627E+01 
3.000E-02 4.360E+00 
4.000E-02 1.699E+00 
5.000E-02 8.151E-01 
6.000E-02 4.465E-01 
8.000E-02 1.726E-01 
1.000E-01 8.264E-02 
1.500E-01 2.186E-02 
2.000E-01 8.637E-03 
3.000E-01 2.441E-03 
4.000E-01 1.045E-03 
5.000E-01 5.634E-04 
6.000E-01 3.509E-04 
8.000E-01 1.771E-04 
1.000E+00 1.101E-04 
1.022E+00 1.026E-04 
1.250E+00 6.966E-05 
1.500E+00 5.054E-05 
2.000E+00 3.179E-05 
2.044E+00 3.075E-05 
3.000E+00 1.776E-05 
4.000E+00 1.219E-05 
5.000E+00 9.242E-06 
6.000E+00 7.430E-06 
7.000E+00 6.207E-06 
8.000E+00 5.326E-06 
9.000E+00 4.663E-06 
1.000E+01 4.146E-06 
1.100E+01 3.732E-06 
1.200E+01 3.392E-06 
1.300E+01 3.109E-06 
1.400E+01 2.869E-06 
1.500E+01 2.664E-06 
1.600E+01 2.486E-06 
1.800E+01 2.193E-06 
2.000E+01 1.961E-06 
2.200E+01 1.774E-06 
2.400E+01 1.619E-06 
2.600E+01 1.489E-06 
2.800E+01 1.378E-06 
3.000E+01 1.283E-06 
4.000E+01 9.531E-07 
5.000E+01 7.581E-07 
6.000E+01 6.294E-07 
8.000E+01 4.698E-07 
1.000E+02 3.747E-07 
1.500E+02 2.488E-07 
2.000E+02 1.863E-07 
3.000E+02 1.239E-07 
4.000E+02 9.287E-08 
5.000E+02 7.425E-08 
6.000E+02 6.185E-08 
8.000E+02 4.637E-08 
1.000E+03 3.708E-08 
1.500E+03 2.471E-08 
2.000E+03 1.853E-08 
3.000E+03 1.235E-08 
4.000E+03 9.262E-09 
5.000E+03 7.409E-09 
6.000E+03 6.174E-09 
8.000E+03 4.630E-09 
1.000E+04 3.704E-09 
1.500E+04 2.469E-09 
2.000E+04 1.852E-09 
3.000E+04 1.235E-09 
4.000E+04 9.260E-10 
5.000E+04 7.408E-10 
6.000E+04 6.173E-10 
8.000E+04 4.630E-10 
1.000E+05 3.704E-10 
