Photon    Photoel. 
Energy    Absorb.  

1.000E-03 1.292E+05 
1.500E-03 4.427E+04 
2.000E-03 2.038E+04 
2.472E-03 1.143E+04 
2.472E-03 1.101E+05 
3.000E-03 7.117E+04 
4.000E-03 3.366E+04 
5.000E-03 1.849E+04 
6.000E-03 1.120E+04 
8.000E-03 4.986E+03 
1.000E-02 2.625E+03 
1.500E-02 7.958E+02 
2.000E-02 3.349E+02 
3.000E-02 9.657E+01 
4.000E-02 3.942E+01 
5.000E-02 1.954E+01 
6.000E-02 1.097E+01 
8.000E-02 4.396E+00 
1.000E-01 2.157E+00 
1.500E-01 5.934E-01 
2.000E-01 2.400E-01 
3.000E-01 6.954E-02 
4.000E-01 3.020E-02 
5.000E-01 1.641E-02 
6.000E-01 1.027E-02 
8.000E-01 5.206E-03 
1.000E+00 3.236E-03 
1.022E+00 3.057E-03 
1.250E+00 2.071E-03 
1.500E+00 1.499E-03 
2.000E+00 9.326E-04 
2.044E+00 9.015E-04 
3.000E+00 5.133E-04 
4.000E+00 3.490E-04 
5.000E+00 2.630E-04 
6.000E+00 2.104E-04 
7.000E+00 1.752E-04 
8.000E+00 1.499E-04 
9.000E+00 1.310E-04 
1.000E+01 1.162E-04 
1.100E+01 1.045E-04 
1.200E+01 9.483E-05 
1.300E+01 8.682E-05 
1.400E+01 8.005E-05 
1.500E+01 7.426E-05 
1.600E+01 6.925E-05 
1.800E+01 6.100E-05 
2.000E+01 5.450E-05 
2.200E+01 4.925E-05 
2.400E+01 4.493E-05 
2.600E+01 4.129E-05 
2.800E+01 3.821E-05 
3.000E+01 3.555E-05 
4.000E+01 2.637E-05 
5.000E+01 2.095E-05 
6.000E+01 1.738E-05 
8.000E+01 1.296E-05 
1.000E+02 1.034E-05 
1.500E+02 6.859E-06 
2.000E+02 5.133E-06 
3.000E+02 3.414E-06 
4.000E+02 2.558E-06 
5.000E+02 2.045E-06 
6.000E+02 1.703E-06 
8.000E+02 1.277E-06 
1.000E+03 1.021E-06 
1.500E+03 6.803E-07 
2.000E+03 5.101E-07 
3.000E+03 3.400E-07 
4.000E+03 2.550E-07 
5.000E+03 2.040E-07 
6.000E+03 1.700E-07 
8.000E+03 1.275E-07 
1.000E+04 1.020E-07 
1.500E+04 6.798E-08 
2.000E+04 5.098E-08 
3.000E+04 3.399E-08 
4.000E+04 2.549E-08 
5.000E+04 2.039E-08 
6.000E+04 1.699E-08 
8.000E+04 1.274E-08 
1.000E+05 1.020E-08 
