# FeatureSize(nm)     Dose(Gy)
1.031154039 99387620.57
1.112265769 114140193.3
1.216913021 124921839.6
1.386055671 139212455
1.50573543 147846575.9
1.663068984 168773502.5
1.815237997 176034377.2
2.004911322 214702438.4
2.198739568 218613476.3
2.552208695 261864402.7
2.747761807 272473558.2
3.022690356 293582053.8
3.39991621 353361877.5
3.711443952 375729708.7
4.071699125 408262341.4
4.424319073 442013076.2
4.766697981 498541681.5
5.406800831 519989649.6
6.231603216 600778423.9
6.907213386 726162536
7.669670313 750597454.5
8.411148866 888341572.7
9.463082772 971084653.4
10.29722006 995939656.9
11.34897652 1130089137
12.51704167 1248051322
13.7028082 1403434481
15.18842213 1481535298
16.62725433 1742896448
18.79324564 1839888247
20.5735706 2087714559
22.1656702 2244041757
25.1570966 2500752174
27.32930031 2736972430
29.54889157 2889284337
30.83464983 2995505976
33.33893345 3219808217
38.60703392 3810683713
40.81467823 4298028200
47.62894888 5056253531
55.05731008 5467665962
59.8395772 6166920232
65.25304206 6439975563
73.48338355 7658571534
86.0059182 9009638272
94.4882277 9597258490
100.1871942 9511022638
114.1665511 11558426439
123.9656453 12135749066
135.7573572 13845168594
162.8123833 16465002550
179.7394866 18216525330
193.8779957 19580571168
223.0576896 21820519057
239.8930426 24316709040
267.3209287 26613657646
289.2028423 28779132440
320.3676996 32459666584
356.1528092 37502799039
376.518495 37502799039
425.5666284 42554290827
471.7051793 44922427648
516.3908349 52372441796
551.7634418 52530251695
626.3763302 62170216708
683.0422763 66825496670
741.6688668 80046386300
801.9046474 77207914807
950.8544329 89203408968
