Photon    Photoel. 
Energy(MeV)    Absorb.  

1.000E-03 9.403E+03 
1.072E-03 8.133E+03 
1.149E-03 7.032E+03 
1.149E-03 7.334E+03 
1.500E-03 4.077E+03 
2.000E-03 2.080E+03 
3.000E-03 7.715E+02 
4.000E-03 3.730E+02 
4.782E-03 2.357E+02 
4.782E-03 6.890E+02 
5.000E-03 6.344E+02 
5.104E-03 5.995E+02 
5.104E-03 8.133E+02 
5.275E-03 7.515E+02 
5.453E-03 6.945E+02 
5.453E-03 8.018E+02 
6.000E-03 6.330E+02 
8.000E-03 2.998E+02 
1.000E-02 1.662E+02 
1.500E-02 5.550E+01 
2.000E-02 2.510E+01 
3.000E-02 8.078E+00 
3.456E-02 5.417E+00 
3.456E-02 3.244E+01 
4.000E-02 2.211E+01 
5.000E-02 1.227E+01 
6.000E-02 7.454E+00 
8.000E-02 3.363E+00 
1.000E-01 1.793E+00 
1.500E-01 5.651E-01 
2.000E-01 2.490E-01 
3.000E-01 8.009E-02 
4.000E-01 3.699E-02 
5.000E-01 2.088E-02 
6.000E-01 1.338E-02 
8.000E-01 6.940E-03 
1.000E+00 4.335E-03 
1.022E+00 4.126E-03 
1.250E+00 2.782E-03 
1.500E+00 1.991E-03 
2.000E+00 1.211E-03 
2.044E+00 1.169E-03 
3.000E+00 6.422E-04 
4.000E+00 4.250E-04 
5.000E+00 3.142E-04 
6.000E+00 2.478E-04 
7.000E+00 2.040E-04 
8.000E+00 1.731E-04 
9.000E+00 1.501E-04 
1.000E+01 1.324E-04 
1.100E+01 1.184E-04 
1.200E+01 1.071E-04 
1.300E+01 9.766E-05 
1.400E+01 8.972E-05 
1.500E+01 8.302E-05 
1.600E+01 7.720E-05 
1.800E+01 6.770E-05 
2.000E+01 6.032E-05 
2.200E+01 5.435E-05 
2.400E+01 4.945E-05 
2.600E+01 4.535E-05 
2.800E+01 4.188E-05 
3.000E+01 3.891E-05 
4.000E+01 2.870E-05 
5.000E+01 2.272E-05 
6.000E+01 1.881E-05 
8.000E+01 1.399E-05 
1.000E+02 1.113E-05 
1.500E+02 7.371E-06 
2.000E+02 5.509E-06 
3.000E+02 3.659E-06 
4.000E+02 2.739E-06 
5.000E+02 2.189E-06 
6.000E+02 1.823E-06 
8.000E+02 1.366E-06 
1.000E+03 1.092E-06 
1.500E+03 7.275E-07 
2.000E+03 5.454E-07 
3.000E+03 3.636E-07 
4.000E+03 2.726E-07 
5.000E+03 2.181E-07 
6.000E+03 1.817E-07 
8.000E+03 1.363E-07 
1.000E+04 1.090E-07 
1.500E+04 7.266E-08 
2.000E+04 5.449E-08 
3.000E+04 3.633E-08 
4.000E+04 2.725E-08 
5.000E+04 2.180E-08 
6.000E+04 1.817E-08 
8.000E+04 1.362E-08 
1.000E+05 1.090E-08 
