#  FeatureSize(cm)    Fluence(mum2)   Dose(Gy)
1.00000E-07 3.90728E+21 1.04829E+17
1.10909E-06 2.57988E+17 6.92158E+12
2.11818E-06 1.93735E+16 5.19773E+11
3.12727E-06 4.07371E+15 1.09294E+11
4.13636E-06 1.32975E+15 3.56760E+10
5.14545E-06 5.54807E+14 1.48850E+10
6.15455E-06 2.70797E+14 7.26525E+09
7.16364E-06 1.47396E+14 3.95450E+09
8.17273E-06 8.69245E+13 2.33210E+09
9.18182E-06 5.45112E+13 1.46249E+09
1.01909E-05 3.58871E+13 9.62819E+08
1.12000E-05 2.45758E+13 6.59346E+08
1.22091E-05 1.73874E+13 4.66489E+08
1.32182E-05 1.26436E+13 3.39216E+08
1.42273E-05 9.41150E+12 2.52502E+08
1.52364E-05 7.14839E+12 1.91785E+08
1.62455E-05 5.52578E+12 1.48252E+08
1.72545E-05 4.33805E+12 1.16386E+08
1.82636E-05 3.45260E+12 9.26300E+07
1.92727E-05 2.78169E+12 7.46302E+07
2.02818E-05 2.26589E+12 6.07919E+07
2.12909E-05 1.86413E+12 5.00129E+07
2.23000E-05 1.54746E+12 4.15168E+07
2.33091E-05 1.29515E+12 3.47478E+07
2.43182E-05 1.09215E+12 2.93014E+07
2.53273E-05 9.27336E+11 2.48796E+07
2.63364E-05 7.92412E+11 2.12597E+07
2.73455E-05 6.81110E+11 1.82736E+07
2.83545E-05 5.88640E+11 1.57927E+07
2.93636E-05 5.11309E+11 1.37180E+07
3.03727E-05 4.46241E+11 1.19722E+07
3.13818E-05 3.91177E+11 1.04949E+07
3.23909E-05 3.44330E+11 9.23806E+06
3.34000E-05 3.04272E+11 8.16334E+06
3.44091E-05 2.69858E+11 7.24005E+06
3.54182E-05 2.40161E+11 6.44331E+06
3.64273E-05 2.14428E+11 5.75290E+06
3.74364E-05 1.92040E+11 5.15227E+06
3.84455E-05 1.72491E+11 4.62777E+06
3.94545E-05 1.55359E+11 4.16813E+06
4.04636E-05 1.40295E+11 3.76399E+06
4.14727E-05 1.27007E+11 3.40749E+06
4.24818E-05 1.15251E+11 3.09207E+06
4.34909E-05 1.04819E+11 2.81219E+06
4.45000E-05 9.55365E+10 2.56316E+06
4.55091E-05 8.72554E+10 2.34098E+06
4.65182E-05 7.98490E+10 2.14228E+06
4.75273E-05 7.32089E+10 1.96413E+06
4.85364E-05 6.72421E+10 1.80404E+06
4.95455E-05 6.18684E+10 1.65987E+06
5.05545E-05 5.70187E+10 1.52976E+06
5.15636E-05 5.26329E+10 1.41209E+06
5.25727E-05 4.86589E+10 1.30547E+06
5.35818E-05 4.50512E+10 1.20868E+06
5.45909E-05 4.17703E+10 1.12066E+06
5.56000E-05 3.87812E+10 1.04046E+06
5.66091E-05 3.60534E+10 9.67281E+05
5.76182E-05 3.35602E+10 9.00389E+05
5.86273E-05 3.12776E+10 8.39150E+05
5.96364E-05 2.91849E+10 7.83004E+05
6.06455E-05 2.72633E+10 7.31451E+05
6.16545E-05 2.54965E+10 6.84048E+05
6.26636E-05 2.38697E+10 6.40403E+05
6.36727E-05 2.23699E+10 6.00164E+05
6.46818E-05 2.09854E+10 5.63019E+05
6.56909E-05 1.97057E+10 5.28686E+05
6.67000E-05 1.85215E+10 4.96916E+05
6.77091E-05 1.74244E+10 4.67482E+05
6.87182E-05 1.64069E+10 4.40182E+05
6.97273E-05 1.54621E+10 4.14833E+05
7.07364E-05 1.45839E+10 3.91272E+05
7.17455E-05 1.37667E+10 3.69349E+05
7.27545E-05 1.30057E+10 3.48930E+05
7.37636E-05 1.22961E+10 3.29893E+05
7.47727E-05 1.16339E+10 3.12128E+05
7.57818E-05 1.10155E+10 2.95535E+05
7.67909E-05 1.04373E+10 2.80022E+05
7.78000E-05 9.89622E+09 2.65507E+05
7.88091E-05 9.38954E+09 2.51913E+05
7.98182E-05 8.91463E+09 2.39171E+05
8.08273E-05 8.46915E+09 2.27220E+05
8.18364E-05 8.05094E+09 2.15999E+05
8.28455E-05 7.65803E+09 2.05458E+05
8.38545E-05 7.28861E+09 1.95547E+05
8.48636E-05 6.94103E+09 1.86221E+05
8.58727E-05 6.61375E+09 1.77441E+05
8.68818E-05 6.30538E+09 1.69168E+05
8.78909E-05 6.01463E+09 1.61367E+05
8.89000E-05 5.74030E+09 1.54007E+05
8.99091E-05 5.48131E+09 1.47058E+05
9.09182E-05 5.23663E+09 1.40494E+05
9.19273E-05 5.00534E+09 1.34289E+05
9.29364E-05 4.78656E+09 1.28419E+05
9.39455E-05 4.57950E+09 1.22864E+05
9.49545E-05 4.38342E+09 1.17603E+05
9.59636E-05 4.19762E+09 1.12618E+05
9.69727E-05 4.02147E+09 1.07892E+05
9.79818E-05 3.85438E+09 1.03409E+05
9.89909E-05 3.69579E+09 9.91548E+04
1.00000E-04 3.54520E+09 9.51146E+04
