#  FeatureSize(cm)    Fluence(mum2)   Dose(Gy)
1.00000E-07 2.71838E+21 7.29315E+16
1.10909E-06 1.79487E+17 4.81547E+12
2.11818E-06 1.34785E+16 3.61615E+11
3.12727E-06 2.83414E+15 7.60375E+10
4.13636E-06 9.25127E+14 2.48203E+10
5.14545E-06 3.85986E+14 1.03557E+10
6.15455E-06 1.88397E+14 5.05451E+09
7.16364E-06 1.02545E+14 2.75118E+09
8.17273E-06 6.04740E+13 1.62246E+09
9.18182E-06 3.79237E+13 1.01746E+09
1.01909E-05 2.49668E+13 6.69836E+08
1.12000E-05 1.70974E+13 4.58708E+08
1.22091E-05 1.20964E+13 3.24536E+08
1.32182E-05 8.79612E+12 2.35992E+08
1.42273E-05 6.54755E+12 1.75665E+08
1.52364E-05 4.97310E+12 1.33424E+08
1.62455E-05 3.84425E+12 1.03138E+08
1.72545E-05 3.01794E+12 8.09686E+07
1.82636E-05 2.40194E+12 6.44417E+07
1.92727E-05 1.93519E+12 5.19193E+07
2.02818E-05 1.57635E+12 4.22921E+07
2.12909E-05 1.29684E+12 3.47932E+07
2.23000E-05 1.07654E+12 2.88825E+07
2.33091E-05 9.01013E+11 2.41734E+07
2.43182E-05 7.59786E+11 2.03844E+07
2.53273E-05 6.45126E+11 1.73082E+07
2.63364E-05 5.51261E+11 1.47898E+07
2.73455E-05 4.73830E+11 1.27124E+07
2.83545E-05 4.09500E+11 1.09865E+07
2.93636E-05 3.55702E+11 9.54316E+06
3.03727E-05 3.10436E+11 8.32870E+06
3.13818E-05 2.72129E+11 7.30097E+06
3.23909E-05 2.39538E+11 6.42659E+06
3.34000E-05 2.11671E+11 5.67893E+06
3.44091E-05 1.87730E+11 5.03662E+06
3.54182E-05 1.67070E+11 4.48235E+06
3.64273E-05 1.49168E+11 4.00205E+06
3.74364E-05 1.33594E+11 3.58420E+06
3.84455E-05 1.19994E+11 3.21932E+06
3.94545E-05 1.08076E+11 2.89957E+06
4.04636E-05 9.75961E+10 2.61842E+06
4.14727E-05 8.83524E+10 2.37041E+06
4.24818E-05 8.01737E+10 2.15099E+06
4.34909E-05 7.29165E+10 1.95628E+06
4.45000E-05 6.64592E+10 1.78304E+06
4.55091E-05 6.06984E+10 1.62848E+06
4.65182E-05 5.55460E+10 1.49025E+06
4.75273E-05 5.09268E+10 1.36632E+06
4.85364E-05 4.67759E+10 1.25496E+06
4.95455E-05 4.30377E+10 1.15466E+06
5.05545E-05 3.96639E+10 1.06415E+06
5.15636E-05 3.66129E+10 9.82292E+05
5.25727E-05 3.38484E+10 9.08123E+05
5.35818E-05 3.13388E+10 8.40791E+05
5.45909E-05 2.90564E+10 7.79556E+05
5.56000E-05 2.69770E+10 7.23769E+05
5.66091E-05 2.50795E+10 6.72860E+05
5.76182E-05 2.33450E+10 6.26326E+05
5.86273E-05 2.17572E+10 5.83726E+05
5.96364E-05 2.03014E+10 5.44668E+05
6.06455E-05 1.89647E+10 5.08806E+05
6.16545E-05 1.77356E+10 4.75831E+05
6.26636E-05 1.66040E+10 4.45470E+05
6.36727E-05 1.55606E+10 4.17478E+05
6.46818E-05 1.45975E+10 3.91638E+05
6.56909E-05 1.37073E+10 3.67755E+05
6.67000E-05 1.28836E+10 3.45655E+05
6.77091E-05 1.21204E+10 3.25180E+05
6.87182E-05 1.14126E+10 3.06189E+05
6.97273E-05 1.07553E+10 2.88556E+05
7.07364E-05 1.01444E+10 2.72166E+05
7.17455E-05 9.57601E+09 2.56916E+05
7.27545E-05 9.04658E+09 2.42712E+05
7.37636E-05 8.55300E+09 2.29469E+05
7.47727E-05 8.09239E+09 2.17112E+05
7.57818E-05 7.66217E+09 2.05569E+05
7.67909E-05 7.25995E+09 1.94778E+05
7.78000E-05 6.88360E+09 1.84681E+05
7.88091E-05 6.53114E+09 1.75225E+05
7.98182E-05 6.20079E+09 1.66362E+05
8.08273E-05 5.89091E+09 1.58048E+05
8.18364E-05 5.60000E+09 1.50243E+05
8.28455E-05 5.32668E+09 1.42910E+05
8.38545E-05 5.06971E+09 1.36016E+05
8.48636E-05 4.82793E+09 1.29529E+05
8.58727E-05 4.60028E+09 1.23421E+05
8.68818E-05 4.38577E+09 1.17666E+05
8.78909E-05 4.18353E+09 1.12240E+05
8.89000E-05 3.99270E+09 1.07121E+05
8.99091E-05 3.81255E+09 1.02287E+05
9.09182E-05 3.64235E+09 9.77210E+04
9.19273E-05 3.48146E+09 9.34045E+04
9.29364E-05 3.32928E+09 8.93217E+04
9.39455E-05 3.18525E+09 8.54575E+04
9.49545E-05 3.04886E+09 8.17981E+04
9.59636E-05 2.91962E+09 7.83308E+04
9.69727E-05 2.79709E+09 7.50435E+04
9.79818E-05 2.68087E+09 7.19252E+04
9.89909E-05 2.57056E+09 6.89657E+04
1.00000E-04 2.46581E+09 6.61554E+04
