#  FeatureSize(cm)    Fluence(mum2)   Dose(Gy)
1.00000E-07 1.54549E+20 5.10981E+15
1.10909E-06 1.02070E+16 3.37472E+11
2.11818E-06 7.66682E+14 2.53486E+10
3.12727E-06 1.61252E+14 5.33144E+09
4.13636E-06 5.26496E+13 1.74074E+09
5.14545E-06 2.19723E+13 7.26464E+08
6.15455E-06 1.07272E+13 3.54671E+08
7.16364E-06 5.84031E+12 1.93097E+08
8.17273E-06 3.44510E+12 1.13905E+08
9.18182E-06 2.16100E+12 7.14486E+07
1.01909E-05 1.42304E+12 4.70496E+07
1.12000E-05 9.74757E+11 3.22281E+07
1.22091E-05 6.89817E+11 2.28073E+07
1.32182E-05 5.01741E+11 1.65889E+07
1.42273E-05 3.73575E+11 1.23514E+07
1.52364E-05 2.83817E+11 9.38375E+06
1.62455E-05 2.19449E+11 7.25559E+06
1.72545E-05 1.72324E+11 5.69750E+06
1.82636E-05 1.37185E+11 4.53573E+06
1.92727E-05 1.10556E+11 3.65528E+06
2.02818E-05 9.00791E+10 2.97826E+06
2.12909E-05 7.41262E+10 2.45082E+06
2.23000E-05 6.15497E+10 2.03500E+06
2.33091E-05 5.15277E+10 1.70365E+06
2.43182E-05 4.34625E+10 1.43699E+06
2.53273E-05 3.69132E+10 1.22045E+06
2.63364E-05 3.15506E+10 1.04315E+06
2.73455E-05 2.71260E+10 8.96861E+05
2.83545E-05 2.34494E+10 7.75302E+05
2.93636E-05 2.03741E+10 6.73624E+05
3.03727E-05 1.77860E+10 5.88054E+05
3.13818E-05 1.55954E+10 5.15626E+05
3.23909E-05 1.37313E+10 4.53993E+05
3.34000E-05 1.21370E+10 4.01283E+05
3.44091E-05 1.07671E+10 3.55990E+05
3.54182E-05 9.58475E+09 3.16898E+05
3.64273E-05 8.55999E+09 2.83017E+05
3.74364E-05 7.66830E+09 2.53535E+05
3.84455E-05 6.88949E+09 2.27785E+05
3.94545E-05 6.20686E+09 2.05216E+05
4.04636E-05 5.60652E+09 1.85367E+05
4.14727E-05 5.07687E+09 1.67855E+05
4.24818E-05 4.60815E+09 1.52358E+05
4.34909E-05 4.19215E+09 1.38604E+05
4.45000E-05 3.82193E+09 1.26364E+05
4.55091E-05 3.49158E+09 1.15441E+05
4.65182E-05 3.19607E+09 1.05671E+05
4.75273E-05 2.93107E+09 9.69094E+04
4.85364E-05 2.69290E+09 8.90348E+04
4.95455E-05 2.47837E+09 8.19416E+04
5.05545E-05 2.28471E+09 7.55387E+04
5.15636E-05 2.10954E+09 6.97472E+04
5.25727E-05 1.95079E+09 6.44985E+04
5.35818E-05 1.80665E+09 5.97327E+04
5.45909E-05 1.67553E+09 5.53975E+04
5.56000E-05 1.55605E+09 5.14473E+04
5.66091E-05 1.44700E+09 4.78417E+04
5.76182E-05 1.34730E+09 4.45453E+04
5.86273E-05 1.25601E+09 4.15270E+04
5.96364E-05 1.17229E+09 3.87591E+04
6.06455E-05 1.09541E+09 3.62171E+04
6.16545E-05 1.02470E+09 3.38793E+04
6.26636E-05 9.59582E+08 3.17264E+04
6.36727E-05 8.99536E+08 2.97411E+04
6.46818E-05 8.44095E+08 2.79081E+04
6.56909E-05 7.92842E+08 2.62135E+04
6.67000E-05 7.45404E+08 2.46451E+04
6.77091E-05 7.01446E+08 2.31917E+04
6.87182E-05 6.60666E+08 2.18434E+04
6.97273E-05 6.22794E+08 2.05913E+04
7.07364E-05 5.87585E+08 1.94272E+04
7.17455E-05 5.54818E+08 1.83438E+04
7.27545E-05 5.24292E+08 1.73345E+04
7.37636E-05 4.95827E+08 1.63934E+04
7.47727E-05 4.69259E+08 1.55150E+04
7.57818E-05 4.44437E+08 1.46943E+04
7.67909E-05 4.21227E+08 1.39269E+04
7.78000E-05 3.99505E+08 1.32087E+04
7.88091E-05 3.79157E+08 1.25360E+04
7.98182E-05 3.60082E+08 1.19053E+04
8.08273E-05 3.42185E+08 1.13136E+04
8.18364E-05 3.25381E+08 1.07580E+04
8.28455E-05 3.09589E+08 1.02359E+04
8.38545E-05 2.94739E+08 9.74488E+03
8.48636E-05 2.80764E+08 9.28281E+03
8.58727E-05 2.67602E+08 8.84765E+03
8.68818E-05 2.55198E+08 8.43755E+03
8.78909E-05 2.43500E+08 8.05079E+03
8.89000E-05 2.32461E+08 7.68581E+03
8.99091E-05 2.22037E+08 7.34115E+03
9.09182E-05 2.12187E+08 7.01548E+03
9.19273E-05 2.02874E+08 6.70756E+03
9.29364E-05 1.94063E+08 6.41624E+03
9.39455E-05 1.85722E+08 6.14047E+03
9.49545E-05 1.77821E+08 5.87925E+03
9.59636E-05 1.70334E+08 5.63169E+03
9.69727E-05 1.63233E+08 5.39694E+03
9.79818E-05 1.56497E+08 5.17421E+03
9.89909E-05 1.50102E+08 4.96278E+03
1.00000E-04 1.44028E+08 4.76196E+03
