#  FeatureSize(cm)    Fluence(mum2)   Dose(Gy)
1.00000E-07 1.51350E+20 5.00404E+15
2.00000E-07 9.45871E+18 3.12731E+14
3.00000E-07 1.86825E+18 6.17696E+13
4.00000E-07 5.91086E+17 1.95429E+13
5.00000E-07 2.42092E+17 8.00422E+12
6.00000E-07 1.16741E+17 3.85979E+12
7.00000E-07 6.30096E+16 2.08327E+12
8.00000E-07 3.69325E+16 1.22109E+12
9.00000E-07 2.30551E+16 7.62266E+11
1.00000E-06 1.51254E+16 5.00088E+11
1.10000E-06 1.03301E+16 3.41543E+11
1.20000E-06 7.29325E+15 2.41135E+11
1.30000E-06 5.29471E+15 1.75058E+11
1.40000E-06 3.93616E+15 1.30140E+11
1.50000E-06 2.98669E+15 9.87480E+10
1.60000E-06 2.30698E+15 7.62751E+10
1.70000E-06 1.81008E+15 5.98462E+10
1.80000E-06 1.44003E+15 4.76115E+10
1.90000E-06 1.15989E+15 3.83492E+10
2.00000E-06 9.44673E+14 3.12335E+10
2.10000E-06 7.77130E+14 2.56941E+10
2.20000E-06 6.45134E+14 2.13299E+10
2.30000E-06 5.40006E+14 1.78541E+10
2.40000E-06 4.55443E+14 1.50582E+10
2.50000E-06 3.86802E+14 1.27887E+10
2.60000E-06 3.30617E+14 1.09311E+10
2.70000E-06 2.84271E+14 9.39878E+09
2.80000E-06 2.45768E+14 8.12575E+09
2.90000E-06 2.13567E+14 7.06111E+09
3.00000E-06 1.86471E+14 6.16523E+09
3.10000E-06 1.63538E+14 5.40701E+09
3.20000E-06 1.44024E+14 4.76183E+09
3.30000E-06 1.27335E+14 4.21005E+09
3.40000E-06 1.12995E+14 3.73591E+09
3.50000E-06 1.00617E+14 3.32667E+09
3.60000E-06 8.98881E+13 2.97195E+09
3.70000E-06 8.05517E+13 2.66326E+09
3.80000E-06 7.23963E+13 2.39362E+09
3.90000E-06 6.52472E+13 2.15725E+09
4.00000E-06 5.89589E+13 1.94934E+09
4.10000E-06 5.34101E+13 1.76589E+09
4.20000E-06 4.84988E+13 1.60350E+09
4.30000E-06 4.41391E+13 1.45936E+09
4.40000E-06 4.02584E+13 1.33105E+09
4.50000E-06 3.67948E+13 1.21654E+09
4.60000E-06 3.36957E+13 1.11407E+09
4.70000E-06 3.09160E+13 1.02217E+09
4.80000E-06 2.84171E+13 9.39547E+08
4.90000E-06 2.61655E+13 8.65104E+08
5.00000E-06 2.41326E+13 7.97888E+08
5.10000E-06 2.22932E+13 7.37074E+08
5.20000E-06 2.06257E+13 6.81942E+08
5.30000E-06 1.91112E+13 6.31869E+08
5.40000E-06 1.77331E+13 5.86306E+08
5.50000E-06 1.64770E+13 5.44776E+08
5.60000E-06 1.53302E+13 5.06858E+08
5.70000E-06 1.42814E+13 4.72181E+08
5.80000E-06 1.33207E+13 4.40418E+08
5.90000E-06 1.24394E+13 4.11281E+08
6.00000E-06 1.16298E+13 3.84513E+08
6.10000E-06 1.08850E+13 3.59887E+08
6.20000E-06 1.01988E+13 3.37200E+08
6.30000E-06 9.56583E+12 3.16273E+08
6.40000E-06 8.98120E+12 2.96943E+08
6.50000E-06 8.44053E+12 2.79067E+08
6.60000E-06 7.93993E+12 2.62516E+08
6.70000E-06 7.47589E+12 2.47173E+08
6.80000E-06 7.04524E+12 2.32935E+08
6.90000E-06 6.64514E+12 2.19707E+08
7.00000E-06 6.27304E+12 2.07404E+08
7.10000E-06 5.92660E+12 1.95950E+08
7.20000E-06 5.60375E+12 1.85275E+08
7.30000E-06 5.30257E+12 1.75318E+08
7.40000E-06 5.02135E+12 1.66020E+08
7.50000E-06 4.75851E+12 1.57330E+08
7.60000E-06 4.51265E+12 1.49201E+08
7.70000E-06 4.28245E+12 1.41590E+08
7.80000E-06 4.06674E+12 1.34457E+08
7.90000E-06 3.86443E+12 1.27769E+08
8.00000E-06 3.67454E+12 1.21490E+08
8.10000E-06 3.49617E+12 1.15593E+08
8.20000E-06 3.32848E+12 1.10049E+08
8.30000E-06 3.17072E+12 1.04833E+08
8.40000E-06 3.02220E+12 9.99222E+07
