#  FeatureSize(cm)    Fluence(mum2)   Dose(Gy)
1.00000E-07 1.51361E+20 5.00440E+15
2.00000E-07 9.46004E+18 3.12775E+14
3.00000E-07 1.86865E+18 6.17827E+13
4.00000E-07 5.91252E+17 1.95484E+13
5.00000E-07 2.42177E+17 8.00703E+12
6.00000E-07 1.16791E+17 3.86142E+12
7.00000E-07 6.30406E+16 2.08430E+12
8.00000E-07 3.69533E+16 1.22178E+12
9.00000E-07 2.30697E+16 7.62749E+11
1.00000E-06 1.51361E+16 5.00440E+11
1.10000E-06 1.03381E+16 3.41807E+11
1.20000E-06 7.29941E+15 2.41339E+11
1.30000E-06 5.29955E+15 1.75218E+11
1.40000E-06 3.94004E+15 1.30269E+11
1.50000E-06 2.98984E+15 9.88523E+10
1.60000E-06 2.30958E+15 7.63610E+10
1.70000E-06 1.81225E+15 5.99178E+10
1.80000E-06 1.44186E+15 4.76718E+10
1.90000E-06 1.16144E+15 3.84005E+10
2.00000E-06 9.46004E+14 3.12775E+10
2.10000E-06 7.78279E+14 2.57321E+10
2.20000E-06 6.46133E+14 2.13629E+10
2.30000E-06 5.40881E+14 1.78830E+10
2.40000E-06 4.56213E+14 1.50837E+10
2.50000E-06 3.87483E+14 1.28113E+10
2.60000E-06 3.31222E+14 1.09511E+10
2.70000E-06 2.84812E+14 9.41665E+09
2.80000E-06 2.46252E+14 8.14178E+09
2.90000E-06 2.14003E+14 7.07554E+09
3.00000E-06 1.86865E+14 6.17827E+09
3.10000E-06 1.63895E+14 5.41882E+09
3.20000E-06 1.44349E+14 4.77256E+09
3.30000E-06 1.27631E+14 4.21984E+09
3.40000E-06 1.13265E+14 3.74486E+09
3.50000E-06 1.00865E+14 3.33487E+09
3.60000E-06 9.01162E+13 2.97949E+09
3.70000E-06 8.07618E+13 2.67021E+09
3.80000E-06 7.25903E+13 2.40003E+09
3.90000E-06 6.54266E+13 2.16318E+09
4.00000E-06 5.91252E+13 1.95484E+09
4.10000E-06 5.35645E+13 1.77099E+09
4.20000E-06 4.86425E+13 1.60825E+09
4.30000E-06 4.42730E+13 1.46379E+09
4.40000E-06 4.03833E+13 1.33518E+09
4.50000E-06 3.69116E+13 1.22040E+09
4.60000E-06 3.38050E+13 1.11769E+09
4.70000E-06 3.10185E+13 1.02556E+09
4.80000E-06 2.85133E+13 9.42729E+08
4.90000E-06 2.62560E+13 8.68095E+08
5.00000E-06 2.42177E+13 8.00703E+08
5.10000E-06 2.23734E+13 7.39726E+08
5.20000E-06 2.07014E+13 6.84445E+08
5.30000E-06 1.91827E+13 6.34232E+08
5.40000E-06 1.78007E+13 5.88541E+08
5.50000E-06 1.65410E+13 5.46891E+08
5.60000E-06 1.53908E+13 5.08861E+08
5.70000E-06 1.43388E+13 4.74081E+08
5.80000E-06 1.33752E+13 4.42221E+08
5.90000E-06 1.24912E+13 4.12994E+08
6.00000E-06 1.16791E+13 3.86142E+08
6.10000E-06 1.09318E+13 3.61437E+08
6.20000E-06 1.02434E+13 3.38676E+08
6.30000E-06 9.60839E+12 3.17680E+08
6.40000E-06 9.02179E+12 2.98285E+08
6.50000E-06 8.47929E+12 2.80349E+08
6.60000E-06 7.97695E+12 2.63740E+08
6.70000E-06 7.51127E+12 2.48343E+08
6.80000E-06 7.07908E+12 2.34054E+08
6.90000E-06 6.67754E+12 2.20778E+08
7.00000E-06 6.30406E+12 2.08430E+08
7.10000E-06 5.95634E+12 1.96933E+08
7.20000E-06 5.63226E+12 1.86218E+08
7.30000E-06 5.32993E+12 1.76222E+08
7.40000E-06 5.04761E+12 1.66888E+08
7.50000E-06 4.78374E+12 1.58164E+08
7.60000E-06 4.53689E+12 1.50002E+08
7.70000E-06 4.30576E+12 1.42360E+08
7.80000E-06 4.08916E+12 1.35199E+08
7.90000E-06 3.88601E+12 1.28482E+08
8.00000E-06 3.69533E+12 1.22178E+08
8.10000E-06 3.51619E+12 1.16255E+08
8.20000E-06 3.34778E+12 1.10687E+08
8.30000E-06 3.18934E+12 1.05448E+08
8.40000E-06 3.04015E+12 1.00516E+08
8.50000E-06 2.89959E+12 9.58685E+07
8.60000E-06 2.76706E+12 9.14867E+07
8.70000E-06 2.64202E+12 8.73524E+07
8.80000E-06 2.52396E+12 8.34490E+07
8.90000E-06 2.41242E+12 7.97612E+07
9.00000E-06 2.30697E+12 7.62749E+07
9.10000E-06 2.20723E+12 7.29770E+07
9.20000E-06 2.11281E+12 6.98555E+07
9.30000E-06 2.02340E+12 6.68990E+07
9.40000E-06 1.93866E+12 6.40974E+07
9.50000E-06 1.85831E+12 6.14409E+07
9.60000E-06 1.78208E+12 5.89205E+07
9.70000E-06 1.70972E+12 5.65281E+07
9.80000E-06 1.64100E+12 5.42559E+07
9.90000E-06 1.57569E+12 5.20968E+07
1.00000E-05 1.51361E+12 5.00440E+07
1.01000E-05 1.45455E+12 4.80913E+07
1.02000E-05 1.39834E+12 4.62329E+07
1.03000E-05 1.34482E+12 4.44634E+07
1.04000E-05 1.29384E+12 4.27778E+07
1.05000E-05 1.24525E+12 4.11713E+07
1.06000E-05 1.19892E+12 3.96395E+07
1.07000E-05 1.15472E+12 3.81783E+07
1.08000E-05 1.11255E+12 3.67838E+07
1.09000E-05 1.07228E+12 3.54524E+07
1.10000E-05 1.03381E+12 3.41807E+07
1.11000E-05 9.97059E+11 3.29655E+07
