#  FeatureSize(cm)    Fluence(mum2)   Dose(Gy)
1.00000E-07 3.67507E+20 1.21508E+16
2.00000E-07 2.29692E+19 7.59424E+14
3.00000E-07 4.53712E+18 1.50010E+14
4.00000E-07 1.43557E+18 4.74640E+13
5.00000E-07 5.88011E+17 1.94412E+13
6.00000E-07 2.83570E+17 9.37560E+12
7.00000E-07 1.53064E+17 5.06072E+12
8.00000E-07 8.97233E+16 2.96650E+12
9.00000E-07 5.60138E+16 1.85197E+12
1.00000E-06 3.67507E+16 1.21508E+12
1.10000E-06 2.51012E+16 8.29914E+11
1.20000E-06 1.77231E+16 5.85975E+11
1.30000E-06 1.28674E+16 4.25433E+11
1.40000E-06 9.56650E+15 3.16295E+11
1.50000E-06 7.25939E+15 2.40015E+11
1.60000E-06 5.60771E+15 1.85406E+11
1.70000E-06 4.40017E+15 1.45482E+11
1.80000E-06 3.50086E+15 1.15748E+11
1.90000E-06 2.82001E+15 9.32373E+10
2.00000E-06 2.29692E+15 7.59424E+10
2.10000E-06 1.88968E+15 6.24780E+10
2.20000E-06 1.56882E+15 5.18697E+10
2.30000E-06 1.31327E+15 4.34203E+10
2.40000E-06 1.10769E+15 3.66234E+10
2.50000E-06 9.40817E+14 3.11060E+10
2.60000E-06 8.04214E+14 2.65895E+10
2.70000E-06 6.91529E+14 2.28638E+10
2.80000E-06 5.97906E+14 1.97684E+10
2.90000E-06 5.19605E+14 1.71796E+10
3.00000E-06 4.53712E+14 1.50010E+10
3.10000E-06 3.97941E+14 1.31570E+10
3.20000E-06 3.50482E+14 1.15879E+10
3.30000E-06 3.09891E+14 1.02459E+10
3.40000E-06 2.75011E+14 9.09261E+09
3.50000E-06 2.44902E+14 8.09714E+09
3.60000E-06 2.18804E+14 7.23426E+09
3.70000E-06 1.96091E+14 6.48332E+09
3.80000E-06 1.76251E+14 5.82733E+09
3.90000E-06 1.58857E+14 5.25225E+09
4.00000E-06 1.43557E+14 4.74640E+09
4.10000E-06 1.30056E+14 4.30000E+09
4.20000E-06 1.18105E+14 3.90487E+09
4.30000E-06 1.07496E+14 3.55411E+09
4.40000E-06 9.80515E+13 3.24185E+09
4.50000E-06 8.96221E+13 2.96315E+09
4.60000E-06 8.20793E+13 2.71377E+09
4.70000E-06 7.53137E+13 2.49008E+09
4.80000E-06 6.92309E+13 2.28896E+09
4.90000E-06 6.37501E+13 2.10775E+09
5.00000E-06 5.88011E+13 1.94412E+09
5.10000E-06 5.43231E+13 1.79607E+09
5.20000E-06 5.02634E+13 1.66185E+09
5.30000E-06 4.65759E+13 1.53993E+09
5.40000E-06 4.32205E+13 1.42899E+09
5.50000E-06 4.01619E+13 1.32786E+09
5.60000E-06 3.73691E+13 1.23553E+09
5.70000E-06 3.48149E+13 1.15108E+09
5.80000E-06 3.24753E+13 1.07372E+09
5.90000E-06 3.03289E+13 1.00276E+09
6.00000E-06 2.83570E+13 9.37560E+08
6.10000E-06 2.65427E+13 8.77576E+08
6.20000E-06 2.48713E+13 8.22313E+08
6.30000E-06 2.33294E+13 7.71333E+08
6.40000E-06 2.19051E+13 7.24243E+08
6.50000E-06 2.05879E+13 6.80692E+08
6.60000E-06 1.93682E+13 6.40366E+08
6.70000E-06 1.82375E+13 6.02983E+08
6.80000E-06 1.71882E+13 5.68288E+08
6.90000E-06 1.62132E+13 5.36053E+08
7.00000E-06 1.53064E+13 5.06072E+08
7.10000E-06 1.44621E+13 4.78157E+08
7.20000E-06 1.36752E+13 4.52141E+08
7.30000E-06 1.29412E+13 4.27871E+08
7.40000E-06 1.22557E+13 4.05207E+08
7.50000E-06 1.16150E+13 3.84025E+08
7.60000E-06 1.10157E+13 3.64208E+08
7.70000E-06 1.04545E+13 3.45654E+08
7.80000E-06 9.92857E+12 3.28266E+08
7.90000E-06 9.43532E+12 3.11958E+08
8.00000E-06 8.97233E+12 2.96650E+08
8.10000E-06 8.53739E+12 2.82270E+08
8.20000E-06 8.12849E+12 2.68750E+08
8.30000E-06 7.74378E+12 2.56031E+08
8.40000E-06 7.38156E+12 2.44055E+08
8.50000E-06 7.04027E+12 2.32771E+08
8.60000E-06 6.71848E+12 2.22132E+08
8.70000E-06 6.41487E+12 2.12093E+08
8.80000E-06 6.12822E+12 2.02616E+08
8.90000E-06 5.85740E+12 1.93662E+08
9.00000E-06 5.60138E+12 1.85197E+08
9.10000E-06 5.35920E+12 1.77190E+08
9.20000E-06 5.12996E+12 1.69611E+08
9.30000E-06 4.91285E+12 1.62432E+08
9.40000E-06 4.70710E+12 1.55630E+08
9.50000E-06 4.51202E+12 1.49180E+08
9.60000E-06 4.32693E+12 1.43060E+08
9.70000E-06 4.15124E+12 1.37252E+08
