#  FeatureSize(cm)    Fluence(mum2)   Dose(Gy)
1.00000E-07 1.75072E+20 5.78837E+15
2.00000E-07 1.09412E+19 3.61748E+14
3.00000E-07 2.16108E+18 7.14513E+13
4.00000E-07 6.83732E+17 2.26060E+13
5.00000E-07 2.80037E+17 9.25878E+12
6.00000E-07 1.35039E+17 4.46476E+12
7.00000E-07 7.28856E+16 2.40980E+12
8.00000E-07 4.27212E+16 1.41248E+12
9.00000E-07 2.66688E+16 8.81742E+11
1.00000E-06 1.74961E+16 5.78470E+11
1.10000E-06 1.19493E+16 3.95075E+11
1.20000E-06 8.43638E+15 2.78930E+11
1.30000E-06 6.12459E+15 2.02496E+11
1.40000E-06 4.55311E+15 1.50538E+11
1.50000E-06 3.45481E+15 1.14226E+11
1.60000E-06 2.66857E+15 8.82303E+10
1.70000E-06 2.09379E+15 6.92264E+10
1.80000E-06 1.66574E+15 5.50740E+10
1.90000E-06 1.34169E+15 4.43600E+10
2.00000E-06 1.09274E+15 3.61290E+10
2.10000E-06 8.98936E+14 2.97213E+10
2.20000E-06 7.46251E+14 2.46731E+10
2.30000E-06 6.24645E+14 2.06525E+10
2.40000E-06 5.26829E+14 1.74184E+10
2.50000E-06 4.47428E+14 1.47932E+10
2.60000E-06 3.82437E+14 1.26444E+10
2.70000E-06 3.28827E+14 1.08719E+10
2.80000E-06 2.84289E+14 9.39937E+09
2.90000E-06 2.47041E+14 8.16786E+09
3.00000E-06 2.15698E+14 7.13156E+09
3.10000E-06 1.89170E+14 6.25450E+09
3.20000E-06 1.66598E+14 5.50818E+09
3.30000E-06 1.47293E+14 4.86992E+09
3.40000E-06 1.30705E+14 4.32147E+09
3.50000E-06 1.16387E+14 3.84808E+09
3.60000E-06 1.03977E+14 3.43776E+09
3.70000E-06 9.31772E+13 3.08069E+09
3.80000E-06 8.37436E+13 2.76879E+09
3.90000E-06 7.54739E+13 2.49537E+09
4.00000E-06 6.82000E+13 2.25488E+09
4.10000E-06 6.17815E+13 2.04267E+09
4.20000E-06 5.61004E+13 1.85483E+09
4.30000E-06 5.10574E+13 1.68810E+09
4.40000E-06 4.65684E+13 1.53968E+09
4.50000E-06 4.25619E+13 1.40721E+09
4.60000E-06 3.89771E+13 1.28869E+09
4.70000E-06 3.57617E+13 1.18238E+09
4.80000E-06 3.28711E+13 1.08681E+09
4.90000E-06 3.02667E+13 1.00070E+09
5.00000E-06 2.79150E+13 9.22948E+08
5.10000E-06 2.57874E+13 8.52601E+08
5.20000E-06 2.38585E+13 7.88828E+08
5.30000E-06 2.21066E+13 7.30906E+08
5.40000E-06 2.05126E+13 6.78203E+08
5.50000E-06 1.90596E+13 6.30163E+08
5.60000E-06 1.77330E+13 5.86302E+08
5.70000E-06 1.65198E+13 5.46189E+08
5.80000E-06 1.54085E+13 5.09448E+08
5.90000E-06 1.43891E+13 4.75744E+08
6.00000E-06 1.34526E+13 4.44780E+08
6.10000E-06 1.25910E+13 4.16294E+08
6.20000E-06 1.17973E+13 3.90052E+08
6.30000E-06 1.10652E+13 3.65844E+08
6.40000E-06 1.03889E+13 3.43485E+08
6.50000E-06 9.76349E+12 3.22808E+08
6.60000E-06 9.18442E+12 3.03662E+08
6.70000E-06 8.64764E+12 2.85915E+08
6.80000E-06 8.14949E+12 2.69445E+08
6.90000E-06 7.68669E+12 2.54143E+08
7.00000E-06 7.25626E+12 2.39912E+08
7.10000E-06 6.85553E+12 2.26663E+08
7.20000E-06 6.48207E+12 2.14315E+08
7.30000E-06 6.13368E+12 2.02796E+08
7.40000E-06 5.80838E+12 1.92041E+08
7.50000E-06 5.50436E+12 1.81989E+08
7.60000E-06 5.21995E+12 1.72586E+08
7.70000E-06 4.95367E+12 1.63782E+08
7.80000E-06 4.70415E+12 1.55532E+08
7.90000E-06 4.47013E+12 1.47795E+08
8.00000E-06 4.25048E+12 1.40533E+08
8.10000E-06 4.04415E+12 1.33711E+08
8.20000E-06 3.85018E+12 1.27298E+08
8.30000E-06 3.66770E+12 1.21264E+08
8.40000E-06 3.49589E+12 1.15584E+08
8.50000E-06 3.33402E+12 1.10232E+08
8.60000E-06 3.18141E+12 1.05186E+08
8.70000E-06 3.03743E+12 1.00426E+08
8.80000E-06 2.90149E+12 9.59313E+07
8.90000E-06 2.77307E+12 9.16854E+07
9.00000E-06 2.65168E+12 8.76717E+07
9.10000E-06 2.53685E+12 8.38752E+07
9.20000E-06 2.42816E+12 8.02818E+07
9.30000E-06 2.32523E+12 7.68786E+07
9.40000E-06 2.22770E+12 7.36538E+07
9.50000E-06 2.13522E+12 7.05962E+07
9.60000E-06 2.04749E+12 6.76956E+07
9.70000E-06 1.96421E+12 6.49423E+07
9.80000E-06 1.88513E+12 6.23275E+07
9.90000E-06 1.80998E+12 5.98429E+07
1.00000E-05 1.73853E+12 5.74807E+07
1.01000E-05 1.67058E+12 5.52339E+07
1.02000E-05 1.60591E+12 5.30958E+07
1.03000E-05 1.54434E+12 5.10600E+07
1.04000E-05 1.48569E+12 4.91209E+07
1.05000E-05 1.42979E+12 4.72728E+07
1.06000E-05 1.37650E+12 4.55108E+07
1.07000E-05 1.32566E+12 4.38300E+07
1.08000E-05 1.27715E+12 4.22261E+07
1.09000E-05 1.23084E+12 4.06948E+07
1.10000E-05 1.18660E+12 3.92323E+07
1.11000E-05 1.14433E+12 3.78348E+07
1.12000E-05 1.10393E+12 3.64990E+07
1.13000E-05 1.06529E+12 3.52216E+07
1.14000E-05 1.02833E+12 3.39995E+07
1.15000E-05 9.92957E+11 3.28299E+07
1.16000E-05 9.59089E+11 3.17101E+07
1.17000E-05 9.26652E+11 3.06377E+07
1.18000E-05 8.95574E+11 2.96101E+07
1.19000E-05 8.65787E+11 2.86253E+07
1.20000E-05 8.37226E+11 2.76810E+07
1.21000E-05 8.09833E+11 2.67753E+07
1.22000E-05 7.83550E+11 2.59063E+07
1.23000E-05 7.58324E+11 2.50723E+07
1.24000E-05 7.34105E+11 2.42715E+07
1.25000E-05 7.10843E+11 2.35024E+07
1.26000E-05 6.88495E+11 2.27635E+07
1.27000E-05 6.67018E+11 2.20534E+07
1.28000E-05 6.46371E+11 2.13708E+07
1.29000E-05 6.26515E+11 2.07143E+07
1.30000E-05 6.07416E+11 2.00829E+07
