#  FeatureSize(cm)    Fluence(mum2)   Dose(Gy)
1.00000E-07 4.25109E+20 1.40553E+16
2.00000E-07 2.65693E+19 8.78454E+14
3.00000E-07 5.24826E+18 1.73522E+14
4.00000E-07 1.66058E+18 5.49034E+13
5.00000E-07 6.80174E+17 2.24884E+13
6.00000E-07 3.28016E+17 1.08451E+13
7.00000E-07 1.77055E+17 5.85392E+12
8.00000E-07 1.03786E+17 3.43146E+12
9.00000E-07 6.47933E+16 2.14224E+12
1.00000E-06 4.25109E+16 1.40553E+12
1.10000E-06 2.90355E+16 9.59994E+11
1.20000E-06 2.05010E+16 6.77820E+11
1.30000E-06 1.48842E+16 4.92114E+11
1.40000E-06 1.10659E+16 3.65870E+11
1.50000E-06 8.39721E+15 2.77635E+11
1.60000E-06 6.48665E+15 2.14466E+11
1.70000E-06 5.08984E+15 1.68284E+11
1.80000E-06 4.04958E+15 1.33890E+11
1.90000E-06 3.26201E+15 1.07851E+11
2.00000E-06 2.65693E+15 8.78454E+10
2.10000E-06 2.18586E+15 7.22706E+10
2.20000E-06 1.81472E+15 5.99996E+10
2.30000E-06 1.51911E+15 5.02259E+10
2.40000E-06 1.28131E+15 4.23637E+10
2.50000E-06 1.08828E+15 3.59815E+10
2.60000E-06 9.30265E+14 3.07571E+10
2.70000E-06 7.99917E+14 2.64475E+10
2.80000E-06 6.91621E+14 2.28669E+10
2.90000E-06 6.01047E+14 1.98723E+10
3.00000E-06 5.24826E+14 1.73522E+10
3.10000E-06 4.60313E+14 1.52192E+10
3.20000E-06 4.05415E+14 1.34041E+10
3.30000E-06 3.58463E+14 1.18518E+10
3.40000E-06 3.18115E+14 1.05178E+10
3.50000E-06 2.83288E+14 9.36627E+09
3.60000E-06 2.53099E+14 8.36814E+09
3.70000E-06 2.26826E+14 7.49950E+09
3.80000E-06 2.03876E+14 6.74070E+09
3.90000E-06 1.83756E+14 6.07548E+09
4.00000E-06 1.66058E+14 5.49034E+09
4.10000E-06 1.50440E+14 4.97398E+09
4.20000E-06 1.36616E+14 4.51692E+09
4.30000E-06 1.24344E+14 4.11117E+09
4.40000E-06 1.13420E+14 3.74998E+09
4.50000E-06 1.03669E+14 3.42759E+09
4.60000E-06 9.49443E+13 3.13912E+09
4.70000E-06 8.71182E+13 2.88037E+09
4.80000E-06 8.00821E+13 2.64773E+09
4.90000E-06 7.37422E+13 2.43812E+09
5.00000E-06 6.80174E+13 2.24884E+09
5.10000E-06 6.28376E+13 2.07758E+09
5.20000E-06 5.81416E+13 1.92232E+09
5.30000E-06 5.38762E+13 1.78129E+09
5.40000E-06 4.99948E+13 1.65297E+09
5.50000E-06 4.64568E+13 1.53599E+09
5.60000E-06 4.32263E+13 1.42918E+09
5.70000E-06 4.02718E+13 1.33150E+09
5.80000E-06 3.75654E+13 1.24202E+09
5.90000E-06 3.50826E+13 1.15993E+09
6.00000E-06 3.28016E+13 1.08451E+09
6.10000E-06 3.07030E+13 1.01513E+09
6.20000E-06 2.87696E+13 9.51201E+08
6.30000E-06 2.69860E+13 8.92230E+08
6.40000E-06 2.53385E+13 8.37759E+08
6.50000E-06 2.38148E+13 7.87382E+08
6.60000E-06 2.24039E+13 7.40736E+08
6.70000E-06 2.10960E+13 6.97493E+08
6.80000E-06 1.98822E+13 6.57360E+08
6.90000E-06 1.87544E+13 6.20073E+08
7.00000E-06 1.77055E+13 5.85392E+08
7.10000E-06 1.67289E+13 5.53103E+08
7.20000E-06 1.58187E+13 5.23009E+08
7.30000E-06 1.49695E+13 4.94934E+08
7.40000E-06 1.41766E+13 4.68719E+08
7.50000E-06 1.34355E+13 4.44216E+08
7.60000E-06 1.27422E+13 4.21293E+08
7.70000E-06 1.20931E+13 3.99831E+08
7.80000E-06 1.14848E+13 3.79718E+08
7.90000E-06 1.09142E+13 3.60853E+08
8.00000E-06 1.03786E+13 3.43146E+08
8.10000E-06 9.87552E+12 3.26512E+08
8.20000E-06 9.40253E+12 3.10873E+08
8.30000E-06 8.95752E+12 2.96160E+08
8.40000E-06 8.53853E+12 2.82307E+08
8.50000E-06 8.14375E+12 2.69255E+08
8.60000E-06 7.77153E+12 2.56948E+08
8.70000E-06 7.42033E+12 2.45336E+08
8.80000E-06 7.08875E+12 2.34373E+08
8.90000E-06 6.77548E+12 2.24016E+08
9.00000E-06 6.47933E+12 2.14224E+08
9.10000E-06 6.19918E+12 2.04962E+08
9.20000E-06 5.93402E+12 1.96195E+08
9.30000E-06 5.68288E+12 1.87892E+08
9.40000E-06 5.44489E+12 1.80023E+08
9.50000E-06 5.21922E+12 1.72562E+08
9.60000E-06 5.00513E+12 1.65483E+08
9.70000E-06 4.80190E+12 1.58764E+08
9.80000E-06 4.60888E+12 1.52382E+08
9.90000E-06 4.42547E+12 1.46318E+08
1.00000E-05 4.25109E+12 1.40553E+08
1.01000E-05 4.08521E+12 1.35068E+08
1.02000E-05 3.92735E+12 1.29849E+08
1.03000E-05 3.77704E+12 1.24879E+08
1.04000E-05 3.63385E+12 1.20145E+08
1.05000E-05 3.49738E+12 1.15633E+08
1.06000E-05 3.36726E+12 1.11331E+08
1.07000E-05 3.24314E+12 1.07227E+08
1.08000E-05 3.12468E+12 1.03310E+08
1.09000E-05 3.01158E+12 9.95711E+07
1.10000E-05 2.90355E+12 9.59994E+07
1.11000E-05 2.80032E+12 9.25864E+07
1.12000E-05 2.70164E+12 8.93238E+07
1.13000E-05 2.60727E+12 8.62036E+07
1.14000E-05 2.51699E+12 8.32185E+07
1.15000E-05 2.43057E+12 8.03614E+07
1.16000E-05 2.34784E+12 7.76260E+07
1.17000E-05 2.26859E+12 7.50059E+07
1.18000E-05 2.19266E+12 7.24955E+07
1.19000E-05 2.11989E+12 7.00892E+07
1.20000E-05 2.05010E+12 6.77820E+07
1.21000E-05 1.98316E+12 6.55689E+07
1.22000E-05 1.91894E+12 6.34453E+07
1.23000E-05 1.85729E+12 6.14071E+07
1.24000E-05 1.79810E+12 5.94501E+07
1.25000E-05 1.74125E+12 5.75704E+07
1.26000E-05 1.68662E+12 5.57644E+07
1.27000E-05 1.63412E+12 5.40287E+07
1.28000E-05 1.58365E+12 5.23599E+07
1.29000E-05 1.53512E+12 5.07552E+07
1.30000E-05 1.48842E+12 4.92114E+07
1.31000E-05 1.44349E+12 4.77259E+07
1.32000E-05 1.40025E+12 4.62960E+07
1.33000E-05 1.35861E+12 4.49193E+07
1.34000E-05 1.31850E+12 4.35933E+07
1.35000E-05 1.27987E+12 4.23159E+07
1.36000E-05 1.24264E+12 4.10850E+07
1.37000E-05 1.20675E+12 3.98985E+07
1.38000E-05 1.17215E+12 3.87546E+07
1.39000E-05 1.13878E+12 3.76513E+07
1.40000E-05 1.10659E+12 3.65870E+07
1.41000E-05 1.07553E+12 3.55601E+07
1.42000E-05 1.04555E+12 3.45689E+07
1.43000E-05 1.01661E+12 3.36120E+07
1.44000E-05 9.88667E+11 3.26881E+07
1.45000E-05 9.61675E+11 3.17956E+07
1.46000E-05 9.35597E+11 3.09334E+07
1.47000E-05 9.10397E+11 3.01002E+07
1.48000E-05 8.86040E+11 2.92949E+07
1.49000E-05 8.62492E+11 2.85164E+07
1.50000E-05 8.39721E+11 2.77635E+07
1.51000E-05 8.17697E+11 2.70353E+07
1.52000E-05 7.96390E+11 2.63308E+07
1.53000E-05 7.75773E+11 2.56492E+07
1.54000E-05 7.55818E+11 2.49894E+07
1.55000E-05 7.36501E+11 2.43507E+07
1.56000E-05 7.17797E+11 2.37323E+07
1.57000E-05 6.99683E+11 2.31335E+07
1.58000E-05 6.82137E+11 2.25533E+07
1.59000E-05 6.65138E+11 2.19913E+07
1.60000E-05 6.48665E+11 2.14466E+07
1.61000E-05 6.32698E+11 2.09187E+07
1.62000E-05 6.17220E+11 2.04070E+07
1.63000E-05 6.02212E+11 1.99108E+07
1.64000E-05 5.87658E+11 1.94296E+07
1.65000E-05 5.73541E+11 1.89628E+07
1.66000E-05 5.59845E+11 1.85100E+07
1.67000E-05 5.46556E+11 1.80706E+07
1.68000E-05 5.33658E+11 1.76442E+07
1.69000E-05 5.21139E+11 1.72303E+07
1.70000E-05 5.08984E+11 1.68284E+07
1.71000E-05 4.97182E+11 1.64382E+07
1.72000E-05 4.85720E+11 1.60593E+07
1.73000E-05 4.74587E+11 1.56911E+07
1.74000E-05 4.63771E+11 1.53335E+07
1.75000E-05 4.53261E+11 1.49860E+07
1.76000E-05 4.43047E+11 1.46483E+07
1.77000E-05 4.33119E+11 1.43201E+07
1.78000E-05 4.23468E+11 1.40010E+07
1.79000E-05 4.14084E+11 1.36907E+07
1.80000E-05 4.04958E+11 1.33890E+07
1.81000E-05 3.96083E+11 1.30956E+07
1.82000E-05 3.87449E+11 1.28101E+07
1.83000E-05 3.79049E+11 1.25324E+07
1.84000E-05 3.70876E+11 1.22622E+07
1.85000E-05 3.62922E+11 1.19992E+07
1.86000E-05 3.55180E+11 1.17432E+07
1.87000E-05 3.47643E+11 1.14940E+07
1.88000E-05 3.40305E+11 1.12514E+07
1.89000E-05 3.33160E+11 1.10152E+07
1.90000E-05 3.26201E+11 1.07851E+07
1.91000E-05 3.19423E+11 1.05610E+07
1.92000E-05 3.12821E+11 1.03427E+07
1.93000E-05 3.06387E+11 1.01300E+07
1.94000E-05 3.00119E+11 9.92275E+06
1.95000E-05 2.94010E+11 9.72077E+06
1.96000E-05 2.88055E+11 9.52390E+06
1.97000E-05 2.82251E+11 9.33199E+06
1.98000E-05 2.76592E+11 9.14489E+06
1.99000E-05 2.71074E+11 8.96245E+06
2.00000E-05 2.65693E+11 8.78454E+06
2.01000E-05 2.60445E+11 8.61103E+06
2.02000E-05 2.55326E+11 8.44177E+06
2.03000E-05 2.50332E+11 8.27666E+06
2.04000E-05 2.45459E+11 8.11556E+06
2.05000E-05 2.40705E+11 7.95836E+06
2.06000E-05 2.36065E+11 7.80495E+06
2.07000E-05 2.31536E+11 7.65522E+06
2.08000E-05 2.27116E+11 7.50906E+06
2.09000E-05 2.22800E+11 7.36638E+06
2.10000E-05 2.18586E+11 7.22706E+06
2.11000E-05 2.14472E+11 7.09103E+06
2.12000E-05 2.10454E+11 6.95818E+06
2.13000E-05 2.06529E+11 6.82843E+06
2.14000E-05 2.02696E+11 6.70168E+06
2.15000E-05 1.98951E+11 6.57787E+06
2.16000E-05 1.95292E+11 6.45690E+06
2.17000E-05 1.91717E+11 6.33870E+06
2.18000E-05 1.88224E+11 6.22319E+06
2.19000E-05 1.84809E+11 6.11030E+06
2.20000E-05 1.81472E+11 5.99996E+06
2.21000E-05 1.78210E+11 5.89210E+06
2.22000E-05 1.75020E+11 5.78665E+06
2.23000E-05 1.71902E+11 5.68355E+06
2.24000E-05 1.68853E+11 5.58273E+06
2.25000E-05 1.65871E+11 5.48415E+06
2.26000E-05 1.62955E+11 5.38772E+06
2.27000E-05 1.60102E+11 5.29341E+06
2.28000E-05 1.57312E+11 5.20115E+06
2.29000E-05 1.54582E+11 5.11090E+06
2.30000E-05 1.51911E+11 5.02259E+06
2.31000E-05 1.49297E+11 4.93618E+06
2.32000E-05 1.46740E+11 4.85162E+06
2.33000E-05 1.44237E+11 4.76887E+06
2.34000E-05 1.41787E+11 4.68787E+06
2.35000E-05 1.39389E+11 4.60859E+06
2.36000E-05 1.37042E+11 4.53097E+06
2.37000E-05 1.34743E+11 4.45498E+06
2.38000E-05 1.32493E+11 4.38058E+06
2.39000E-05 1.30289E+11 4.30772E+06
2.40000E-05 1.28131E+11 4.23637E+06
2.41000E-05 1.26018E+11 4.16650E+06
2.42000E-05 1.23948E+11 4.09805E+06
2.43000E-05 1.21920E+11 4.03101E+06
2.44000E-05 1.19934E+11 3.96533E+06
2.45000E-05 1.17987E+11 3.90099E+06
