#  FeatureSize(cm)    Fluence(mum2)   Dose(Gy)
1.00000E-07 2.32417E+20 7.68434E+15
2.00000E-07 1.45250E+19 4.80238E+14
3.00000E-07 2.86894E+18 9.48551E+13
4.00000E-07 9.07687E+17 3.00106E+13
5.00000E-07 3.71763E+17 1.22915E+13
6.00000E-07 1.79271E+17 5.92719E+12
7.00000E-07 9.67592E+16 3.19913E+12
8.00000E-07 5.67145E+16 1.87514E+12
9.00000E-07 3.54041E+16 1.17056E+12
1.00000E-06 2.32270E+16 7.67948E+11
1.10000E-06 1.58632E+16 5.24482E+11
1.20000E-06 1.11997E+16 3.70293E+11
1.30000E-06 8.13070E+15 2.68823E+11
1.40000E-06 6.04447E+15 1.99847E+11
1.50000E-06 4.58643E+15 1.51640E+11
1.60000E-06 3.54266E+15 1.17130E+11
1.70000E-06 2.77961E+15 9.19014E+10
1.80000E-06 2.21135E+15 7.31134E+10
1.90000E-06 1.78116E+15 5.88901E+10
2.00000E-06 1.45067E+15 4.79630E+10
2.10000E-06 1.19338E+15 3.94565E+10
2.20000E-06 9.90684E+14 3.27547E+10
2.30000E-06 8.29247E+14 2.74172E+10
2.40000E-06 6.99391E+14 2.31238E+10
2.50000E-06 5.93983E+14 1.96387E+10
2.60000E-06 5.07704E+14 1.67861E+10
2.70000E-06 4.36534E+14 1.44330E+10
2.80000E-06 3.77407E+14 1.24781E+10
2.90000E-06 3.27959E+14 1.08432E+10
3.00000E-06 2.86349E+14 9.46750E+09
3.10000E-06 2.51133E+14 8.30315E+09
3.20000E-06 2.21167E+14 7.31239E+09
3.30000E-06 1.95539E+14 6.46506E+09
3.40000E-06 1.73517E+14 5.73696E+09
3.50000E-06 1.54510E+14 5.10852E+09
3.60000E-06 1.38035E+14 4.56380E+09
3.70000E-06 1.23697E+14 4.08977E+09
3.80000E-06 1.11174E+14 3.67571E+09
3.90000E-06 1.00195E+14 3.31273E+09
4.00000E-06 9.05389E+13 2.99346E+09
4.10000E-06 8.20180E+13 2.71174E+09
4.20000E-06 7.44761E+13 2.46238E+09
4.30000E-06 6.77812E+13 2.24103E+09
4.40000E-06 6.18218E+13 2.04400E+09
4.50000E-06 5.65031E+13 1.86815E+09
4.60000E-06 5.17440E+13 1.71080E+09
4.70000E-06 4.74755E+13 1.56967E+09
4.80000E-06 4.36380E+13 1.44279E+09
4.90000E-06 4.01805E+13 1.32848E+09
5.00000E-06 3.70586E+13 1.22526E+09
5.10000E-06 3.42340E+13 1.13187E+09
5.20000E-06 3.16734E+13 1.04721E+09
5.30000E-06 2.93477E+13 9.70314E+08
5.40000E-06 2.72315E+13 9.00347E+08
5.50000E-06 2.53026E+13 8.36573E+08
5.60000E-06 2.35414E+13 7.78344E+08
5.70000E-06 2.19308E+13 7.25093E+08
5.80000E-06 2.04556E+13 6.76317E+08
5.90000E-06 1.91023E+13 6.31573E+08
6.00000E-06 1.78590E+13 5.90468E+08
6.10000E-06 1.67152E+13 5.52651E+08
6.20000E-06 1.56615E+13 5.17813E+08
6.30000E-06 1.46895E+13 4.85676E+08
6.40000E-06 1.37918E+13 4.55994E+08
6.50000E-06 1.29615E+13 4.28543E+08
6.60000E-06 1.21928E+13 4.03127E+08
6.70000E-06 1.14802E+13 3.79566E+08
6.80000E-06 1.08189E+13 3.57701E+08
6.90000E-06 1.02045E+13 3.37387E+08
7.00000E-06 9.63304E+12 3.18495E+08
7.10000E-06 9.10105E+12 3.00906E+08
7.20000E-06 8.60526E+12 2.84514E+08
7.30000E-06 8.14277E+12 2.69222E+08
7.40000E-06 7.71092E+12 2.54944E+08
7.50000E-06 7.30730E+12 2.41599E+08
7.60000E-06 6.92974E+12 2.29116E+08
7.70000E-06 6.57624E+12 2.17429E+08
7.80000E-06 6.24499E+12 2.06476E+08
7.90000E-06 5.93432E+12 1.96205E+08
8.00000E-06 5.64272E+12 1.86564E+08
8.10000E-06 5.36881E+12 1.77508E+08
8.20000E-06 5.11130E+12 1.68994E+08
8.30000E-06 4.86905E+12 1.60984E+08
8.40000E-06 4.64097E+12 1.53443E+08
8.50000E-06 4.42608E+12 1.46338E+08
8.60000E-06 4.22348E+12 1.39640E+08
8.70000E-06 4.03233E+12 1.33320E+08
8.80000E-06 3.85187E+12 1.27354E+08
8.90000E-06 3.68139E+12 1.21717E+08
9.00000E-06 3.52023E+12 1.16389E+08
9.10000E-06 3.36779E+12 1.11348E+08
9.20000E-06 3.22351E+12 1.06578E+08
9.30000E-06 3.08686E+12 1.02060E+08
9.40000E-06 2.95738E+12 9.77791E+07
9.50000E-06 2.83461E+12 9.37200E+07
9.60000E-06 2.71814E+12 8.98692E+07
9.70000E-06 2.60759E+12 8.62141E+07
9.80000E-06 2.50260E+12 8.27428E+07
9.90000E-06 2.40284E+12 7.94443E+07
1.00000E-05 2.30799E+12 7.63085E+07
1.01000E-05 2.21778E+12 7.33258E+07
1.02000E-05 2.13192E+12 7.04873E+07
1.03000E-05 2.05018E+12 6.77847E+07
1.04000E-05 1.97232E+12 6.52103E+07
1.05000E-05 1.89812E+12 6.27570E+07
1.06000E-05 1.82737E+12 6.04178E+07
1.07000E-05 1.75988E+12 5.81865E+07
1.08000E-05 1.69548E+12 5.60573E+07
1.09000E-05 1.63400E+12 5.40244E+07
1.10000E-05 1.57527E+12 5.20828E+07
1.11000E-05 1.51916E+12 5.02276E+07
1.12000E-05 1.46552E+12 4.84542E+07
1.13000E-05 1.41423E+12 4.67583E+07
1.14000E-05 1.36516E+12 4.51360E+07
1.15000E-05 1.31820E+12 4.35833E+07
1.16000E-05 1.27324E+12 4.20968E+07
1.17000E-05 1.23018E+12 4.06730E+07
1.18000E-05 1.18892E+12 3.93089E+07
1.19000E-05 1.14937E+12 3.80015E+07
1.20000E-05 1.11146E+12 3.67479E+07
1.21000E-05 1.07509E+12 3.55455E+07
1.22000E-05 1.04020E+12 3.43919E+07
1.23000E-05 1.00671E+12 3.32847E+07
1.24000E-05 9.74560E+11 3.22216E+07
1.25000E-05 9.43679E+11 3.12006E+07
1.26000E-05 9.14011E+11 3.02197E+07
1.27000E-05 8.85499E+11 2.92770E+07
1.28000E-05 8.58089E+11 2.83708E+07
1.29000E-05 8.31730E+11 2.74993E+07
1.30000E-05 8.06375E+11 2.66610E+07
1.31000E-05 7.81978E+11 2.58543E+07
1.32000E-05 7.58496E+11 2.50779E+07
1.33000E-05 7.35887E+11 2.43305E+07
1.34000E-05 7.14115E+11 2.36106E+07
1.35000E-05 6.93140E+11 2.29171E+07
1.36000E-05 6.72930E+11 2.22489E+07
1.37000E-05 6.53450E+11 2.16049E+07
1.38000E-05 6.34669E+11 2.09839E+07
1.39000E-05 6.16558E+11 2.03851E+07
1.40000E-05 5.99087E+11 1.98075E+07
1.41000E-05 5.82230E+11 1.92501E+07
1.42000E-05 5.65962E+11 1.87123E+07
1.43000E-05 5.50257E+11 1.81930E+07
1.44000E-05 5.35092E+11 1.76916E+07
1.45000E-05 5.20446E+11 1.72074E+07
1.46000E-05 5.06297E+11 1.67396E+07
1.47000E-05 4.92625E+11 1.62876E+07
1.48000E-05 4.79412E+11 1.58507E+07
1.49000E-05 4.66637E+11 1.54283E+07
1.50000E-05 4.54285E+11 1.50199E+07
1.51000E-05 4.42339E+11 1.46249E+07
