#  FeatureSize(cm)    Fluence(mum2)   Dose(Gy)
1.00000E-07 5.64353E+20 1.86591E+16
2.00000E-07 3.52721E+19 1.16619E+15
3.00000E-07 6.96732E+18 2.30359E+14
4.00000E-07 2.20450E+18 7.28869E+13
5.00000E-07 9.02965E+17 2.98545E+13
6.00000E-07 4.35457E+17 1.43974E+13
7.00000E-07 2.35049E+17 7.77137E+12
8.00000E-07 1.37781E+17 4.55543E+12
9.00000E-07 8.60163E+16 2.84393E+12
1.00000E-06 5.64353E+16 1.86591E+12
1.10000E-06 3.85461E+16 1.27444E+12
1.20000E-06 2.72161E+16 8.99839E+11
1.30000E-06 1.97596E+16 6.53305E+11
1.40000E-06 1.46906E+16 4.85711E+11
1.50000E-06 1.11477E+16 3.68574E+11
1.60000E-06 8.61134E+15 2.84715E+11
1.70000E-06 6.75702E+15 2.23406E+11
1.80000E-06 5.37602E+15 1.77746E+11
1.90000E-06 4.33048E+15 1.43178E+11
2.00000E-06 3.52721E+15 1.16619E+11
2.10000E-06 2.90184E+15 9.59428E+10
2.20000E-06 2.40913E+15 7.96524E+10
2.30000E-06 2.01669E+15 6.66774E+10
2.40000E-06 1.70101E+15 5.62399E+10
2.50000E-06 1.44474E+15 4.77672E+10
2.60000E-06 1.23497E+15 4.08316E+10
2.70000E-06 1.06193E+15 3.51103E+10
2.80000E-06 9.18161E+14 3.03569E+10
2.90000E-06 7.97919E+14 2.63814E+10
3.00000E-06 6.96732E+14 2.30359E+10
3.10000E-06 6.11088E+14 2.02043E+10
3.20000E-06 5.38209E+14 1.77947E+10
3.30000E-06 4.75877E+14 1.57338E+10
3.40000E-06 4.22314E+14 1.39628E+10
3.50000E-06 3.76079E+14 1.24342E+10
3.60000E-06 3.36001E+14 1.11091E+10
3.70000E-06 3.01123E+14 9.95595E+09
3.80000E-06 2.70655E+14 8.94860E+09
3.90000E-06 2.43945E+14 8.06550E+09
4.00000E-06 2.20450E+14 7.28869E+09
4.10000E-06 1.99717E+14 6.60320E+09
4.20000E-06 1.81365E+14 5.99643E+09
4.30000E-06 1.65073E+14 5.45778E+09
4.40000E-06 1.50571E+14 4.97828E+09
4.50000E-06 1.37626E+14 4.55030E+09
4.60000E-06 1.26043E+14 4.16733E+09
4.70000E-06 1.15654E+14 3.82383E+09
4.80000E-06 1.06313E+14 3.51500E+09
4.90000E-06 9.78963E+13 3.23672E+09
5.00000E-06 9.02965E+13 2.98545E+09
5.10000E-06 8.34200E+13 2.75809E+09
5.20000E-06 7.71858E+13 2.55197E+09
5.30000E-06 7.15233E+13 2.36476E+09
5.40000E-06 6.63706E+13 2.19439E+09
5.50000E-06 6.16737E+13 2.03910E+09
5.60000E-06 5.73850E+13 1.89731E+09
5.70000E-06 5.34628E+13 1.76763E+09
5.80000E-06 4.98699E+13 1.64884E+09
5.90000E-06 4.65739E+13 1.53986E+09
6.00000E-06 4.35457E+13 1.43974E+09
6.10000E-06 4.07597E+13 1.34763E+09
6.20000E-06 3.81930E+13 1.26277E+09
6.30000E-06 3.58252E+13 1.18448E+09
6.40000E-06 3.36381E+13 1.11217E+09
6.50000E-06 3.16153E+13 1.04529E+09
6.60000E-06 2.97423E+13 9.83363E+08
6.70000E-06 2.80060E+13 9.25956E+08
6.80000E-06 2.63946E+13 8.72678E+08
6.90000E-06 2.48974E+13 8.23177E+08
7.00000E-06 2.35049E+13 7.77137E+08
7.10000E-06 2.22084E+13 7.34271E+08
7.20000E-06 2.10001E+13 6.94320E+08
7.30000E-06 1.98728E+13 6.57050E+08
7.40000E-06 1.88202E+13 6.22247E+08
7.50000E-06 1.78363E+13 5.89718E+08
7.60000E-06 1.69160E+13 5.59288E+08
7.70000E-06 1.60542E+13 5.30795E+08
7.80000E-06 1.52466E+13 5.04094E+08
7.90000E-06 1.44891E+13 4.79051E+08
8.00000E-06 1.37781E+13 4.55543E+08
8.10000E-06 1.31102E+13 4.33461E+08
8.20000E-06 1.24823E+13 4.12700E+08
8.30000E-06 1.18915E+13 3.93167E+08
8.40000E-06 1.13353E+13 3.74777E+08
8.50000E-06 1.08112E+13 3.57449E+08
8.60000E-06 1.03171E+13 3.41111E+08
8.70000E-06 9.85085E+12 3.25696E+08
8.80000E-06 9.41066E+12 3.11142E+08
8.90000E-06 8.99478E+12 2.97392E+08
9.00000E-06 8.60163E+12 2.84393E+08
9.10000E-06 8.22972E+12 2.72097E+08
9.20000E-06 7.87770E+12 2.60458E+08
9.30000E-06 7.54430E+12 2.49435E+08
9.40000E-06 7.22835E+12 2.38989E+08
9.50000E-06 6.92877E+12 2.29084E+08
9.60000E-06 6.64455E+12 2.19687E+08
9.70000E-06 6.37476E+12 2.10767E+08
9.80000E-06 6.11852E+12 2.02295E+08
9.90000E-06 5.87503E+12 1.94245E+08
1.00000E-05 5.64353E+12 1.86591E+08
1.01000E-05 5.42332E+12 1.79310E+08
1.02000E-05 5.21375E+12 1.72381E+08
1.03000E-05 5.01420E+12 1.65783E+08
1.04000E-05 4.82411E+12 1.59498E+08
1.05000E-05 4.64295E+12 1.53509E+08
1.06000E-05 4.47020E+12 1.47797E+08
1.07000E-05 4.30542E+12 1.42349E+08
1.08000E-05 4.14816E+12 1.37150E+08
1.09000E-05 3.99802E+12 1.32185E+08
1.10000E-05 3.85461E+12 1.27444E+08
1.11000E-05 3.71757E+12 1.22913E+08
1.12000E-05 3.58656E+12 1.18582E+08
1.13000E-05 3.46128E+12 1.14439E+08
1.14000E-05 3.34142E+12 1.10477E+08
1.15000E-05 3.22671E+12 1.06684E+08
1.16000E-05 3.11687E+12 1.03052E+08
1.17000E-05 3.01167E+12 9.95741E+07
1.18000E-05 2.91087E+12 9.62413E+07
1.19000E-05 2.81425E+12 9.30469E+07
1.20000E-05 2.72161E+12 8.99839E+07
1.21000E-05 2.63275E+12 8.70459E+07
1.22000E-05 2.54748E+12 8.42268E+07
1.23000E-05 2.46564E+12 8.15210E+07
1.24000E-05 2.38706E+12 7.89229E+07
1.25000E-05 2.31159E+12 7.64275E+07
1.26000E-05 2.23907E+12 7.40300E+07
1.27000E-05 2.16938E+12 7.17257E+07
1.28000E-05 2.10238E+12 6.95104E+07
1.29000E-05 2.03794E+12 6.73800E+07
1.30000E-05 1.97596E+12 6.53305E+07
1.31000E-05 1.91631E+12 6.33584E+07
1.32000E-05 1.85890E+12 6.14602E+07
1.33000E-05 1.80362E+12 5.96325E+07
1.34000E-05 1.75038E+12 5.78723E+07
1.35000E-05 1.69909E+12 5.61765E+07
1.36000E-05 1.64966E+12 5.45424E+07
1.37000E-05 1.60202E+12 5.29672E+07
1.38000E-05 1.55609E+12 5.14486E+07
1.39000E-05 1.51179E+12 4.99839E+07
1.40000E-05 1.46906E+12 4.85711E+07
1.41000E-05 1.42782E+12 4.72077E+07
1.42000E-05 1.38803E+12 4.58919E+07
1.43000E-05 1.34960E+12 4.46216E+07
1.44000E-05 1.31250E+12 4.33950E+07
1.45000E-05 1.27667E+12 4.22102E+07
1.46000E-05 1.24205E+12 4.10656E+07
1.47000E-05 1.20860E+12 3.99595E+07
1.48000E-05 1.17626E+12 3.88904E+07
1.49000E-05 1.14500E+12 3.78569E+07
1.50000E-05 1.11477E+12 3.68574E+07
1.51000E-05 1.08553E+12 3.58907E+07
1.52000E-05 1.05725E+12 3.49555E+07
1.53000E-05 1.02988E+12 3.40505E+07
1.54000E-05 1.00339E+12 3.31747E+07
1.55000E-05 9.77741E+11 3.23268E+07
1.56000E-05 9.52911E+11 3.15059E+07
1.57000E-05 9.28864E+11 3.07108E+07
1.58000E-05 9.05571E+11 2.99407E+07
1.59000E-05 8.83003E+11 2.91945E+07
1.60000E-05 8.61134E+11 2.84715E+07
1.61000E-05 8.39938E+11 2.77707E+07
1.62000E-05 8.19390E+11 2.70913E+07
1.63000E-05 7.99467E+11 2.64326E+07
1.64000E-05 7.80145E+11 2.57937E+07
1.65000E-05 7.61404E+11 2.51741E+07
1.66000E-05 7.43222E+11 2.45730E+07
1.67000E-05 7.25579E+11 2.39896E+07
1.68000E-05 7.08457E+11 2.34235E+07
1.69000E-05 6.91837E+11 2.28740E+07
1.70000E-05 6.75702E+11 2.23406E+07
1.71000E-05 6.60034E+11 2.18225E+07
1.72000E-05 6.44818E+11 2.13194E+07
1.73000E-05 6.30037E+11 2.08308E+07
1.74000E-05 6.15678E+11 2.03560E+07
1.75000E-05 6.01726E+11 1.98947E+07
1.76000E-05 5.88166E+11 1.94464E+07
1.77000E-05 5.74987E+11 1.90106E+07
1.78000E-05 5.62174E+11 1.85870E+07
1.79000E-05 5.49716E+11 1.81751E+07
1.80000E-05 5.37602E+11 1.77746E+07
1.81000E-05 5.25819E+11 1.73850E+07
1.82000E-05 5.14358E+11 1.70061E+07
1.83000E-05 5.03207E+11 1.66374E+07
1.84000E-05 4.92356E+11 1.62787E+07
1.85000E-05 4.81797E+11 1.59295E+07
1.86000E-05 4.71519E+11 1.55897E+07
1.87000E-05 4.61513E+11 1.52589E+07
1.88000E-05 4.51772E+11 1.49368E+07
1.89000E-05 4.42286E+11 1.46232E+07
1.90000E-05 4.33048E+11 1.43178E+07
1.91000E-05 4.24050E+11 1.40203E+07
1.92000E-05 4.15285E+11 1.37305E+07
1.93000E-05 4.06744E+11 1.34481E+07
1.94000E-05 3.98422E+11 1.31729E+07
1.95000E-05 3.90312E+11 1.29048E+07
1.96000E-05 3.82408E+11 1.26434E+07
1.97000E-05 3.74702E+11 1.23887E+07
1.98000E-05 3.67189E+11 1.21403E+07
1.99000E-05 3.59864E+11 1.18981E+07
2.00000E-05 3.52721E+11 1.16619E+07
