#  FeatureSize(cm)    Fluence(mum2)   Dose(Gy)
1.00000E-07 3.02721E+20 1.00088E+16
2.00000E-07 1.89201E+19 6.25549E+14
3.00000E-07 3.73730E+18 1.23565E+14
4.00000E-07 1.18250E+18 3.90968E+13
5.00000E-07 4.84354E+17 1.60141E+13
6.00000E-07 2.33581E+17 7.72283E+12
7.00000E-07 1.26081E+17 4.16859E+12
8.00000E-07 7.39065E+16 2.44355E+12
9.00000E-07 4.61395E+16 1.52550E+12
1.00000E-06 3.02721E+16 1.00088E+12
1.10000E-06 2.06763E+16 6.83614E+11
1.20000E-06 1.45988E+16 4.82677E+11
1.30000E-06 1.05991E+16 3.50436E+11
1.40000E-06 7.88008E+15 2.60537E+11
1.50000E-06 5.97968E+15 1.97705E+11
1.60000E-06 4.61916E+15 1.52722E+11
1.70000E-06 3.62449E+15 1.19836E+11
1.80000E-06 2.88372E+15 9.53436E+10
1.90000E-06 2.32289E+15 7.68011E+10
2.00000E-06 1.89201E+15 6.25549E+10
2.10000E-06 1.55656E+15 5.14641E+10
2.20000E-06 1.29227E+15 4.27259E+10
2.30000E-06 1.08176E+15 3.57660E+10
2.40000E-06 9.12426E+14 3.01673E+10
2.50000E-06 7.74966E+14 2.56225E+10
2.60000E-06 6.62444E+14 2.19022E+10
2.70000E-06 5.69623E+14 1.88333E+10
2.80000E-06 4.92505E+14 1.62836E+10
2.90000E-06 4.28007E+14 1.41511E+10
3.00000E-06 3.73730E+14 1.23565E+10
3.10000E-06 3.27790E+14 1.08376E+10
3.20000E-06 2.88697E+14 9.54513E+09
3.30000E-06 2.55262E+14 8.43968E+09
3.40000E-06 2.26531E+14 7.48973E+09
3.50000E-06 2.01730E+14 6.66975E+09
3.60000E-06 1.80232E+14 5.95898E+09
3.70000E-06 1.61524E+14 5.34041E+09
3.80000E-06 1.45181E+14 4.80007E+09
3.90000E-06 1.30853E+14 4.32637E+09
4.00000E-06 1.18250E+14 3.90968E+09
4.10000E-06 1.07129E+14 3.54198E+09
4.20000E-06 9.72849E+13 3.21651E+09
4.30000E-06 8.85460E+13 2.92757E+09
4.40000E-06 8.07666E+13 2.67037E+09
4.50000E-06 7.38232E+13 2.44080E+09
4.60000E-06 6.76101E+13 2.23537E+09
4.70000E-06 6.20371E+13 2.05112E+09
4.80000E-06 5.70266E+13 1.88546E+09
4.90000E-06 5.25120E+13 1.73619E+09
