#  FeatureSize(cm)    Fluence(mum2)   Dose(Gy)
1.00000E-07 5.62851E+19 1.47830E+15
1.10909E-06 3.71836E+15 9.76605E+10
2.11818E-06 2.79378E+14 7.33772E+09
3.12727E-06 5.87772E+13 1.54375E+09
4.13636E-06 1.91966E+13 5.04187E+08
5.14545E-06 8.01363E+12 2.10474E+08
6.15455E-06 3.91351E+12 1.02786E+08
7.16364E-06 2.13129E+12 5.59771E+07
8.17273E-06 1.25758E+12 3.30295E+07
9.18182E-06 7.89066E+11 2.07244E+07
1.01909E-05 5.19759E+11 1.36512E+07
1.12000E-05 3.56129E+11 9.35354E+06
1.22091E-05 2.52100E+11 6.62125E+06
1.32182E-05 1.83419E+11 4.81740E+06
1.42273E-05 1.36606E+11 3.58788E+06
1.52364E-05 1.03814E+11 2.72662E+06
1.62455E-05 8.02934E+10 2.10886E+06
1.72545E-05 6.30694E+10 1.65648E+06
1.82636E-05 5.02237E+10 1.31910E+06
1.92727E-05 4.04865E+10 1.06336E+06
2.02818E-05 3.29975E+10 8.66660E+05
2.12909E-05 2.71617E+10 7.13386E+05
2.23000E-05 2.25600E+10 5.92525E+05
2.33091E-05 1.88922E+10 4.96192E+05
2.43182E-05 1.59398E+10 4.18650E+05
2.53273E-05 1.35419E+10 3.55670E+05
2.63364E-05 1.15780E+10 3.04090E+05
2.73455E-05 9.95729E+09 2.61523E+05
2.83545E-05 8.61024E+09 2.26143E+05
2.93636E-05 7.48327E+09 1.96544E+05
3.03727E-05 6.53461E+09 1.71628E+05
3.13818E-05 5.73148E+09 1.50534E+05
3.23909E-05 5.04790E+09 1.32580E+05
3.34000E-05 4.46315E+09 1.17222E+05
3.44091E-05 3.96058E+09 1.04022E+05
3.54182E-05 3.52672E+09 9.26273E+04
3.64273E-05 3.15060E+09 8.27487E+04
3.74364E-05 2.82325E+09 7.41510E+04
3.84455E-05 2.53727E+09 6.66401E+04
3.94545E-05 2.28656E+09 6.00553E+04
4.04636E-05 2.06602E+09 5.42629E+04
4.14727E-05 1.87141E+09 4.91514E+04
4.24818E-05 1.69914E+09 4.46270E+04
4.34909E-05 1.54622E+09 4.06106E+04
4.45000E-05 1.41010E+09 3.70354E+04
4.55091E-05 1.28860E+09 3.38445E+04
4.65182E-05 1.17990E+09 3.09894E+04
4.75273E-05 1.08240E+09 2.84286E+04
4.85364E-05 9.94747E+08 2.61265E+04
4.95455E-05 9.15776E+08 2.40523E+04
5.05545E-05 8.44475E+08 2.21797E+04
5.15636E-05 7.79967E+08 2.04854E+04
5.25727E-05 7.21491E+08 1.89496E+04
5.35818E-05 6.68384E+08 1.75547E+04
5.45909E-05 6.20065E+08 1.62857E+04
5.56000E-05 5.76026E+08 1.51290E+04
5.66091E-05 5.35820E+08 1.40730E+04
5.76182E-05 4.99054E+08 1.31074E+04
5.86273E-05 4.65382E+08 1.22230E+04
5.96364E-05 4.34496E+08 1.14118E+04
6.06455E-05 4.06125E+08 1.06666E+04
6.16545E-05 3.80027E+08 9.98120E+03
6.26636E-05 3.55987E+08 9.34981E+03
6.36727E-05 3.33815E+08 8.76745E+03
6.46818E-05 3.13337E+08 8.22963E+03
6.56909E-05 2.94403E+08 7.73232E+03
6.67000E-05 2.76873E+08 7.27193E+03
6.77091E-05 2.60626E+08 6.84521E+03
6.87182E-05 2.45551E+08 6.44925E+03
6.97273E-05 2.31547E+08 6.08145E+03
7.07364E-05 2.18524E+08 5.73942E+03
7.17455E-05 2.06402E+08 5.42105E+03
7.27545E-05 1.95107E+08 5.12438E+03
7.37636E-05 1.84572E+08 4.84768E+03
7.47727E-05 1.74736E+08 4.58935E+03
7.57818E-05 1.65545E+08 4.34796E+03
7.67909E-05 1.56949E+08 4.12218E+03
7.78000E-05 1.48902E+08 3.91083E+03
7.88091E-05 1.41363E+08 3.71281E+03
7.98182E-05 1.34293E+08 3.52713E+03
8.08273E-05 1.27659E+08 3.35288E+03
8.18364E-05 1.21428E+08 3.18923E+03
8.28455E-05 1.15571E+08 3.03540E+03
8.38545E-05 1.10062E+08 2.89072E+03
8.48636E-05 1.04876E+08 2.75452E+03
8.58727E-05 9.99916E+07 2.62622E+03
8.68818E-05 9.53870E+07 2.50529E+03
8.78909E-05 9.10435E+07 2.39121E+03
8.89000E-05 8.69437E+07 2.28353E+03
8.99091E-05 8.30713E+07 2.18182E+03
9.09182E-05 7.94113E+07 2.08569E+03
9.19273E-05 7.59500E+07 1.99478E+03
9.29364E-05 7.26745E+07 1.90876E+03
9.39455E-05 6.95732E+07 1.82730E+03
9.49545E-05 6.66349E+07 1.75013E+03
9.59636E-05 6.38495E+07 1.67697E+03
9.69727E-05 6.12076E+07 1.60758E+03
9.79818E-05 5.87004E+07 1.54173E+03
9.89909E-05 5.63198E+07 1.47921E+03
1.00000E-04 5.40582E+07 1.41981E+03
