#  FeatureSize(cm)    Fluence(mum2)   Dose(Gy)
1.00000E-07 3.70150E+19 9.72178E+14
2.00000E-07 2.31334E+18 6.07587E+13
3.00000E-07 4.56939E+17 1.20012E+13
4.00000E-07 1.44572E+17 3.79711E+12
5.00000E-07 5.92145E+16 1.55524E+12
6.00000E-07 2.85552E+16 7.49987E+11
7.00000E-07 1.54128E+16 4.04808E+11
8.00000E-07 9.03433E+15 2.37282E+11
9.00000E-07 5.63986E+15 1.48128E+11
1.00000E-06 3.70017E+15 9.71828E+10
1.10000E-06 2.52716E+15 6.63745E+10
1.20000E-06 1.78427E+15 4.68630E+10
1.30000E-06 1.29538E+15 3.40223E+10
1.40000E-06 9.63030E+14 2.52934E+10
1.50000E-06 7.30751E+14 1.91928E+10
1.60000E-06 5.64465E+14 1.48254E+10
1.70000E-06 4.42898E+14 1.16325E+10
1.80000E-06 3.52365E+14 9.25466E+09
1.90000E-06 2.83825E+14 7.45450E+09
2.00000E-06 2.31168E+14 6.07150E+09
2.10000E-06 1.90175E+14 4.99484E+09
2.20000E-06 1.57878E+14 4.14658E+09
2.30000E-06 1.32155E+14 3.47098E+09
2.40000E-06 1.11464E+14 2.92753E+09
2.50000E-06 9.46675E+13 2.48639E+09
2.60000E-06 8.09189E+13 2.12529E+09
2.70000E-06 6.95778E+13 1.82742E+09
2.80000E-06 6.01557E+13 1.57995E+09
2.90000E-06 5.22756E+13 1.37299E+09
3.00000E-06 4.56445E+13 1.19883E+09
3.10000E-06 4.00322E+13 1.05142E+09
3.20000E-06 3.52565E+13 9.25992E+08
3.30000E-06 3.11721E+13 8.18718E+08
3.40000E-06 2.76623E+13 7.26536E+08
3.50000E-06 2.46329E+13 6.46968E+08
3.60000E-06 2.20069E+13 5.78000E+08
3.70000E-06 1.97217E+13 5.17981E+08
3.80000E-06 1.77256E+13 4.65552E+08
3.90000E-06 1.59757E+13 4.19592E+08
4.00000E-06 1.44364E+13 3.79165E+08
4.10000E-06 1.30782E+13 3.43491E+08
4.20000E-06 1.18759E+13 3.11915E+08
4.30000E-06 1.08087E+13 2.83885E+08
4.40000E-06 9.85870E+12 2.58933E+08
4.50000E-06 9.01079E+12 2.36663E+08
4.60000E-06 8.25210E+12 2.16737E+08
4.70000E-06 7.57159E+12 1.98864E+08
4.80000E-06 6.95979E+12 1.82795E+08
4.90000E-06 6.40854E+12 1.68317E+08
5.00000E-06 5.91080E+12 1.55244E+08
5.10000E-06 5.46045E+12 1.43416E+08
5.20000E-06 5.05217E+12 1.32692E+08
5.30000E-06 4.68134E+12 1.22953E+08
5.40000E-06 4.34392E+12 1.14091E+08
5.50000E-06 4.03635E+12 1.06012E+08
5.60000E-06 3.75552E+12 9.86366E+07
5.70000E-06 3.49869E+12 9.18910E+07
5.80000E-06 3.26344E+12 8.57123E+07
5.90000E-06 3.04763E+12 8.00442E+07
6.00000E-06 2.84936E+12 7.48368E+07
6.10000E-06 2.66695E+12 7.00461E+07
6.20000E-06 2.49891E+12 6.56325E+07
6.30000E-06 2.34389E+12 6.15610E+07
6.40000E-06 2.20071E+12 5.78004E+07
6.50000E-06 2.06829E+12 5.43225E+07
6.60000E-06 1.94568E+12 5.11023E+07
6.70000E-06 1.83202E+12 4.81171E+07
6.80000E-06 1.72654E+12 4.53467E+07
6.90000E-06 1.62854E+12 4.27728E+07
7.00000E-06 1.53740E+12 4.03789E+07
7.10000E-06 1.45254E+12 3.81501E+07
7.20000E-06 1.37345E+12 3.60729E+07
7.30000E-06 1.29967E+12 3.41352E+07
7.40000E-06 1.23078E+12 3.23258E+07
7.50000E-06 1.16640E+12 3.06347E+07
7.60000E-06 1.10616E+12 2.90528E+07
7.70000E-06 1.04977E+12 2.75716E+07
7.80000E-06 9.96921E+11 2.61836E+07
7.90000E-06 9.47356E+11 2.48818E+07
8.00000E-06 9.00833E+11 2.36599E+07
8.10000E-06 8.57130E+11 2.25120E+07
8.20000E-06 8.16045E+11 2.14330E+07
8.30000E-06 7.77391E+11 2.04177E+07
8.40000E-06 7.40998E+11 1.94619E+07
8.50000E-06 7.06710E+11 1.85613E+07
8.60000E-06 6.74382E+11 1.77123E+07
8.70000E-06 6.43880E+11 1.69112E+07
8.80000E-06 6.15084E+11 1.61548E+07
8.90000E-06 5.87878E+11 1.54403E+07
9.00000E-06 5.62160E+11 1.47648E+07
9.10000E-06 5.37832E+11 1.41259E+07
9.20000E-06 5.14806E+11 1.35211E+07
9.30000E-06 4.92999E+11 1.29483E+07
9.40000E-06 4.72334E+11 1.24056E+07
9.50000E-06 4.52740E+11 1.18910E+07
9.60000E-06 4.34151E+11 1.14027E+07
9.70000E-06 4.16506E+11 1.09393E+07
9.80000E-06 3.99748E+11 1.04992E+07
9.90000E-06 3.83824E+11 1.00809E+07
1.00000E-05 3.68685E+11 9.68331E+06
1.01000E-05 3.54285E+11 9.30510E+06
1.02000E-05 3.40581E+11 8.94516E+06
1.03000E-05 3.27533E+11 8.60246E+06
1.04000E-05 3.15103E+11 8.27601E+06
1.05000E-05 3.03257E+11 7.96489E+06
1.06000E-05 2.91963E+11 7.66824E+06
1.07000E-05 2.81189E+11 7.38528E+06
1.08000E-05 2.70908E+11 7.11524E+06
1.09000E-05 2.61092E+11 6.85742E+06
1.10000E-05 2.51716E+11 6.61118E+06
1.11000E-05 2.42757E+11 6.37588E+06
1.12000E-05 2.34193E+11 6.15096E+06
1.13000E-05 2.26004E+11 5.93586E+06
1.14000E-05 2.18169E+11 5.73008E+06
1.15000E-05 2.10670E+11 5.53313E+06
1.16000E-05 2.03491E+11 5.34457E+06
1.17000E-05 1.96615E+11 5.16397E+06
1.18000E-05 1.90026E+11 4.99094E+06
1.19000E-05 1.83712E+11 4.82508E+06
1.20000E-05 1.77657E+11 4.66606E+06
1.21000E-05 1.71849E+11 4.51353E+06
1.22000E-05 1.66277E+11 4.36718E+06
1.23000E-05 1.60929E+11 4.22671E+06
1.24000E-05 1.55794E+11 4.09184E+06
1.25000E-05 1.50862E+11 3.96231E+06
1.26000E-05 1.46124E+11 3.83785E+06
1.27000E-05 1.41570E+11 3.71825E+06
1.28000E-05 1.37192E+11 3.60326E+06
1.29000E-05 1.32982E+11 3.49268E+06
1.30000E-05 1.28932E+11 3.38632E+06
1.31000E-05 1.25035E+11 3.28396E+06
1.32000E-05 1.21284E+11 3.18545E+06
1.33000E-05 1.17672E+11 3.09059E+06
1.34000E-05 1.14194E+11 2.99924E+06
1.35000E-05 1.10844E+11 2.91124E+06
1.36000E-05 1.07615E+11 2.82644E+06
1.37000E-05 1.04503E+11 2.74471E+06
1.38000E-05 1.01502E+11 2.66591E+06
1.39000E-05 9.86090E+10 2.58991E+06
1.40000E-05 9.58178E+10 2.51660E+06
1.41000E-05 9.31246E+10 2.44586E+06
1.42000E-05 9.05253E+10 2.37760E+06
1.43000E-05 8.80160E+10 2.31169E+06
1.44000E-05 8.55930E+10 2.24805E+06
1.45000E-05 8.32528E+10 2.18659E+06
1.46000E-05 8.09920E+10 2.12721E+06
1.47000E-05 7.88073E+10 2.06983E+06
1.48000E-05 7.66958E+10 2.01437E+06
1.49000E-05 7.46545E+10 1.96076E+06
1.50000E-05 7.26806E+10 1.90892E+06
1.51000E-05 7.07715E+10 1.85877E+06
1.52000E-05 6.89246E+10 1.81027E+06
1.53000E-05 6.71375E+10 1.76333E+06
1.54000E-05 6.54080E+10 1.71790E+06
1.55000E-05 6.37337E+10 1.67393E+06
1.56000E-05 6.21127E+10 1.63136E+06
1.57000E-05 6.05428E+10 1.59012E+06
1.58000E-05 5.90222E+10 1.55019E+06
1.59000E-05 5.75490E+10 1.51149E+06
1.60000E-05 5.61215E+10 1.47400E+06
1.61000E-05 5.47379E+10 1.43766E+06
1.62000E-05 5.33966E+10 1.40243E+06
1.63000E-05 5.20962E+10 1.36828E+06
1.64000E-05 5.08351E+10 1.33516E+06
1.65000E-05 4.96119E+10 1.30303E+06
1.66000E-05 4.84252E+10 1.27186E+06
1.67000E-05 4.72738E+10 1.24162E+06
1.68000E-05 4.61564E+10 1.21227E+06
1.69000E-05 4.50718E+10 1.18379E+06
1.70000E-05 4.40188E+10 1.15613E+06
1.71000E-05 4.29964E+10 1.12928E+06
1.72000E-05 4.20035E+10 1.10320E+06
1.73000E-05 4.10391E+10 1.07787E+06
1.74000E-05 4.01021E+10 1.05326E+06
1.75000E-05 3.91917E+10 1.02935E+06
1.76000E-05 3.83070E+10 1.00611E+06
1.77000E-05 3.74471E+10 9.83528E+05
1.78000E-05 3.66112E+10 9.61573E+05
1.79000E-05 3.57985E+10 9.40227E+05
1.80000E-05 3.50082E+10 9.19470E+05
1.81000E-05 3.42395E+10 8.99282E+05
1.82000E-05 3.34918E+10 8.79644E+05
1.83000E-05 3.27644E+10 8.60539E+05
1.84000E-05 3.20567E+10 8.41950E+05
1.85000E-05 3.13679E+10 8.23860E+05
1.86000E-05 3.06975E+10 8.06252E+05
1.87000E-05 3.00449E+10 7.89112E+05
1.88000E-05 2.94095E+10 7.72425E+05
1.89000E-05 2.87909E+10 7.56176E+05
1.90000E-05 2.81884E+10 7.40352E+05
1.91000E-05 2.76016E+10 7.24939E+05
1.92000E-05 2.70299E+10 7.09925E+05
1.93000E-05 2.64730E+10 6.95298E+05
1.94000E-05 2.59303E+10 6.81045E+05
1.95000E-05 2.54015E+10 6.67155E+05
1.96000E-05 2.48860E+10 6.53617E+05
1.97000E-05 2.43836E+10 6.40421E+05
1.98000E-05 2.38937E+10 6.27555E+05
1.99000E-05 2.34161E+10 6.15011E+05
2.00000E-05 2.29504E+10 6.02778E+05
2.01000E-05 2.24961E+10 5.90848E+05
2.02000E-05 2.20531E+10 5.79212E+05
2.03000E-05 2.16209E+10 5.67860E+05
2.04000E-05 2.11992E+10 5.56784E+05
2.05000E-05 2.07877E+10 5.45978E+05
2.06000E-05 2.03862E+10 5.35431E+05
2.07000E-05 1.99943E+10 5.25138E+05
2.08000E-05 1.96117E+10 5.15092E+05
2.09000E-05 1.92383E+10 5.05283E+05
2.10000E-05 1.88737E+10 4.95708E+05
2.11000E-05 1.85177E+10 4.86357E+05
2.12000E-05 1.81700E+10 4.77226E+05
2.13000E-05 1.78305E+10 4.68308E+05
2.14000E-05 1.74988E+10 4.59597E+05
2.15000E-05 1.71749E+10 4.51088E+05
2.16000E-05 1.68583E+10 4.42775E+05
2.17000E-05 1.65491E+10 4.34652E+05
2.18000E-05 1.62468E+10 4.26714E+05
2.19000E-05 1.59515E+10 4.18956E+05
2.20000E-05 1.56628E+10 4.11374E+05
2.21000E-05 1.53806E+10 4.03962E+05
2.22000E-05 1.51047E+10 3.96717E+05
2.23000E-05 1.48350E+10 3.89633E+05
2.24000E-05 1.45713E+10 3.82706E+05
2.25000E-05 1.43134E+10 3.75933E+05
2.26000E-05 1.40611E+10 3.69308E+05
2.27000E-05 1.38144E+10 3.62829E+05
2.28000E-05 1.35731E+10 3.56491E+05
2.29000E-05 1.33371E+10 3.50290E+05
2.30000E-05 1.31061E+10 3.44224E+05
2.31000E-05 1.28801E+10 3.38288E+05
2.32000E-05 1.26589E+10 3.32480E+05
2.33000E-05 1.24425E+10 3.26796E+05
2.34000E-05 1.22307E+10 3.21232E+05
2.35000E-05 1.20233E+10 3.15786E+05
2.36000E-05 1.18204E+10 3.10456E+05
2.37000E-05 1.16217E+10 3.05237E+05
2.38000E-05 1.14271E+10 3.00127E+05
2.39000E-05 1.12366E+10 2.95123E+05
2.40000E-05 1.10500E+10 2.90223E+05
2.41000E-05 1.08673E+10 2.85425E+05
2.42000E-05 1.06884E+10 2.80725E+05
2.43000E-05 1.05131E+10 2.76121E+05
2.44000E-05 1.03414E+10 2.71611E+05
2.45000E-05 1.01732E+10 2.67193E+05
2.46000E-05 1.00084E+10 2.62864E+05
2.47000E-05 9.84688E+09 2.58623E+05
2.48000E-05 9.68863E+09 2.54466E+05
2.49000E-05 9.53354E+09 2.50393E+05
2.50000E-05 9.38153E+09 2.46401E+05
2.51000E-05 9.23254E+09 2.42488E+05
2.52000E-05 9.08650E+09 2.38652E+05
2.53000E-05 8.94333E+09 2.34892E+05
2.54000E-05 8.80296E+09 2.31205E+05
2.55000E-05 8.66534E+09 2.27590E+05
2.56000E-05 8.53039E+09 2.24046E+05
2.57000E-05 8.39805E+09 2.20570E+05
2.58000E-05 8.26827E+09 2.17162E+05
2.59000E-05 8.14099E+09 2.13818E+05
2.60000E-05 8.01614E+09 2.10539E+05
2.61000E-05 7.89367E+09 2.07323E+05
2.62000E-05 7.77353E+09 2.04167E+05
2.63000E-05 7.65566E+09 2.01072E+05
2.64000E-05 7.54002E+09 1.98034E+05
2.65000E-05 7.42655E+09 1.95054E+05
2.66000E-05 7.31521E+09 1.92130E+05
2.67000E-05 7.20594E+09 1.89260E+05
2.68000E-05 7.09870E+09 1.86443E+05
2.69000E-05 6.99345E+09 1.83679E+05
2.70000E-05 6.89014E+09 1.80966E+05
2.71000E-05 6.78873E+09 1.78302E+05
2.72000E-05 6.68917E+09 1.75687E+05
2.73000E-05 6.59143E+09 1.73120E+05
2.74000E-05 6.49547E+09 1.70600E+05
2.75000E-05 6.40125E+09 1.68125E+05
2.76000E-05 6.30872E+09 1.65695E+05
2.77000E-05 6.21786E+09 1.63309E+05
2.78000E-05 6.12863E+09 1.60965E+05
2.79000E-05 6.04099E+09 1.58663E+05
2.80000E-05 5.95491E+09 1.56402E+05
2.81000E-05 5.87036E+09 1.54182E+05
2.82000E-05 5.78730E+09 1.52000E+05
2.83000E-05 5.70570E+09 1.49857E+05
2.84000E-05 5.62554E+09 1.47752E+05
2.85000E-05 5.54677E+09 1.45683E+05
2.86000E-05 5.46938E+09 1.43650E+05
2.87000E-05 5.39333E+09 1.41653E+05
2.88000E-05 5.31860E+09 1.39690E+05
2.89000E-05 5.24515E+09 1.37761E+05
2.90000E-05 5.17297E+09 1.35865E+05
2.91000E-05 5.10202E+09 1.34002E+05
2.92000E-05 5.03229E+09 1.32170E+05
2.93000E-05 4.96374E+09 1.30370E+05
2.94000E-05 4.89635E+09 1.28600E+05
2.95000E-05 4.83010E+09 1.26860E+05
2.96000E-05 4.76497E+09 1.25149E+05
2.97000E-05 4.70092E+09 1.23467E+05
2.98000E-05 4.63795E+09 1.21813E+05
2.99000E-05 4.57603E+09 1.20187E+05
3.00000E-05 4.51514E+09 1.18588E+05
3.01000E-05 4.45526E+09 1.17015E+05
3.02000E-05 4.39636E+09 1.15468E+05
3.03000E-05 4.33844E+09 1.13947E+05
3.04000E-05 4.28146E+09 1.12450E+05
3.05000E-05 4.22541E+09 1.10978E+05
3.06000E-05 4.17028E+09 1.09530E+05
3.07000E-05 4.11604E+09 1.08106E+05
3.08000E-05 4.06268E+09 1.06704E+05
3.09000E-05 4.01018E+09 1.05325E+05
3.10000E-05 3.95853E+09 1.03969E+05
3.11000E-05 3.90770E+09 1.02634E+05
3.12000E-05 3.85769E+09 1.01320E+05
3.13000E-05 3.80847E+09 1.00027E+05
3.14000E-05 3.76003E+09 9.87552E+04
3.15000E-05 3.71236E+09 9.75032E+04
3.16000E-05 3.66545E+09 9.62709E+04
3.17000E-05 3.61927E+09 9.50580E+04
3.18000E-05 3.57381E+09 9.38641E+04
3.19000E-05 3.52907E+09 9.26889E+04
3.20000E-05 3.48502E+09 9.15320E+04
3.21000E-05 3.44165E+09 9.03931E+04
3.22000E-05 3.39896E+09 8.92718E+04
3.23000E-05 3.35693E+09 8.81678E+04
3.24000E-05 3.31554E+09 8.70808E+04
3.25000E-05 3.27479E+09 8.60105E+04
3.26000E-05 3.23466E+09 8.49566E+04
3.27000E-05 3.19515E+09 8.39187E+04
3.28000E-05 3.15623E+09 8.28966E+04
3.29000E-05 3.11791E+09 8.18901E+04
3.30000E-05 3.08016E+09 8.08987E+04
3.31000E-05 3.04298E+09 7.99222E+04
3.32000E-05 3.00636E+09 7.89605E+04
3.33000E-05 2.97029E+09 7.80131E+04
3.34000E-05 2.93476E+09 7.70799E+04
3.35000E-05 2.89976E+09 7.61605E+04
3.36000E-05 2.86528E+09 7.52549E+04
3.37000E-05 2.83130E+09 7.43626E+04
3.38000E-05 2.79783E+09 7.34835E+04
3.39000E-05 2.76485E+09 7.26173E+04
3.40000E-05 2.73236E+09 7.17638E+04
3.41000E-05 2.70034E+09 7.09228E+04
3.42000E-05 2.66878E+09 7.00941E+04
3.43000E-05 2.63769E+09 6.92775E+04
3.44000E-05 2.60705E+09 6.84726E+04
3.45000E-05 2.57685E+09 6.76795E+04
3.46000E-05 2.54708E+09 6.68977E+04
3.47000E-05 2.51775E+09 6.61272E+04
3.48000E-05 2.48883E+09 6.53677E+04
3.49000E-05 2.46033E+09 6.46191E+04
3.50000E-05 2.43223E+09 6.38812E+04
3.51000E-05 2.40453E+09 6.31538E+04
3.52000E-05 2.37723E+09 6.24366E+04
3.53000E-05 2.35031E+09 6.17296E+04
3.54000E-05 2.32377E+09 6.10326E+04
3.55000E-05 2.29761E+09 6.03453E+04
3.56000E-05 2.27181E+09 5.96677E+04
3.57000E-05 2.24637E+09 5.89996E+04
3.58000E-05 2.22128E+09 5.83408E+04
3.59000E-05 2.19655E+09 5.76911E+04
3.60000E-05 2.17216E+09 5.70505E+04
3.61000E-05 2.14810E+09 5.64187E+04
3.62000E-05 2.12438E+09 5.57956E+04
3.63000E-05 2.10098E+09 5.51810E+04
3.64000E-05 2.07790E+09 5.45749E+04
3.65000E-05 2.05514E+09 5.39771E+04
3.66000E-05 2.03269E+09 5.33874E+04
3.67000E-05 2.01054E+09 5.28058E+04
3.68000E-05 1.98870E+09 5.22320E+04
3.69000E-05 1.96715E+09 5.16660E+04
3.70000E-05 1.94589E+09 5.11077E+04
3.71000E-05 1.92492E+09 5.05568E+04
3.72000E-05 1.90422E+09 5.00134E+04
