#  FeatureSize(cm)    Fluence(mum2)   Dose(Gy)
1.00000E-07 3.70150E+19 9.72178E+14
1.10909E-06 2.44531E+15 6.42247E+10
2.11818E-06 1.83727E+14 4.82550E+09
3.12727E-06 3.86535E+13 1.01521E+09
4.13636E-06 1.26241E+13 3.31566E+08
5.14545E-06 5.26994E+12 1.38412E+08
6.15455E-06 2.57360E+12 6.75942E+07
7.16364E-06 1.40157E+12 3.68115E+07
8.17273E-06 8.27001E+11 2.17207E+07
9.18182E-06 5.18900E+11 1.36286E+07
1.01909E-05 3.41799E+11 8.97716E+06
1.12000E-05 2.34193E+11 6.15096E+06
1.22091E-05 1.65782E+11 4.35417E+06
1.32182E-05 1.20617E+11 3.16793E+06
1.42273E-05 8.98322E+10 2.35939E+06
1.52364E-05 6.82680E+10 1.79302E+06
1.62455E-05 5.28006E+10 1.38678E+06
1.72545E-05 4.14740E+10 1.08929E+06
1.82636E-05 3.30266E+10 8.67426E+05
1.92727E-05 2.66234E+10 6.99250E+05
2.02818E-05 2.16987E+10 5.69903E+05
2.12909E-05 1.78610E+10 4.69110E+05
2.23000E-05 1.48350E+10 3.89633E+05
2.33091E-05 1.24231E+10 3.26285E+05
2.43182E-05 1.04816E+10 2.75294E+05
2.53273E-05 8.90477E+09 2.33879E+05
2.63364E-05 7.61336E+09 1.99961E+05
2.73455E-05 6.54760E+09 1.71969E+05
2.83545E-05 5.66180E+09 1.48704E+05
2.93636E-05 4.92072E+09 1.29240E+05
3.03727E-05 4.29690E+09 1.12856E+05
3.13818E-05 3.76878E+09 9.89850E+04
3.23909E-05 3.31928E+09 8.71790E+04
3.34000E-05 2.93476E+09 7.70799E+04
3.44091E-05 2.60428E+09 6.84001E+04
3.54182E-05 2.31899E+09 6.09069E+04
3.64273E-05 2.07166E+09 5.44111E+04
3.74364E-05 1.85641E+09 4.87575E+04
3.84455E-05 1.66836E+09 4.38186E+04
3.94545E-05 1.50350E+09 3.94886E+04
4.04636E-05 1.35848E+09 3.56798E+04
4.14727E-05 1.23051E+09 3.23187E+04
4.24818E-05 1.11724E+09 2.93436E+04
4.34909E-05 1.01668E+09 2.67026E+04
4.45000E-05 9.27175E+08 2.43517E+04
4.55091E-05 8.47287E+08 2.22535E+04
4.65182E-05 7.75807E+08 2.03761E+04
4.75273E-05 7.11696E+08 1.86923E+04
4.85364E-05 6.54062E+08 1.71786E+04
4.95455E-05 6.02135E+08 1.58147E+04
5.05545E-05 5.55251E+08 1.45834E+04
5.15636E-05 5.12835E+08 1.34693E+04
5.25727E-05 4.74385E+08 1.24594E+04
5.35818E-05 4.39465E+08 1.15423E+04
5.45909E-05 4.07693E+08 1.07078E+04
5.56000E-05 3.78736E+08 9.94729E+03
5.66091E-05 3.52299E+08 9.25294E+03
5.76182E-05 3.28125E+08 8.61801E+03
5.86273E-05 3.05984E+08 8.03651E+03
5.96364E-05 2.85676E+08 7.50312E+03
6.06455E-05 2.67021E+08 7.01317E+03
6.16545E-05 2.49861E+08 6.56247E+03
6.26636E-05 2.34055E+08 6.14732E+03
6.36727E-05 2.19476E+08 5.76441E+03
6.46818E-05 2.06012E+08 5.41078E+03
6.56909E-05 1.93562E+08 5.08379E+03
6.67000E-05 1.82036E+08 4.78107E+03
6.77091E-05 1.71353E+08 4.50050E+03
6.87182E-05 1.61441E+08 4.24016E+03
6.97273E-05 1.52233E+08 3.99832E+03
7.07364E-05 1.43671E+08 3.77344E+03
7.17455E-05 1.35701E+08 3.56411E+03
7.27545E-05 1.28274E+08 3.36905E+03
7.37636E-05 1.21347E+08 3.18712E+03
7.47727E-05 1.14880E+08 3.01727E+03
7.57818E-05 1.08837E+08 2.85855E+03
7.67909E-05 1.03185E+08 2.71011E+03
7.78000E-05 9.78945E+07 2.57115E+03
7.88091E-05 9.29374E+07 2.44095E+03
7.98182E-05 8.82892E+07 2.31887E+03
8.08273E-05 8.39272E+07 2.20430E+03
8.18364E-05 7.98303E+07 2.09670E+03
8.28455E-05 7.59797E+07 1.99556E+03
8.38545E-05 7.23576E+07 1.90043E+03
8.48636E-05 6.89482E+07 1.81089E+03
8.58727E-05 6.57366E+07 1.72654E+03
8.68818E-05 6.27092E+07 1.64702E+03
8.78909E-05 5.98535E+07 1.57202E+03
8.89000E-05 5.71580E+07 1.50122E+03
8.99091E-05 5.46120E+07 1.43435E+03
9.09182E-05 5.22056E+07 1.37115E+03
9.19273E-05 4.99300E+07 1.31138E+03
9.29364E-05 4.77765E+07 1.25482E+03
9.39455E-05 4.57374E+07 1.20127E+03
9.49545E-05 4.38056E+07 1.15053E+03
9.59636E-05 4.19743E+07 1.10243E+03
9.69727E-05 4.02374E+07 1.05681E+03
9.79818E-05 3.85891E+07 1.01352E+03
9.89909E-05 3.70240E+07 9.72413E+02
1.00000E-04 3.55371E+07 9.33361E+02
