#  FeatureSize(cm)    Fluence(mum2)   Dose(Gy)
1.00000E-07 8.98767E+19 2.36056E+15
2.00000E-07 5.61730E+18 1.47535E+14
3.00000E-07 1.10959E+18 2.91427E+13
4.00000E-07 3.51081E+17 9.22095E+12
5.00000E-07 1.43803E+17 3.77690E+12
6.00000E-07 6.93493E+16 1.82142E+12
7.00000E-07 3.74330E+16 9.83158E+11
8.00000E-07 2.19426E+16 5.76309E+11
9.00000E-07 1.36986E+16 3.59787E+11
1.00000E-06 8.98767E+15 2.36056E+11
1.10000E-06 6.13870E+15 1.61230E+11
1.20000E-06 4.33433E+15 1.13839E+11
1.30000E-06 3.14683E+15 8.26498E+10
1.40000E-06 2.33957E+15 6.14474E+10
1.50000E-06 1.77534E+15 4.66284E+10
1.60000E-06 1.37141E+15 3.60193E+10
1.70000E-06 1.07610E+15 2.82631E+10
1.80000E-06 8.56165E+14 2.24867E+10
1.90000E-06 6.89657E+14 1.81134E+10
2.00000E-06 5.61730E+14 1.47535E+10
2.10000E-06 4.62136E+14 1.21378E+10
2.20000E-06 3.83669E+14 1.00768E+10
2.30000E-06 3.21171E+14 8.43537E+09
2.40000E-06 2.70896E+14 7.11493E+09
2.50000E-06 2.30084E+14 6.04304E+09
2.60000E-06 1.96677E+14 5.16562E+09
2.70000E-06 1.69119E+14 4.44181E+09
2.80000E-06 1.46223E+14 3.84046E+09
2.90000E-06 1.27074E+14 3.33752E+09
3.00000E-06 1.10959E+14 2.91427E+09
3.10000E-06 9.73197E+13 2.55605E+09
3.20000E-06 8.57131E+13 2.25121E+09
3.30000E-06 7.57864E+13 1.99049E+09
3.40000E-06 6.72561E+13 1.76644E+09
3.50000E-06 5.98929E+13 1.57305E+09
3.60000E-06 5.35103E+13 1.40542E+09
3.70000E-06 4.79557E+13 1.25953E+09
3.80000E-06 4.31035E+13 1.13209E+09
3.90000E-06 3.88498E+13 1.02037E+09
4.00000E-06 3.51081E+13 9.22095E+08
4.10000E-06 3.18062E+13 8.35372E+08
4.20000E-06 2.88835E+13 7.58610E+08
4.30000E-06 2.62890E+13 6.90465E+08
4.40000E-06 2.39793E+13 6.29803E+08
4.50000E-06 2.19178E+13 5.75659E+08
4.60000E-06 2.00732E+13 5.27211E+08
4.70000E-06 1.84186E+13 4.83753E+08
4.80000E-06 1.69310E+13 4.44683E+08
4.90000E-06 1.55906E+13 4.09479E+08
5.00000E-06 1.43803E+13 3.77690E+08
5.10000E-06 1.32852E+13 3.48927E+08
5.20000E-06 1.22923E+13 3.22851E+08
5.30000E-06 1.13905E+13 2.99166E+08
5.40000E-06 1.05699E+13 2.77613E+08
5.50000E-06 9.82192E+12 2.57967E+08
5.60000E-06 9.13893E+12 2.40029E+08
5.70000E-06 8.51428E+12 2.23623E+08
5.80000E-06 7.94210E+12 2.08595E+08
5.90000E-06 7.41719E+12 1.94808E+08
6.00000E-06 6.93493E+12 1.82142E+08
6.10000E-06 6.49124E+12 1.70489E+08
6.20000E-06 6.08248E+12 1.59753E+08
6.30000E-06 5.70539E+12 1.49849E+08
6.40000E-06 5.35707E+12 1.40700E+08
6.50000E-06 5.03494E+12 1.32240E+08
6.60000E-06 4.73665E+12 1.24406E+08
6.70000E-06 4.46014E+12 1.17143E+08
6.80000E-06 4.20351E+12 1.10403E+08
6.90000E-06 3.96507E+12 1.04140E+08
7.00000E-06 3.74330E+12 9.83158E+07
7.10000E-06 3.53683E+12 9.28928E+07
7.20000E-06 3.34439E+12 8.78386E+07
7.30000E-06 3.16487E+12 8.31235E+07
7.40000E-06 2.99723E+12 7.87206E+07
7.50000E-06 2.84055E+12 7.46054E+07
7.60000E-06 2.69397E+12 7.07556E+07
7.70000E-06 2.55673E+12 6.71510E+07
7.80000E-06 2.42811E+12 6.37730E+07
7.90000E-06 2.30749E+12 6.06048E+07
8.00000E-06 2.19426E+12 5.76309E+07
8.10000E-06 2.08789E+12 5.48372E+07
8.20000E-06 1.98789E+12 5.22108E+07
8.30000E-06 1.89380E+12 4.97397E+07
8.40000E-06 1.80522E+12 4.74131E+07
8.50000E-06 1.72176E+12 4.52210E+07
8.60000E-06 1.64306E+12 4.31541E+07
8.70000E-06 1.56881E+12 4.12039E+07
8.80000E-06 1.49871E+12 3.93627E+07
8.90000E-06 1.43248E+12 3.76232E+07
9.00000E-06 1.36986E+12 3.59787E+07
9.10000E-06 1.31063E+12 3.44231E+07
9.20000E-06 1.25457E+12 3.29507E+07
9.30000E-06 1.20148E+12 3.15561E+07
9.40000E-06 1.15116E+12 3.02346E+07
9.50000E-06 1.10345E+12 2.89815E+07
