#  FeatureSize(cm)    Fluence(mum2)   Dose(Gy)
1.00000E-07 4.28166E+19 1.12456E+15
2.00000E-07 2.67593E+18 7.02819E+13
3.00000E-07 5.28558E+17 1.38823E+13
4.00000E-07 1.67232E+17 4.39227E+12
5.00000E-07 6.84957E+16 1.79900E+12
6.00000E-07 3.30309E+16 8.67539E+11
7.00000E-07 1.78286E+16 4.68257E+11
8.00000E-07 1.04504E+16 2.74473E+11
9.00000E-07 6.52384E+15 1.71345E+11
1.00000E-06 4.28012E+15 1.12415E+11
1.10000E-06 2.92327E+15 7.67779E+10
1.20000E-06 2.06394E+15 5.42082E+10
1.30000E-06 1.49841E+15 3.93549E+10
1.40000E-06 1.11397E+15 2.92579E+10
1.50000E-06 8.45287E+14 2.22010E+10
1.60000E-06 6.52938E+14 1.71491E+10
1.70000E-06 5.12317E+14 1.34557E+10
1.80000E-06 4.07594E+14 1.07052E+10
1.90000E-06 3.28311E+14 8.62291E+09
2.00000E-06 2.67401E+14 7.02313E+09
2.10000E-06 2.19982E+14 5.77772E+09
2.20000E-06 1.82624E+14 4.79651E+09
2.30000E-06 1.52869E+14 4.01502E+09
2.40000E-06 1.28934E+14 3.38638E+09
2.50000E-06 1.09505E+14 2.87610E+09
2.60000E-06 9.36020E+13 2.45840E+09
2.70000E-06 8.04833E+13 2.11385E+09
2.80000E-06 6.95843E+13 1.82759E+09
2.90000E-06 6.04692E+13 1.58819E+09
3.00000E-06 5.27988E+13 1.38673E+09
3.10000E-06 4.63068E+13 1.21622E+09
3.20000E-06 4.07825E+13 1.07113E+09
3.30000E-06 3.60579E+13 9.47042E+08
3.40000E-06 3.19981E+13 8.40411E+08
3.50000E-06 2.84938E+13 7.48373E+08
3.60000E-06 2.54563E+13 6.68594E+08
3.70000E-06 2.28129E+13 5.99168E+08
3.80000E-06 2.05039E+13 5.38522E+08
3.90000E-06 1.84797E+13 4.85358E+08
4.00000E-06 1.66992E+13 4.38595E+08
4.10000E-06 1.51280E+13 3.97329E+08
4.20000E-06 1.37374E+13 3.60804E+08
4.30000E-06 1.25029E+13 3.28380E+08
4.40000E-06 1.14039E+13 2.99518E+08
4.50000E-06 1.04231E+13 2.73758E+08
4.60000E-06 9.54552E+12 2.50708E+08
4.70000E-06 8.75834E+12 2.30033E+08
4.80000E-06 8.05065E+12 2.11446E+08
4.90000E-06 7.41300E+12 1.94698E+08
5.00000E-06 6.83725E+12 1.79576E+08
5.10000E-06 6.31631E+12 1.65894E+08
5.20000E-06 5.84404E+12 1.53490E+08
5.30000E-06 5.41509E+12 1.42224E+08
5.40000E-06 5.02477E+12 1.31973E+08
5.50000E-06 4.66900E+12 1.22629E+08
5.60000E-06 4.34415E+12 1.14097E+08
5.70000E-06 4.04706E+12 1.06294E+08
5.80000E-06 3.77494E+12 9.91467E+07
5.90000E-06 3.52530E+12 9.25901E+07
6.00000E-06 3.29596E+12 8.65666E+07
6.10000E-06 3.08497E+12 8.10249E+07
6.20000E-06 2.89058E+12 7.59196E+07
6.30000E-06 2.71127E+12 7.12100E+07
6.40000E-06 2.54564E+12 6.68599E+07
6.50000E-06 2.39247E+12 6.28369E+07
6.60000E-06 2.25065E+12 5.91119E+07
6.70000E-06 2.11917E+12 5.56589E+07
6.80000E-06 1.99716E+12 5.24542E+07
6.90000E-06 1.88380E+12 4.94769E+07
7.00000E-06 1.77837E+12 4.67078E+07
7.10000E-06 1.68021E+12 4.41297E+07
7.20000E-06 1.58872E+12 4.17269E+07
7.30000E-06 1.50338E+12 3.94855E+07
7.40000E-06 1.42369E+12 3.73925E+07
7.50000E-06 1.34921E+12 3.54364E+07
7.60000E-06 1.27954E+12 3.36064E+07
7.70000E-06 1.21431E+12 3.18931E+07
7.80000E-06 1.15318E+12 3.02875E+07
