#  FeatureSize(cm)    Fluence(mum2)   Dose(Gy)
1.00000E-07 1.03964E+20 2.73055E+15
2.00000E-07 6.49774E+18 1.70660E+14
3.00000E-07 1.28350E+18 3.37105E+13
4.00000E-07 4.06109E+17 1.06662E+13
5.00000E-07 1.66342E+17 4.36888E+12
6.00000E-07 8.02190E+16 2.10691E+12
7.00000E-07 4.33002E+16 1.13726E+12
8.00000E-07 2.53818E+16 6.66639E+11
9.00000E-07 1.58457E+16 4.16179E+11
1.00000E-06 1.03964E+16 2.73055E+11
1.10000E-06 7.10087E+15 1.86500E+11
1.20000E-06 5.01369E+15 1.31682E+11
1.30000E-06 3.64006E+15 9.56042E+10
1.40000E-06 2.70626E+15 7.10785E+10
1.50000E-06 2.05361E+15 5.39368E+10
1.60000E-06 1.58636E+15 4.16649E+10
1.70000E-06 1.24476E+15 3.26930E+10
1.80000E-06 9.90358E+14 2.60112E+10
1.90000E-06 7.97752E+14 2.09525E+10
2.00000E-06 6.49774E+14 1.70660E+10
2.10000E-06 5.34571E+14 1.40402E+10
2.20000E-06 4.43804E+14 1.16563E+10
2.30000E-06 3.71510E+14 9.75751E+09
2.40000E-06 3.13356E+14 8.23011E+09
2.50000E-06 2.66147E+14 6.99021E+09
2.60000E-06 2.27504E+14 5.97526E+09
2.70000E-06 1.95626E+14 5.13802E+09
2.80000E-06 1.69142E+14 4.44241E+09
2.90000E-06 1.46991E+14 3.86063E+09
3.00000E-06 1.28350E+14 3.37105E+09
3.10000E-06 1.12573E+14 2.95668E+09
3.20000E-06 9.91476E+13 2.60406E+09
3.30000E-06 8.76651E+13 2.30247E+09
3.40000E-06 7.77977E+13 2.04331E+09
3.50000E-06 6.92804E+13 1.81961E+09
3.60000E-06 6.18974E+13 1.62570E+09
3.70000E-06 5.54722E+13 1.45695E+09
3.80000E-06 4.98595E+13 1.30953E+09
3.90000E-06 4.49391E+13 1.18030E+09
4.00000E-06 4.06109E+13 1.06662E+09
4.10000E-06 3.67914E+13 9.66307E+08
4.20000E-06 3.34107E+13 8.77513E+08
4.30000E-06 3.04094E+13 7.98687E+08
4.40000E-06 2.77378E+13 7.28517E+08
4.50000E-06 2.53532E+13 6.65887E+08
4.60000E-06 2.32194E+13 6.09845E+08
4.70000E-06 2.13055E+13 5.59576E+08
4.80000E-06 1.95847E+13 5.14382E+08
4.90000E-06 1.80342E+13 4.73659E+08
5.00000E-06 1.66342E+13 4.36888E+08
5.10000E-06 1.53674E+13 4.03617E+08
5.20000E-06 1.42190E+13 3.73454E+08
5.30000E-06 1.31759E+13 3.46056E+08
5.40000E-06 1.22266E+13 3.21126E+08
5.50000E-06 1.13614E+13 2.98401E+08
5.60000E-06 1.05713E+13 2.77650E+08
5.70000E-06 9.84879E+12 2.58673E+08
5.80000E-06 9.18693E+12 2.41290E+08
5.90000E-06 8.57974E+12 2.25342E+08
6.00000E-06 8.02190E+12 2.10691E+08
6.10000E-06 7.50867E+12 1.97211E+08
6.20000E-06 7.03583E+12 1.84792E+08
6.30000E-06 6.59964E+12 1.73336E+08
6.40000E-06 6.19673E+12 1.62754E+08
6.50000E-06 5.82410E+12 1.52967E+08
6.60000E-06 5.47907E+12 1.43905E+08
6.70000E-06 5.15921E+12 1.35504E+08
6.80000E-06 4.86236E+12 1.27707E+08
6.90000E-06 4.58655E+12 1.20463E+08
7.00000E-06 4.33002E+12 1.13726E+08
7.10000E-06 4.09118E+12 1.07453E+08
7.20000E-06 3.86859E+12 1.01606E+08
7.30000E-06 3.66093E+12 9.61522E+07
7.40000E-06 3.46701E+12 9.10592E+07
7.50000E-06 3.28577E+12 8.62989E+07
7.60000E-06 3.11622E+12 8.18457E+07
7.70000E-06 2.95746E+12 7.76761E+07
7.80000E-06 2.80869E+12 7.37687E+07
7.90000E-06 2.66916E+12 7.01039E+07
8.00000E-06 2.53818E+12 6.66639E+07
8.10000E-06 2.41514E+12 6.34323E+07
8.20000E-06 2.29947E+12 6.03942E+07
8.30000E-06 2.19063E+12 5.75358E+07
8.40000E-06 2.08817E+12 5.48445E+07
8.50000E-06 1.99162E+12 5.23088E+07
8.60000E-06 1.90059E+12 4.99179E+07
8.70000E-06 1.81470E+12 4.76621E+07
8.80000E-06 1.73361E+12 4.55323E+07
8.90000E-06 1.65700E+12 4.35202E+07
9.00000E-06 1.58457E+12 4.16179E+07
9.10000E-06 1.51606E+12 3.98185E+07
9.20000E-06 1.45121E+12 3.81153E+07
9.30000E-06 1.38979E+12 3.65022E+07
9.40000E-06 1.33159E+12 3.49735E+07
