#  FeatureSize(cm)    Fluence(mum2)   Dose(Gy)
1.00000E-07 5.68412E+19 1.49290E+15
2.00000E-07 3.55243E+18 9.33026E+13
3.00000E-07 7.01687E+17 1.84294E+13
4.00000E-07 2.22009E+17 5.83095E+12
5.00000E-07 9.09314E+16 2.38826E+12
6.00000E-07 4.38502E+16 1.15170E+12
7.00000E-07 2.36683E+16 6.21634E+11
8.00000E-07 1.38734E+16 3.64376E+11
9.00000E-07 8.66072E+15 2.27469E+11
1.00000E-06 5.68207E+15 1.49237E+11
1.10000E-06 3.88078E+15 1.01926E+11
1.20000E-06 2.73998E+15 7.19640E+10
1.30000E-06 1.98921E+15 5.22456E+10
1.40000E-06 1.47885E+15 3.88413E+10
1.50000E-06 1.12216E+15 2.94729E+10
1.60000E-06 8.66808E+14 2.27662E+10
1.70000E-06 6.80126E+14 1.78631E+10
1.80000E-06 5.41101E+14 1.42117E+10
1.90000E-06 4.35849E+14 1.14473E+10
2.00000E-06 3.54988E+14 9.32355E+09
2.10000E-06 2.92038E+14 7.67020E+09
2.20000E-06 2.42442E+14 6.36760E+09
2.30000E-06 2.02941E+14 5.33013E+09
2.40000E-06 1.71167E+14 4.49559E+09
2.50000E-06 1.45374E+14 3.81816E+09
2.60000E-06 1.24261E+14 3.26365E+09
2.70000E-06 1.06846E+14 2.80624E+09
2.80000E-06 9.23766E+13 2.42622E+09
2.90000E-06 8.02758E+13 2.10840E+09
3.00000E-06 7.00930E+13 1.84095E+09
3.10000E-06 6.14745E+13 1.61459E+09
3.20000E-06 5.41408E+13 1.42198E+09
3.30000E-06 4.78687E+13 1.25724E+09
3.40000E-06 4.24790E+13 1.11569E+09
3.50000E-06 3.78269E+13 9.93502E+08
3.60000E-06 3.37944E+13 8.87592E+08
3.70000E-06 3.02852E+13 7.95425E+08
3.80000E-06 2.72199E+13 7.14915E+08
3.90000E-06 2.45327E+13 6.44337E+08
4.00000E-06 2.21690E+13 5.82256E+08
4.10000E-06 2.00832E+13 5.27474E+08
4.20000E-06 1.82370E+13 4.78985E+08
4.30000E-06 1.65982E+13 4.35941E+08
4.40000E-06 1.51393E+13 3.97625E+08
4.50000E-06 1.38372E+13 3.63427E+08
4.60000E-06 1.26721E+13 3.32827E+08
4.70000E-06 1.16271E+13 3.05380E+08
4.80000E-06 1.06876E+13 2.80705E+08
4.90000E-06 9.84113E+12 2.58472E+08
5.00000E-06 9.07678E+12 2.38397E+08
5.10000E-06 8.38521E+12 2.20233E+08
5.20000E-06 7.75825E+12 2.03766E+08
5.30000E-06 7.18880E+12 1.88810E+08
5.40000E-06 6.67064E+12 1.75201E+08
5.50000E-06 6.19832E+12 1.62795E+08
5.60000E-06 5.76707E+12 1.51469E+08
5.70000E-06 5.37268E+12 1.41110E+08
5.80000E-06 5.01142E+12 1.31622E+08
5.90000E-06 4.68001E+12 1.22918E+08
6.00000E-06 4.37555E+12 1.14921E+08
6.10000E-06 4.09545E+12 1.07565E+08
6.20000E-06 3.83739E+12 1.00787E+08
6.30000E-06 3.59934E+12 9.45348E+07
6.40000E-06 3.37947E+12 8.87598E+07
6.50000E-06 3.17612E+12 8.34191E+07
6.60000E-06 2.98784E+12 7.84740E+07
6.70000E-06 2.81331E+12 7.38899E+07
6.80000E-06 2.65133E+12 6.96356E+07
6.90000E-06 2.50083E+12 6.56830E+07
7.00000E-06 2.36087E+12 6.20069E+07
7.10000E-06 2.23056E+12 5.85843E+07
7.20000E-06 2.10911E+12 5.53946E+07
7.30000E-06 1.99581E+12 5.24190E+07
7.40000E-06 1.89002E+12 4.96404E+07
7.50000E-06 1.79115E+12 4.70435E+07
7.60000E-06 1.69865E+12 4.46142E+07
7.70000E-06 1.61205E+12 4.23396E+07
7.80000E-06 1.53090E+12 4.02082E+07
7.90000E-06 1.45478E+12 3.82091E+07
8.00000E-06 1.38334E+12 3.63327E+07
8.10000E-06 1.31623E+12 3.45701E+07
8.20000E-06 1.25314E+12 3.29130E+07
8.30000E-06 1.19378E+12 3.13540E+07
8.40000E-06 1.13790E+12 2.98862E+07
8.50000E-06 1.08524E+12 2.85033E+07
8.60000E-06 1.03560E+12 2.71994E+07
8.70000E-06 9.88760E+11 2.59692E+07
8.80000E-06 9.44539E+11 2.48078E+07
8.90000E-06 9.02761E+11 2.37105E+07
9.00000E-06 8.63268E+11 2.26732E+07
9.10000E-06 8.25910E+11 2.16921E+07
9.20000E-06 7.90550E+11 2.07634E+07
9.30000E-06 7.57062E+11 1.98838E+07
9.40000E-06 7.25328E+11 1.90503E+07
9.50000E-06 6.95239E+11 1.82601E+07
9.60000E-06 6.66693E+11 1.75103E+07
9.70000E-06 6.39597E+11 1.67987E+07
9.80000E-06 6.13864E+11 1.61228E+07
9.90000E-06 5.89411E+11 1.54805E+07
1.00000E-05 5.66163E+11 1.48699E+07
1.01000E-05 5.44050E+11 1.42892E+07
1.02000E-05 5.23005E+11 1.37364E+07
1.03000E-05 5.02968E+11 1.32102E+07
1.04000E-05 4.83881E+11 1.27089E+07
1.05000E-05 4.65690E+11 1.22311E+07
1.06000E-05 4.48346E+11 1.17756E+07
1.07000E-05 4.31802E+11 1.13410E+07
1.08000E-05 4.16013E+11 1.09263E+07
1.09000E-05 4.00939E+11 1.05304E+07
1.10000E-05 3.86542E+11 1.01523E+07
1.11000E-05 3.72784E+11 9.79097E+06
1.12000E-05 3.59633E+11 9.44557E+06
1.13000E-05 3.47057E+11 9.11526E+06
1.14000E-05 3.35026E+11 8.79926E+06
1.15000E-05 3.23511E+11 8.49682E+06
1.16000E-05 3.12486E+11 8.20727E+06
1.17000E-05 3.01927E+11 7.92994E+06
1.18000E-05 2.91810E+11 7.66421E+06
1.19000E-05 2.82112E+11 7.40953E+06
1.20000E-05 2.72815E+11 7.16532E+06
1.21000E-05 2.63897E+11 6.93110E+06
1.22000E-05 2.55340E+11 6.70636E+06
1.23000E-05 2.47127E+11 6.49065E+06
1.24000E-05 2.39241E+11 6.28354E+06
1.25000E-05 2.31668E+11 6.08462E+06
1.26000E-05 2.24391E+11 5.89351E+06
1.27000E-05 2.17398E+11 5.70984E+06
1.28000E-05 2.10675E+11 5.53326E+06
1.29000E-05 2.04210E+11 5.36346E+06
1.30000E-05 1.97991E+11 5.20012E+06
1.31000E-05 1.92006E+11 5.04294E+06
1.32000E-05 1.86246E+11 4.89165E+06
1.33000E-05 1.80700E+11 4.74600E+06
1.34000E-05 1.75359E+11 4.60572E+06
1.35000E-05 1.70214E+11 4.47058E+06
1.36000E-05 1.65256E+11 4.34036E+06
1.37000E-05 1.60477E+11 4.21485E+06
1.38000E-05 1.55870E+11 4.09384E+06
1.39000E-05 1.51427E+11 3.97713E+06
1.40000E-05 1.47140E+11 3.86456E+06
1.41000E-05 1.43005E+11 3.75593E+06
1.42000E-05 1.39013E+11 3.65110E+06
1.43000E-05 1.35160E+11 3.54989E+06
1.44000E-05 1.31439E+11 3.45217E+06
1.45000E-05 1.27845E+11 3.35778E+06
1.46000E-05 1.24373E+11 3.26660E+06
1.47000E-05 1.21019E+11 3.17849E+06
1.48000E-05 1.17776E+11 3.09332E+06
1.49000E-05 1.14641E+11 3.01099E+06
1.50000E-05 1.11610E+11 2.93138E+06
1.51000E-05 1.08679E+11 2.85438E+06
1.52000E-05 1.05842E+11 2.77989E+06
1.53000E-05 1.03098E+11 2.70782E+06
1.54000E-05 1.00442E+11 2.63806E+06
1.55000E-05 9.78712E+10 2.57053E+06
