#  FeatureSize(cm)    Fluence(mum2)   Dose(Gy)
1.00000E-07 1.38017E+20 3.62494E+15
2.00000E-07 8.62607E+18 2.26559E+14
3.00000E-07 1.70391E+18 4.47524E+13
4.00000E-07 5.39129E+17 1.41599E+13
5.00000E-07 2.20827E+17 5.79991E+12
6.00000E-07 1.06495E+17 2.79702E+12
7.00000E-07 5.74832E+16 1.50976E+12
8.00000E-07 3.36956E+16 8.84996E+11
9.00000E-07 2.10360E+16 5.52498E+11
1.00000E-06 1.38017E+16 3.62494E+11
1.10000E-06 9.42675E+15 2.47588E+11
1.20000E-06 6.65592E+15 1.74814E+11
1.30000E-06 4.83236E+15 1.26919E+11
1.40000E-06 3.59270E+15 9.43602E+10
1.50000E-06 2.72626E+15 7.16038E+10
1.60000E-06 2.10597E+15 5.53122E+10
1.70000E-06 1.65248E+15 4.34016E+10
1.80000E-06 1.31475E+15 3.45312E+10
1.90000E-06 1.05906E+15 2.78155E+10
2.00000E-06 8.62607E+14 2.26559E+10
2.10000E-06 7.09669E+14 1.86391E+10
2.20000E-06 5.89172E+14 1.54743E+10
2.30000E-06 4.93198E+14 1.29536E+10
2.40000E-06 4.15995E+14 1.09259E+10
2.50000E-06 3.53324E+14 9.27985E+09
2.60000E-06 3.02023E+14 7.93246E+09
2.70000E-06 2.59704E+14 6.82097E+09
2.80000E-06 2.24544E+14 5.89751E+09
2.90000E-06 1.95138E+14 5.12518E+09
3.00000E-06 1.70391E+14 4.47524E+09
3.10000E-06 1.49447E+14 3.92513E+09
3.20000E-06 1.31623E+14 3.45701E+09
3.30000E-06 1.16380E+14 3.05665E+09
3.40000E-06 1.03280E+14 2.71260E+09
3.50000E-06 9.19731E+13 2.41562E+09
3.60000E-06 8.21718E+13 2.15820E+09
3.70000E-06 7.36421E+13 1.93417E+09
3.80000E-06 6.61909E+13 1.73847E+09
3.90000E-06 5.96588E+13 1.56690E+09
4.00000E-06 5.39129E+13 1.41599E+09
4.10000E-06 4.88425E+13 1.28282E+09
4.20000E-06 4.43543E+13 1.16494E+09
4.30000E-06 4.03700E+13 1.06030E+09
4.40000E-06 3.68233E+13 9.67142E+08
4.50000E-06 3.36576E+13 8.83997E+08
4.60000E-06 3.08249E+13 8.09599E+08
4.70000E-06 2.82840E+13 7.42865E+08
4.80000E-06 2.59997E+13 6.82867E+08
4.90000E-06 2.39413E+13 6.28806E+08
5.00000E-06 2.20827E+13 5.79991E+08
5.10000E-06 2.04010E+13 5.35822E+08
5.20000E-06 1.88764E+13 4.95779E+08
5.30000E-06 1.74916E+13 4.59407E+08
5.40000E-06 1.62315E+13 4.26311E+08
5.50000E-06 1.50828E+13 3.96141E+08
5.60000E-06 1.40340E+13 3.68595E+08
5.70000E-06 1.30748E+13 3.43401E+08
5.80000E-06 1.21961E+13 3.20324E+08
5.90000E-06 1.13900E+13 2.99153E+08
6.00000E-06 1.06495E+13 2.79702E+08
6.10000E-06 9.96813E+12 2.61807E+08
6.20000E-06 9.34041E+12 2.45321E+08
6.30000E-06 8.76134E+12 2.30112E+08
6.40000E-06 8.22646E+12 2.16063E+08
6.50000E-06 7.73178E+12 2.03071E+08
6.60000E-06 7.27373E+12 1.91040E+08
6.70000E-06 6.84910E+12 1.79888E+08
6.80000E-06 6.45502E+12 1.69537E+08
6.90000E-06 6.08887E+12 1.59921E+08
7.00000E-06 5.74832E+12 1.50976E+08
7.10000E-06 5.43125E+12 1.42649E+08
7.20000E-06 5.13574E+12 1.34887E+08
7.30000E-06 4.86006E+12 1.27647E+08
7.40000E-06 4.60263E+12 1.20885E+08
7.50000E-06 4.36202E+12 1.14566E+08
7.60000E-06 4.13693E+12 1.08654E+08
7.70000E-06 3.92618E+12 1.03119E+08
7.80000E-06 3.72867E+12 9.79316E+07
7.90000E-06 3.54344E+12 9.30664E+07
8.00000E-06 3.36956E+12 8.84996E+07
8.10000E-06 3.20622E+12 8.42095E+07
8.20000E-06 3.05265E+12 8.01762E+07
8.30000E-06 2.90818E+12 7.63816E+07
8.40000E-06 2.77214E+12 7.28088E+07
8.50000E-06 2.64397E+12 6.94425E+07
8.60000E-06 2.52313E+12 6.62685E+07
8.70000E-06 2.40911E+12 6.32738E+07
8.80000E-06 2.30145E+12 6.04464E+07
8.90000E-06 2.19975E+12 5.77751E+07
9.00000E-06 2.10360E+12 5.52498E+07
9.10000E-06 2.01265E+12 5.28610E+07
9.20000E-06 1.92656E+12 5.05999E+07
9.30000E-06 1.84502E+12 4.84584E+07
9.40000E-06 1.76775E+12 4.64290E+07
9.50000E-06 1.69449E+12 4.45048E+07
9.60000E-06 1.62498E+12 4.26792E+07
9.70000E-06 1.55900E+12 4.09463E+07
9.80000E-06 1.49633E+12 3.93004E+07
9.90000E-06 1.43679E+12 3.77364E+07
1.00000E-05 1.38017E+12 3.62494E+07
1.01000E-05 1.32632E+12 3.48350E+07
1.02000E-05 1.27506E+12 3.34889E+07
1.03000E-05 1.22626E+12 3.22071E+07
1.04000E-05 1.17978E+12 3.09862E+07
1.05000E-05 1.13547E+12 2.98225E+07
1.06000E-05 1.09322E+12 2.87129E+07
1.07000E-05 1.05293E+12 2.76545E+07
1.08000E-05 1.01447E+12 2.66444E+07
1.09000E-05 9.77748E+11 2.56800E+07
1.10000E-05 9.42675E+11 2.47588E+07
1.11000E-05 9.09161E+11 2.38786E+07
1.12000E-05 8.77124E+11 2.30372E+07
1.13000E-05 8.46485E+11 2.22324E+07
1.14000E-05 8.17172E+11 2.14626E+07
1.15000E-05 7.89117E+11 2.07257E+07
1.16000E-05 7.62256E+11 2.00202E+07
1.17000E-05 7.36528E+11 1.93445E+07
1.18000E-05 7.11877E+11 1.86970E+07
1.19000E-05 6.88248E+11 1.80765E+07
1.20000E-05 6.65592E+11 1.74814E+07
1.21000E-05 6.43860E+11 1.69106E+07
1.22000E-05 6.23008E+11 1.63630E+07
1.23000E-05 6.02993E+11 1.58373E+07
1.24000E-05 5.83776E+11 1.53325E+07
1.25000E-05 5.65318E+11 1.48478E+07
1.26000E-05 5.47584E+11 1.43820E+07
1.27000E-05 5.30540E+11 1.39343E+07
1.28000E-05 5.14154E+11 1.35040E+07
1.29000E-05 4.98395E+11 1.30901E+07
1.30000E-05 4.83236E+11 1.26919E+07
1.31000E-05 4.68649E+11 1.23088E+07
1.32000E-05 4.54608E+11 1.19400E+07
1.33000E-05 4.41089E+11 1.15850E+07
1.34000E-05 4.28069E+11 1.12430E+07
1.35000E-05 4.15526E+11 1.09135E+07
1.36000E-05 4.03438E+11 1.05961E+07
1.37000E-05 3.91788E+11 1.02901E+07
1.38000E-05 3.80554E+11 9.99504E+06
1.39000E-05 3.69721E+11 9.71051E+06
1.40000E-05 3.59270E+11 9.43602E+06
