#  FeatureSize(cm)    Fluence(mum2)   Dose(Gy)
1.00000E-07 1.02207E+21 2.61141E+16
1.10909E-06 6.74893E+16 1.72437E+12
2.11818E-06 5.06843E+15 1.29500E+11
3.12727E-06 1.06583E+15 2.72321E+10
4.13636E-06 3.47935E+14 8.88981E+09
5.14545E-06 1.45178E+14 3.70932E+09
6.15455E-06 7.08652E+13 1.81062E+09
7.16364E-06 3.85749E+13 9.85597E+08
8.17273E-06 2.27506E+13 5.81282E+08
9.18182E-06 1.42681E+13 3.64553E+08
1.01909E-05 9.39399E+12 2.40019E+08
1.12000E-05 6.43354E+12 1.64378E+08
1.22091E-05 4.55207E+12 1.16306E+08
1.32182E-05 3.31036E+12 8.45804E+07
1.42273E-05 2.46431E+12 6.29636E+07
1.52364E-05 1.87187E+12 4.78266E+07
1.62455E-05 1.44708E+12 3.69731E+07
1.72545E-05 1.13612E+12 2.90281E+07
1.82636E-05 9.04287E+11 2.31047E+07
1.92727E-05 7.28619E+11 1.86164E+07
2.02818E-05 5.93558E+11 1.51655E+07
2.12909E-05 4.88350E+11 1.24774E+07
2.23000E-05 4.05420E+11 1.03586E+07
2.33091E-05 3.39343E+11 8.67030E+06
2.43182E-05 2.86175E+11 7.31185E+06
2.53273E-05 2.43007E+11 6.20888E+06
2.63364E-05 2.07666E+11 5.30590E+06
2.73455E-05 1.78510E+11 4.56097E+06
2.83545E-05 1.54286E+11 3.94204E+06
2.93636E-05 1.34027E+11 3.42442E+06
3.03727E-05 1.16980E+11 2.98886E+06
3.13818E-05 1.02553E+11 2.62024E+06
3.23909E-05 9.02776E+10 2.30661E+06
3.34000E-05 7.97810E+10 2.03842E+06
3.44091E-05 7.07629E+10 1.80801E+06
3.54182E-05 6.29804E+10 1.60916E+06
3.64273E-05 5.62362E+10 1.43685E+06
3.74364E-05 5.03685E+10 1.28693E+06
3.84455E-05 4.52444E+10 1.15601E+06
3.94545E-05 4.07538E+10 1.04127E+06
4.04636E-05 3.68050E+10 9.40376E+05
4.14727E-05 3.33216E+10 8.51375E+05
4.24818E-05 3.02395E+10 7.72625E+05
4.34909E-05 2.75044E+10 7.02743E+05
4.45000E-05 2.50706E+10 6.40560E+05
4.55091E-05 2.28992E+10 5.85081E+05
4.65182E-05 2.09571E+10 5.35459E+05
4.75273E-05 1.92158E+10 4.90968E+05
4.85364E-05 1.76510E+10 4.50987E+05
4.95455E-05 1.62416E+10 4.14978E+05
5.05545E-05 1.49696E+10 3.82478E+05
5.15636E-05 1.38193E+10 3.53085E+05
5.25727E-05 1.27768E+10 3.26451E+05
5.35818E-05 1.18305E+10 3.02271E+05
5.45909E-05 1.09697E+10 2.80279E+05
5.56000E-05 1.01855E+10 2.60242E+05
5.66091E-05 9.46983E+09 2.41956E+05
5.76182E-05 8.81562E+09 2.25241E+05
5.86273E-05 8.21668E+09 2.09938E+05
5.96364E-05 7.66751E+09 1.95907E+05
6.06455E-05 7.16324E+09 1.83022E+05
6.16545E-05 6.69954E+09 1.71175E+05
6.26636E-05 6.27257E+09 1.60266E+05
6.36727E-05 5.87891E+09 1.50207E+05
6.46818E-05 5.51548E+09 1.40922E+05
6.56909E-05 5.17956E+09 1.32339E+05
6.67000E-05 4.86869E+09 1.24396E+05
6.77091E-05 4.58066E+09 1.17037E+05
6.87182E-05 4.31350E+09 1.10211E+05
6.97273E-05 4.06543E+09 1.03873E+05
7.07364E-05 3.83482E+09 9.79806E+04
7.17455E-05 3.62025E+09 9.24981E+04
7.27545E-05 3.42038E+09 8.73915E+04
7.37636E-05 3.23403E+09 8.26302E+04
7.47727E-05 3.06012E+09 7.81868E+04
7.57818E-05 2.89767E+09 7.40362E+04
7.67909E-05 2.74579E+09 7.01556E+04
7.78000E-05 2.60367E+09 6.65243E+04
7.88091E-05 2.47056E+09 6.31234E+04
7.98182E-05 2.34580E+09 5.99356E+04
8.08273E-05 2.22875E+09 5.69451E+04
8.18364E-05 2.11887E+09 5.41375E+04
8.28455E-05 2.01562E+09 5.14997E+04
8.38545E-05 1.91855E+09 4.90193E+04
8.48636E-05 1.82720E+09 4.66855E+04
8.58727E-05 1.74119E+09 4.44879E+04
8.68818E-05 1.66015E+09 4.24171E+04
8.78909E-05 1.58372E+09 4.04645E+04
8.89000E-05 1.51161E+09 3.86221E+04
8.99091E-05 1.44353E+09 3.68825E+04
9.09182E-05 1.37921E+09 3.52391E+04
9.19273E-05 1.31840E+09 3.36854E+04
9.29364E-05 1.26088E+09 3.22157E+04
9.39455E-05 1.20644E+09 3.08247E+04
9.49545E-05 1.15487E+09 2.95073E+04
9.59636E-05 1.10602E+09 2.82590E+04
9.69727E-05 1.05969E+09 2.70754E+04
9.79818E-05 1.01575E+09 2.59526E+04
9.89909E-05 9.74037E+08 2.48869E+04
1.00000E-04 9.34427E+08 2.38748E+04
