#  FeatureSize(cm)    Fluence(mum2)   Dose(Gy)
1.00000E-07 6.89057E+20 1.76056E+16
2.00000E-07 4.30624E+19 1.10025E+15
3.00000E-07 8.50541E+18 2.17315E+14
4.00000E-07 2.69093E+18 6.87540E+13
5.00000E-07 1.10211E+18 2.81592E+13
6.00000E-07 5.31451E+17 1.35787E+13
7.00000E-07 2.86839E+17 7.32881E+12
8.00000E-07 1.68125E+17 4.29564E+12
9.00000E-07 1.04951E+17 2.68152E+12
1.00000E-06 6.88523E+16 1.75919E+12
1.10000E-06 4.70230E+16 1.20145E+12
1.20000E-06 3.31985E+16 8.48230E+11
1.30000E-06 2.41009E+16 6.15783E+11
1.40000E-06 1.79166E+16 4.57774E+11
1.50000E-06 1.35946E+16 3.47345E+11
1.60000E-06 1.05006E+16 2.68293E+11
1.70000E-06 8.23874E+15 2.10502E+11
1.80000E-06 6.55434E+15 1.67465E+11
1.90000E-06 5.27919E+15 1.34884E+11
2.00000E-06 4.29956E+15 1.09855E+11
2.10000E-06 3.53696E+15 9.03700E+10
2.20000E-06 2.93615E+15 7.50194E+10
2.30000E-06 2.45765E+15 6.27936E+10
2.40000E-06 2.07276E+15 5.29595E+10
2.50000E-06 1.76034E+15 4.49771E+10
2.60000E-06 1.50462E+15 3.84433E+10
2.70000E-06 1.29368E+15 3.30538E+10
2.80000E-06 1.11844E+15 2.85764E+10
2.90000E-06 9.71885E+14 2.48319E+10
3.00000E-06 8.48564E+14 2.16810E+10
3.10000E-06 7.44193E+14 1.90143E+10
3.20000E-06 6.55382E+14 1.67452E+10
3.30000E-06 5.79430E+14 1.48046E+10
3.40000E-06 5.14167E+14 1.31371E+10
3.50000E-06 4.57836E+14 1.16978E+10
3.60000E-06 4.09011E+14 1.04503E+10
3.70000E-06 3.66522E+14 9.36472E+09
3.80000E-06 3.29409E+14 8.41647E+09
3.90000E-06 2.96875E+14 7.58522E+09
4.00000E-06 2.68259E+14 6.85408E+09
4.10000E-06 2.43009E+14 6.20892E+09
4.20000E-06 2.20659E+14 5.63790E+09
4.30000E-06 2.00821E+14 5.13101E+09
4.40000E-06 1.83161E+14 4.67981E+09
4.50000E-06 1.67401E+14 4.27712E+09
4.60000E-06 1.53299E+14 3.91681E+09
4.70000E-06 1.40650E+14 3.59364E+09
4.80000E-06 1.29279E+14 3.30312E+09
4.90000E-06 1.19034E+14 3.04136E+09
5.00000E-06 1.09784E+14 2.80501E+09
5.10000E-06 1.01415E+14 2.59117E+09
5.20000E-06 9.38276E+13 2.39732E+09
5.30000E-06 8.69367E+13 2.22125E+09
5.40000E-06 8.06666E+13 2.06105E+09
5.50000E-06 7.49516E+13 1.91503E+09
5.60000E-06 6.97336E+13 1.78171E+09
5.70000E-06 6.49616E+13 1.65978E+09
5.80000E-06 6.05908E+13 1.54811E+09
5.90000E-06 5.65813E+13 1.44567E+09
6.00000E-06 5.28979E+13 1.35155E+09
6.10000E-06 4.95093E+13 1.26497E+09
6.20000E-06 4.63876E+13 1.18521E+09
6.30000E-06 4.35080E+13 1.11164E+09
6.40000E-06 4.08482E+13 1.04368E+09
6.50000E-06 3.83886E+13 9.80837E+08
