#  FeatureSize(cm)    Fluence(mum2)   Dose(Gy)
1.00000E-07 6.89057E+20 1.76056E+16
1.10909E-06 4.54998E+16 1.16253E+12
2.11818E-06 3.41702E+15 8.73055E+10
3.12727E-06 7.18553E+14 1.83592E+10
4.13636E-06 2.34568E+14 5.99326E+09
5.14545E-06 9.78745E+13 2.50072E+09
6.15455E-06 4.77751E+13 1.22066E+09
7.16364E-06 2.60059E+13 6.64457E+08
8.17273E-06 1.53376E+13 3.91880E+08
9.18182E-06 9.61903E+12 2.45768E+08
1.01909E-05 6.33307E+12 1.61811E+08
1.12000E-05 4.33723E+12 1.10817E+08
1.22091E-05 3.06881E+12 7.84089E+07
1.32182E-05 2.23170E+12 5.70204E+07
1.42273E-05 1.66132E+12 4.24472E+07
1.52364E-05 1.26192E+12 3.22424E+07
1.62455E-05 9.75548E+11 2.49255E+07
1.72545E-05 7.65913E+11 1.95692E+07
1.82636E-05 6.09623E+11 1.55760E+07
1.92727E-05 4.91195E+11 1.25501E+07
2.02818E-05 4.00143E+11 1.02237E+07
2.12909E-05 3.29217E+11 8.41156E+06
2.23000E-05 2.73310E+11 6.98312E+06
2.33091E-05 2.28764E+11 5.84498E+06
2.43182E-05 1.92921E+11 4.92918E+06
2.53273E-05 1.63819E+11 4.18562E+06
2.63364E-05 1.39994E+11 3.57688E+06
2.73455E-05 1.20339E+11 3.07469E+06
2.83545E-05 1.04009E+11 2.65744E+06
2.93636E-05 9.03512E+10 2.30849E+06
3.03727E-05 7.88590E+10 2.01486E+06
3.13818E-05 6.91331E+10 1.76637E+06
3.23909E-05 6.08581E+10 1.55494E+06
3.34000E-05 5.37820E+10 1.37414E+06
3.44091E-05 4.77025E+10 1.21881E+06
3.54182E-05 4.24561E+10 1.08476E+06
3.64273E-05 3.79096E+10 9.68598E+05
3.74364E-05 3.39540E+10 8.67533E+05
3.84455E-05 3.04997E+10 7.79275E+05
3.94545E-05 2.74724E+10 7.01927E+05
4.04636E-05 2.48105E+10 6.33913E+05
4.14727E-05 2.24623E+10 5.73916E+05
4.24818E-05 2.03845E+10 5.20828E+05
4.34909E-05 1.85407E+10 4.73720E+05
4.45000E-05 1.69001E+10 4.31801E+05
4.55091E-05 1.54363E+10 3.94401E+05
4.65182E-05 1.41271E+10 3.60950E+05
4.75273E-05 1.29532E+10 3.30958E+05
4.85364E-05 1.18984E+10 3.04006E+05
4.95455E-05 1.09483E+10 2.79732E+05
5.05545E-05 1.00908E+10 2.57823E+05
5.15636E-05 9.31536E+09 2.38009E+05
5.25727E-05 8.61265E+09 2.20055E+05
5.35818E-05 7.97469E+09 2.03755E+05
5.45909E-05 7.39446E+09 1.88930E+05
5.56000E-05 6.86582E+09 1.75423E+05
5.66091E-05 6.38338E+09 1.63097E+05
5.76182E-05 5.94238E+09 1.51829E+05
5.86273E-05 5.53863E+09 1.41513E+05
5.96364E-05 5.16844E+09 1.32055E+05
6.06455E-05 4.82851E+09 1.23369E+05
6.16545E-05 4.51593E+09 1.15383E+05
6.26636E-05 4.22811E+09 1.08029E+05
6.36727E-05 3.96275E+09 1.01249E+05
6.46818E-05 3.71777E+09 9.49897E+04
6.56909E-05 3.49132E+09 8.92041E+04
6.67000E-05 3.28177E+09 8.38499E+04
6.77091E-05 3.08761E+09 7.88892E+04
6.87182E-05 2.90752E+09 7.42879E+04
6.97273E-05 2.74030E+09 7.00153E+04
7.07364E-05 2.58486E+09 6.60436E+04
7.17455E-05 2.44021E+09 6.23480E+04
7.27545E-05 2.30549E+09 5.89057E+04
7.37636E-05 2.17987E+09 5.56962E+04
7.47727E-05 2.06264E+09 5.27010E+04
7.57818E-05 1.95314E+09 4.99032E+04
7.67909E-05 1.85076E+09 4.72874E+04
7.78000E-05 1.75496E+09 4.48397E+04
7.88091E-05 1.66524E+09 4.25472E+04
7.98182E-05 1.58114E+09 4.03984E+04
8.08273E-05 1.50224E+09 3.83826E+04
8.18364E-05 1.42817E+09 3.64901E+04
8.28455E-05 1.35858E+09 3.47120E+04
8.38545E-05 1.29314E+09 3.30401E+04
8.48636E-05 1.23157E+09 3.14669E+04
8.58727E-05 1.17359E+09 2.99856E+04
8.68818E-05 1.11896E+09 2.85898E+04
8.78909E-05 1.06745E+09 2.72736E+04
8.89000E-05 1.01884E+09 2.60317E+04
8.99091E-05 9.72953E+08 2.48592E+04
9.09182E-05 9.29596E+08 2.37514E+04
9.19273E-05 8.88608E+08 2.27041E+04
9.29364E-05 8.49836E+08 2.17135E+04
9.39455E-05 8.13139E+08 2.07759E+04
9.49545E-05 7.78384E+08 1.98879E+04
9.59636E-05 7.45451E+08 1.90464E+04
9.69727E-05 7.14227E+08 1.82487E+04
9.79818E-05 6.84606E+08 1.74918E+04
9.89909E-05 6.56492E+08 1.67735E+04
1.00000E-04 6.29793E+08 1.60914E+04
