#  FeatureSize(cm)    Fluence(mum2)   Dose(Gy)
1.00000E-07 1.67319E+21 4.27504E+16
2.00000E-07 1.04574E+20 2.67190E+15
3.00000E-07 2.06567E+19 5.27782E+14
4.00000E-07 6.53589E+18 1.66994E+14
5.00000E-07 2.67710E+18 6.84006E+13
6.00000E-07 1.29104E+18 3.29864E+13
7.00000E-07 6.96872E+17 1.78052E+13
8.00000E-07 4.08493E+17 1.04371E+13
9.00000E-07 2.55020E+17 6.51583E+12
1.00000E-06 1.67319E+17 4.27504E+12
1.10000E-06 1.14281E+17 2.91991E+12
1.20000E-06 8.06901E+16 2.06165E+12
1.30000E-06 5.85830E+16 1.49681E+12
1.40000E-06 4.35545E+16 1.11283E+12
1.50000E-06 3.30506E+16 8.44451E+11
1.60000E-06 2.55308E+16 6.52319E+11
1.70000E-06 2.00332E+16 5.11852E+11
1.80000E-06 1.59388E+16 4.07239E+11
1.90000E-06 1.28390E+16 3.28039E+11
2.00000E-06 1.04574E+16 2.67190E+11
2.10000E-06 8.60336E+15 2.19818E+11
2.20000E-06 7.14257E+15 1.82494E+11
2.30000E-06 5.97907E+15 1.52767E+11
2.40000E-06 5.04313E+15 1.28853E+11
2.50000E-06 4.28336E+15 1.09441E+11
2.60000E-06 3.66144E+15 9.35506E+10
2.70000E-06 3.14840E+15 8.04423E+10
2.80000E-06 2.72216E+15 6.95517E+10
2.90000E-06 2.36566E+15 6.04432E+10
3.00000E-06 2.06567E+15 5.27782E+10
3.10000E-06 1.81175E+15 4.62906E+10
3.20000E-06 1.59568E+15 4.07699E+10
3.30000E-06 1.41088E+15 3.60482E+10
3.40000E-06 1.25207E+15 3.19907E+10
3.50000E-06 1.11499E+15 2.84884E+10
3.60000E-06 9.96174E+14 2.54525E+10
3.70000E-06 8.92767E+14 2.28104E+10
3.80000E-06 8.02436E+14 2.05024E+10
3.90000E-06 7.23247E+14 1.84791E+10
4.00000E-06 6.53589E+14 1.66994E+10
4.10000E-06 5.92120E+14 1.51288E+10
4.20000E-06 5.37710E+14 1.37386E+10
4.30000E-06 4.89408E+14 1.25045E+10
4.40000E-06 4.46410E+14 1.14059E+10
4.50000E-06 4.08033E+14 1.04253E+10
4.60000E-06 3.73692E+14 9.54791E+09
4.70000E-06 3.42889E+14 8.76089E+09
4.80000E-06 3.15196E+14 8.05332E+09
4.90000E-06 2.90242E+14 7.41576E+09
5.00000E-06 2.67710E+14 6.84006E+09
5.10000E-06 2.47323E+14 6.31916E+09
5.20000E-06 2.28840E+14 5.84691E+09
5.30000E-06 2.12052E+14 5.41797E+09
5.40000E-06 1.96775E+14 5.02765E+09
5.50000E-06 1.82850E+14 4.67185E+09
5.60000E-06 1.70135E+14 4.34698E+09
5.70000E-06 1.58506E+14 4.04986E+09
5.80000E-06 1.47854E+14 3.77770E+09
5.90000E-06 1.38082E+14 3.52803E+09
6.00000E-06 1.29104E+14 3.29864E+09
6.10000E-06 1.20844E+14 3.08760E+09
6.20000E-06 1.13234E+14 2.89316E+09
6.30000E-06 1.06214E+14 2.71380E+09
6.40000E-06 9.97298E+13 2.54812E+09
6.50000E-06 9.37328E+13 2.39489E+09
6.60000E-06 8.81798E+13 2.25301E+09
6.70000E-06 8.30321E+13 2.12149E+09
6.80000E-06 7.82545E+13 1.99942E+09
6.90000E-06 7.38157E+13 1.88601E+09
7.00000E-06 6.96872E+13 1.78052E+09
7.10000E-06 6.58433E+13 1.68231E+09
7.20000E-06 6.22608E+13 1.59078E+09
7.30000E-06 5.89188E+13 1.50539E+09
7.40000E-06 5.57979E+13 1.42565E+09
7.50000E-06 5.28810E+13 1.35112E+09
7.60000E-06 5.01523E+13 1.28140E+09
7.70000E-06 4.75973E+13 1.21612E+09
7.80000E-06 4.52029E+13 1.15495E+09
7.90000E-06 4.29573E+13 1.09757E+09
8.00000E-06 4.08493E+13 1.04371E+09
8.10000E-06 3.88691E+13 9.93115E+08
8.20000E-06 3.70075E+13 9.45550E+08
8.30000E-06 3.52560E+13 9.00798E+08
8.40000E-06 3.36069E+13 8.58663E+08
8.50000E-06 3.20530E+13 8.18963E+08
8.60000E-06 3.05880E+13 7.81531E+08
8.70000E-06 2.92057E+13 7.46213E+08
8.80000E-06 2.79007E+13 7.12868E+08
8.90000E-06 2.66677E+13 6.81365E+08
9.00000E-06 2.55020E+13 6.51583E+08
9.10000E-06 2.43994E+13 6.23411E+08
9.20000E-06 2.33557E+13 5.96745E+08
9.30000E-06 2.23673E+13 5.71489E+08
9.40000E-06 2.14306E+13 5.47556E+08
9.50000E-06 2.05424E+13 5.24862E+08
9.60000E-06 1.96997E+13 5.03332E+08
9.70000E-06 1.88998E+13 4.82895E+08
9.80000E-06 1.81401E+13 4.63485E+08
9.90000E-06 1.74182E+13 4.45040E+08
1.00000E-05 1.67319E+13 4.27504E+08
1.01000E-05 1.60790E+13 4.10823E+08
1.02000E-05 1.54577E+13 3.94947E+08
1.03000E-05 1.48661E+13 3.79831E+08
1.04000E-05 1.43025E+13 3.65432E+08
1.05000E-05 1.37654E+13 3.51708E+08
1.06000E-05 1.32532E+13 3.38623E+08
1.07000E-05 1.27647E+13 3.26140E+08
1.08000E-05 1.22984E+13 3.14228E+08
1.09000E-05 1.18533E+13 3.02854E+08
1.10000E-05 1.14281E+13 2.91991E+08
1.11000E-05 1.10218E+13 2.81610E+08
1.12000E-05 1.06334E+13 2.71686E+08
1.13000E-05 1.02620E+13 2.62196E+08
1.14000E-05 9.90662E+12 2.53116E+08
1.15000E-05 9.56651E+12 2.44427E+08
1.16000E-05 9.24087E+12 2.36106E+08
1.17000E-05 8.92897E+12 2.28137E+08
1.18000E-05 8.63012E+12 2.20502E+08
1.19000E-05 8.34367E+12 2.13183E+08
1.20000E-05 8.06901E+12 2.06165E+08
1.21000E-05 7.80555E+12 1.99434E+08
1.22000E-05 7.55276E+12 1.92975E+08
1.23000E-05 7.31012E+12 1.86775E+08
1.24000E-05 7.07715E+12 1.80823E+08
1.25000E-05 6.85338E+12 1.75105E+08
1.26000E-05 6.63839E+12 1.69612E+08
1.27000E-05 6.43176E+12 1.64333E+08
1.28000E-05 6.23312E+12 1.59257E+08
1.29000E-05 6.04208E+12 1.54376E+08
1.30000E-05 5.85830E+12 1.49681E+08
1.31000E-05 5.68146E+12 1.45163E+08
1.32000E-05 5.51124E+12 1.40813E+08
1.33000E-05 5.34735E+12 1.36626E+08
1.34000E-05 5.18950E+12 1.32593E+08
1.35000E-05 5.03744E+12 1.28708E+08
1.36000E-05 4.89091E+12 1.24964E+08
