#  FeatureSize(cm)    Fluence(mum2)   Dose(Gy)
1.00000E-07 7.97059E+20 2.03650E+16
2.00000E-07 4.98119E+19 1.27270E+15
3.00000E-07 9.83853E+18 2.51377E+14
4.00000E-07 3.11271E+18 7.95303E+13
5.00000E-07 1.27485E+18 3.25728E+13
6.00000E-07 6.14750E+17 1.57070E+13
7.00000E-07 3.31798E+17 8.47751E+12
8.00000E-07 1.94477E+17 4.96893E+12
9.00000E-07 1.21401E+17 3.10181E+12
1.00000E-06 7.96441E+16 2.03492E+12
1.10000E-06 5.43933E+16 1.38976E+12
1.20000E-06 3.84020E+16 9.81180E+11
1.30000E-06 2.78784E+16 7.12299E+11
1.40000E-06 2.07249E+16 5.29525E+11
1.50000E-06 1.57254E+16 4.01787E+11
1.60000E-06 1.21464E+16 3.10344E+11
1.70000E-06 9.53007E+15 2.43495E+11
1.80000E-06 7.58166E+15 1.93713E+11
1.90000E-06 6.10664E+15 1.56026E+11
2.00000E-06 4.97347E+15 1.27073E+11
2.10000E-06 4.09133E+15 1.04534E+11
2.20000E-06 3.39636E+15 8.67777E+10
2.30000E-06 2.84286E+15 7.26357E+10
2.40000E-06 2.39764E+15 6.12603E+10
2.50000E-06 2.03625E+15 5.20267E+10
2.60000E-06 1.74045E+15 4.44688E+10
2.70000E-06 1.49645E+15 3.82346E+10
2.80000E-06 1.29374E+15 3.30554E+10
2.90000E-06 1.12422E+15 2.87240E+10
3.00000E-06 9.81566E+14 2.50792E+10
3.10000E-06 8.60836E+14 2.19945E+10
3.20000E-06 7.58106E+14 1.93698E+10
3.30000E-06 6.70249E+14 1.71250E+10
3.40000E-06 5.94756E+14 1.51962E+10
3.50000E-06 5.29596E+14 1.35313E+10
3.60000E-06 4.73118E+14 1.20883E+10
3.70000E-06 4.23970E+14 1.08325E+10
3.80000E-06 3.81040E+14 9.73565E+09
3.90000E-06 3.43407E+14 8.77412E+09
4.00000E-06 3.10306E+14 7.92838E+09
4.10000E-06 2.81097E+14 7.18210E+09
4.20000E-06 2.55245E+14 6.52157E+09
4.30000E-06 2.32297E+14 5.93523E+09
4.40000E-06 2.11870E+14 5.41332E+09
4.50000E-06 1.93639E+14 4.94751E+09
4.60000E-06 1.77326E+14 4.53073E+09
4.70000E-06 1.62695E+14 4.15691E+09
4.80000E-06 1.49542E+14 3.82084E+09
4.90000E-06 1.37692E+14 3.51805E+09
5.00000E-06 1.26991E+14 3.24466E+09
5.10000E-06 1.17310E+14 2.99730E+09
5.20000E-06 1.08534E+14 2.77307E+09
5.30000E-06 1.00563E+14 2.56941E+09
5.40000E-06 9.33102E+13 2.38410E+09
5.50000E-06 8.66993E+13 2.21519E+09
5.60000E-06 8.06634E+13 2.06097E+09
5.70000E-06 7.51436E+13 1.91994E+09
5.80000E-06 7.00877E+13 1.79076E+09
5.90000E-06 6.54498E+13 1.67226E+09
6.00000E-06 6.11890E+13 1.56339E+09
6.10000E-06 5.72693E+13 1.46324E+09
6.20000E-06 5.36583E+13 1.37098E+09
6.30000E-06 5.03273E+13 1.28587E+09
6.40000E-06 4.72507E+13 1.20727E+09
6.50000E-06 4.44055E+13 1.13457E+09
6.60000E-06 4.17712E+13 1.06726E+09
6.70000E-06 3.93293E+13 1.00487E+09
6.80000E-06 3.70631E+13 9.46972E+08
6.90000E-06 3.49578E+13 8.93179E+08
7.00000E-06 3.29997E+13 8.43151E+08
7.10000E-06 3.11768E+13 7.96574E+08
7.20000E-06 2.94780E+13 7.53168E+08
7.30000E-06 2.78932E+13 7.12678E+08
7.40000E-06 2.64135E+13 6.74870E+08
7.50000E-06 2.50305E+13 6.39535E+08
7.60000E-06 2.37368E+13 6.06481E+08
7.70000E-06 2.25256E+13 5.75534E+08
7.80000E-06 2.13906E+13 5.46535E+08
7.90000E-06 2.03262E+13 5.19338E+08
8.00000E-06 1.93271E+13 4.93811E+08
8.10000E-06 1.83886E+13 4.69833E+08
8.20000E-06 1.75064E+13 4.47291E+08
8.30000E-06 1.66764E+13 4.26084E+08
8.40000E-06 1.58949E+13 4.06119E+08
8.50000E-06 1.51587E+13 3.87309E+08
8.60000E-06 1.44646E+13 3.69574E+08
8.70000E-06 1.38097E+13 3.52842E+08
8.80000E-06 1.31915E+13 3.37046E+08
8.90000E-06 1.26075E+13 3.22123E+08
9.00000E-06 1.20553E+13 3.08017E+08
9.10000E-06 1.15331E+13 2.94674E+08
9.20000E-06 1.10388E+13 2.82045E+08
9.30000E-06 1.05707E+13 2.70084E+08
9.40000E-06 1.01272E+13 2.58751E+08
9.50000E-06 9.70659E+12 2.48006E+08
9.60000E-06 9.30762E+12 2.37812E+08
9.70000E-06 8.92892E+12 2.28136E+08
9.80000E-06 8.56927E+12 2.18947E+08
9.90000E-06 8.22753E+12 2.10215E+08
1.00000E-05 7.90265E+12 2.01914E+08
1.01000E-05 7.59363E+12 1.94019E+08
1.02000E-05 7.29956E+12 1.86505E+08
1.03000E-05 7.01957E+12 1.79352E+08
1.04000E-05 6.75287E+12 1.72537E+08
1.05000E-05 6.49871E+12 1.66043E+08
1.06000E-05 6.25638E+12 1.59852E+08
1.07000E-05 6.02523E+12 1.53946E+08
1.08000E-05 5.80465E+12 1.48310E+08
1.09000E-05 5.59406E+12 1.42930E+08
1.10000E-05 5.39293E+12 1.37791E+08
1.11000E-05 5.20075E+12 1.32880E+08
1.12000E-05 5.01704E+12 1.28187E+08
1.13000E-05 4.84137E+12 1.23698E+08
1.14000E-05 4.67332E+12 1.19404E+08
1.15000E-05 4.51248E+12 1.15295E+08
1.16000E-05 4.35850E+12 1.11361E+08
1.17000E-05 4.21102E+12 1.07593E+08
1.18000E-05 4.06973E+12 1.03982E+08
1.19000E-05 3.93430E+12 1.00522E+08
1.20000E-05 3.80446E+12 9.72048E+07
1.21000E-05 3.67992E+12 9.40228E+07
1.22000E-05 3.56043E+12 9.09699E+07
1.23000E-05 3.44575E+12 8.80398E+07
1.24000E-05 3.33565E+12 8.52265E+07
1.25000E-05 3.22990E+12 8.25246E+07
1.26000E-05 3.12830E+12 7.99289E+07
1.27000E-05 3.03067E+12 7.74343E+07
1.28000E-05 2.93681E+12 7.50361E+07
1.29000E-05 2.84655E+12 7.27300E+07
1.30000E-05 2.75973E+12 7.05117E+07
1.31000E-05 2.67619E+12 6.83773E+07
1.32000E-05 2.59578E+12 6.63229E+07
1.33000E-05 2.51837E+12 6.43450E+07
1.34000E-05 2.44382E+12 6.24402E+07
1.35000E-05 2.37201E+12 6.06053E+07
1.36000E-05 2.30281E+12 5.88372E+07
1.37000E-05 2.23611E+12 5.71331E+07
1.38000E-05 2.17181E+12 5.54901E+07
1.39000E-05 2.10980E+12 5.39057E+07
1.40000E-05 2.04998E+12 5.23774E+07
1.41000E-05 1.99227E+12 5.09029E+07
1.42000E-05 1.93657E+12 4.94797E+07
1.43000E-05 1.88280E+12 4.81059E+07
1.44000E-05 1.83088E+12 4.67794E+07
1.45000E-05 1.78074E+12 4.54983E+07
1.46000E-05 1.73230E+12 4.42607E+07
1.47000E-05 1.68549E+12 4.30648E+07
1.48000E-05 1.64026E+12 4.19089E+07
1.49000E-05 1.59653E+12 4.07916E+07
1.50000E-05 1.55424E+12 3.97112E+07
1.51000E-05 1.51334E+12 3.86663E+07
1.52000E-05 1.47378E+12 3.76554E+07
1.53000E-05 1.43550E+12 3.66774E+07
1.54000E-05 1.39846E+12 3.57309E+07
