#  FeatureSize(cm)    Fluence(mum2)   Dose(Gy)
1.00000E-07 1.93544E+21 4.94510E+16
2.00000E-07 1.20965E+20 3.09069E+15
3.00000E-07 2.38943E+19 6.10506E+14
4.00000E-07 7.56032E+18 1.93168E+14
5.00000E-07 3.09671E+18 7.91215E+13
6.00000E-07 1.49340E+18 3.81566E+13
7.00000E-07 8.06098E+17 2.05960E+13
8.00000E-07 4.72520E+17 1.20730E+13
9.00000E-07 2.94992E+17 7.53711E+12
1.00000E-06 1.93544E+17 4.94510E+12
1.10000E-06 1.32193E+17 3.37757E+12
1.20000E-06 9.33373E+16 2.38479E+12
1.30000E-06 6.77652E+16 1.73142E+12
1.40000E-06 5.03811E+16 1.28725E+12
1.50000E-06 3.82309E+16 9.76809E+11
1.60000E-06 2.95325E+16 7.54562E+11
1.70000E-06 2.31731E+16 5.92078E+11
1.80000E-06 1.84370E+16 4.71069E+11
1.90000E-06 1.48513E+16 3.79455E+11
2.00000E-06 1.20965E+16 3.09069E+11
2.10000E-06 9.95183E+15 2.54271E+11
2.20000E-06 8.26208E+15 2.11098E+11
2.30000E-06 6.91622E+15 1.76711E+11
2.40000E-06 5.83358E+15 1.49049E+11
2.50000E-06 4.95473E+15 1.26594E+11
2.60000E-06 4.23532E+15 1.08213E+11
2.70000E-06 3.64187E+15 9.30507E+10
2.80000E-06 3.14882E+15 8.04531E+10
2.90000E-06 2.73645E+15 6.99170E+10
3.00000E-06 2.38943E+15 6.10506E+10
3.10000E-06 2.09572E+15 5.35461E+10
3.20000E-06 1.84578E+15 4.71601E+10
3.30000E-06 1.63202E+15 4.16984E+10
3.40000E-06 1.44832E+15 3.70049E+10
3.50000E-06 1.28976E+15 3.29536E+10
3.60000E-06 1.15231E+15 2.94418E+10
3.70000E-06 1.03270E+15 2.63857E+10
3.80000E-06 9.28209E+14 2.37159E+10
3.90000E-06 8.36607E+14 2.13755E+10
4.00000E-06 7.56032E+14 1.93168E+10
4.10000E-06 6.84927E+14 1.75001E+10
4.20000E-06 6.21989E+14 1.58920E+10
4.30000E-06 5.66117E+14 1.44644E+10
4.40000E-06 5.16380E+14 1.31936E+10
4.50000E-06 4.71987E+14 1.20594E+10
4.60000E-06 4.32264E+14 1.10444E+10
4.70000E-06 3.96633E+14 1.01341E+10
4.80000E-06 3.64599E+14 9.31558E+09
4.90000E-06 3.35734E+14 8.57809E+09
5.00000E-06 3.09671E+14 7.91215E+09
5.10000E-06 2.86088E+14 7.30961E+09
5.20000E-06 2.64708E+14 6.76334E+09
5.30000E-06 2.45288E+14 6.26717E+09
5.40000E-06 2.27617E+14 5.81567E+09
5.50000E-06 2.11509E+14 5.40411E+09
5.60000E-06 1.96801E+14 5.02832E+09
5.70000E-06 1.83350E+14 4.68463E+09
5.80000E-06 1.71028E+14 4.36981E+09
