#  FeatureSize(cm)    Fluence(mum2)   Dose(Gy)
1.00000E-07 1.05813E+21 2.70356E+16
2.00000E-07 6.61277E+19 1.68958E+15
3.00000E-07 1.30611E+19 3.33715E+14
4.00000E-07 4.13227E+18 1.05580E+14
5.00000E-07 1.69243E+18 4.32420E+13
6.00000E-07 8.16110E+17 2.08518E+13
7.00000E-07 4.40478E+17 1.12543E+13
8.00000E-07 2.58178E+17 6.59650E+12
9.00000E-07 1.61165E+17 4.11781E+12
1.00000E-06 1.05731E+17 2.70146E+12
1.10000E-06 7.22098E+16 1.84498E+12
1.20000E-06 5.09805E+16 1.30256E+12
1.30000E-06 3.70100E+16 9.45613E+11
1.40000E-06 2.75133E+16 7.02970E+11
1.50000E-06 2.08762E+16 5.33392E+11
1.60000E-06 1.61250E+16 4.11997E+11
1.70000E-06 1.26516E+16 3.23252E+11
1.80000E-06 1.00650E+16 2.57164E+11
1.90000E-06 8.10686E+15 2.07132E+11
2.00000E-06 6.60252E+15 1.68696E+11
2.10000E-06 5.43144E+15 1.38775E+11
2.20000E-06 4.50883E+15 1.15202E+11
2.30000E-06 3.77404E+15 9.64275E+10
2.40000E-06 3.18299E+15 8.13261E+10
2.50000E-06 2.70323E+15 6.90681E+10
2.60000E-06 2.31053E+15 5.90346E+10
2.70000E-06 1.98661E+15 5.07583E+10
2.80000E-06 1.71750E+15 4.38826E+10
2.90000E-06 1.49245E+15 3.81325E+10
3.00000E-06 1.30308E+15 3.32939E+10
3.10000E-06 1.14280E+15 2.91988E+10
3.20000E-06 1.00642E+15 2.57143E+10
3.30000E-06 8.89789E+14 2.27343E+10
3.40000E-06 7.89568E+14 2.01736E+10
3.50000E-06 7.03065E+14 1.79635E+10
3.60000E-06 6.28088E+14 1.60478E+10
3.70000E-06 5.62841E+14 1.43807E+10
3.80000E-06 5.05849E+14 1.29246E+10
3.90000E-06 4.55889E+14 1.16481E+10
4.00000E-06 4.11946E+14 1.05253E+10
4.10000E-06 3.73170E+14 9.53459E+09
4.20000E-06 3.38850E+14 8.65770E+09
4.30000E-06 3.08385E+14 7.87932E+09
