#  FeatureSize(cm)    Fluence(mum2)   Dose(Gy)
1.00000E-07 2.56939E+21 6.56486E+16
2.00000E-07 1.60587E+20 4.10304E+15
3.00000E-07 3.17209E+19 8.10476E+14
4.00000E-07 1.00367E+19 2.56440E+14
5.00000E-07 4.11103E+18 1.05038E+14
6.00000E-07 1.98256E+18 5.06548E+13
7.00000E-07 1.07013E+18 2.73422E+13
8.00000E-07 6.27293E+17 1.60275E+13
9.00000E-07 3.91616E+17 1.00059E+13
1.00000E-06 2.56939E+17 6.56486E+12
1.10000E-06 1.75493E+17 4.48389E+12
1.20000E-06 1.23910E+17 3.16592E+12
1.30000E-06 8.99616E+16 2.29854E+12
1.40000E-06 6.68834E+16 1.70889E+12
1.50000E-06 5.07535E+16 1.29676E+12
1.60000E-06 3.92058E+16 1.00172E+12
1.70000E-06 3.07634E+16 7.86013E+11
1.80000E-06 2.44760E+16 6.25368E+11
1.90000E-06 1.97159E+16 5.03745E+11
2.00000E-06 1.60587E+16 4.10304E+11
2.10000E-06 1.32115E+16 3.37558E+11
2.20000E-06 1.09683E+16 2.80243E+11
2.30000E-06 9.18162E+15 2.34592E+11
2.40000E-06 7.74436E+15 1.97870E+11
2.50000E-06 6.57765E+15 1.68060E+11
2.60000E-06 5.62260E+15 1.43659E+11
2.70000E-06 4.83477E+15 1.23529E+11
2.80000E-06 4.18021E+15 1.06805E+11
2.90000E-06 3.63278E+15 9.28182E+10
3.00000E-06 3.17209E+15 8.10476E+10
3.10000E-06 2.78217E+15 7.10851E+10
3.20000E-06 2.45036E+15 6.26074E+10
3.30000E-06 2.16658E+15 5.53566E+10
3.40000E-06 1.92272E+15 4.91258E+10
3.50000E-06 1.71222E+15 4.37475E+10
3.60000E-06 1.52975E+15 3.90855E+10
3.70000E-06 1.37096E+15 3.50283E+10
3.80000E-06 1.23224E+15 3.14841E+10
3.90000E-06 1.11064E+15 2.83770E+10
4.00000E-06 1.00367E+15 2.56440E+10
4.10000E-06 9.09275E+14 2.32322E+10
4.20000E-06 8.25721E+14 2.10974E+10
4.30000E-06 7.51548E+14 1.92022E+10
4.40000E-06 6.85520E+14 1.75152E+10
4.50000E-06 6.26586E+14 1.60094E+10
4.60000E-06 5.73851E+14 1.46620E+10
